DateTime,AddedIPs,RemovedIPs
1529997357,164,0
1530019022,501,1953
1530038757,514,0
1530060346,439,0
1530074737,305,0
1530096589,670,0
1530117962,692,1616
1530135980,431,0
1530157551,35,0
1530177365,789,0
1530197164,717,2082
1530218764,563,0
1530240331,456,0
1530260172,515,0
1530281768,705,2027
1530303355,533,0
1530324920,418,0
1530346736,811,0
1530368148,538,2499
1530389738,621,0
1530411326,165,0
1530431147,232,0
1530452783,565,1582
1530474338,631,0
1530495951,508,0
1530517545,588,0
1530539167,566,2201
1530560742,466,0
1530582354,626,0
1530603963,551,0
1530625897,563,1882
1530647139,492,0
1530668743,443,0
1530690352,560,0
1530711970,465,2482
1530733541,104,0
1530751555,377,0
1530769591,479,0
1530791170,743,0
1530812754,567,1987
1530834384,506,0
1530855957,433,0
1530877548,664,0
1530899248,553,2162
1530920762,430,0
1530942340,574,0
1530962147,60,0
1530978339,546,1878
1530996365,425,0
1531017966,369,0
1531039527,843,0
1531061350,467,1871
1531104333,643,0
1531125987,576,0
1531143966,1,1727
1531163875,521,0
1531183566,344,0
1531201550,355,0
1531223166,544,0
1531243273,590,1920
1531264750,328,0
1531271761,3,0
1531293368,520,0
1531314981,585,0
1531334830,501,1677
1531356342,312,0
1531365360,49,0
1531387012,794,0
1531408837,648,1859
1531430227,489,0
1531451835,403,0
1531473407,745,0
1531495312,416,1710
1531511208,302,0
1531529205,440,0
1531550780,543,0
1531572401,571,0
1531593988,593,1913
1531615574,377,0
1531637181,693,0
1531658784,745,0
1531680424,495,1733
1531702028,33,0
1531718238,280,0
1531739806,729,0
1531761407,585,2004
1531783150,614,0
1531804587,368,0
1531826248,673,0
1531848109,547,2207
1531869483,420,0
1531891277,594,0
1531912621,542,0
1531934138,476,1903
1531953990,103,0
1531971978,468,0
1531993589,744,0
1532015242,504,2121
1532036801,477,0
1532058425,395,0
1532080003,810,0
1532101612,581,2122
1532121476,498,0
1532143022,684,0
1532164576,126,0
1532186223,552,1961
1532205994,543,0
1532223990,593,0
1532245824,735,0
1532267235,553,1591
1532288769,566,0
1532308620,587,0
1532330220,770,0
1532351793,636,0
1532373418,191,2339
1532393194,339,0
1532411196,263,0
1532432851,739,0
1532454409,544,2012
1532476049,539,0
1532497601,196,0
1532517450,11,0
1532539017,109,2105
1532560805,3,0
1532582155,489,0
1532603828,1660,0
1532625397,757,1811
1532646570,592,0
1532668649,334,0
1532688644,680,0
1532710036,492,2208
1532728005,364,0
1532749647,382,0
1532771203,532,0
1532792804,438,2292
1532814404,466,0
1532835995,331,0
1532857604,56,0
1532875627,545,1840
1532897188,380,0
1532917004,386,0
1532936784,530,0
1532958406,650,2156
1532980006,387,0
1533001608,367,0
1533023241,581,0
1533044837,403,2038
1533066385,111,0
1533088041,249,0
1533105993,399,0
1533127580,493,0
1533149186,439,1849
1533170836,338,0
1533192416,639,0
1533214019,580,2017
1533235605,358,2047
1533257490,402,0
1533279019,633,0
1533300454,465,0
1533322016,362,1671
1533343625,286,0
1533365225,129,0
1533383227,774,0
1533397619,394,1789
1533419199,359,0
1533440826,400,0
1533462411,779,0
1533484021,428,1953
1533505593,327,0
1533527190,208,0
1533548820,196,0
1533565248,657,2090
1533586651,316,0
1533606571,318,0
1533628007,474,0
1533649659,559,2059
1533671289,338,0
1533691484,348,0
1533712677,666,0
1533730686,56,0
1533746874,466,1854
1533768512,450,0
1533790096,483,0
1533810954,683,0
1533831547,475,2201
1533851483,351,0
1533872857,281,0
1533891085,233,0
1533912467,700,1824
1533932275,449,0
1533953912,653,0
1533975460,633,0
1533997049,537,2287
1534018627,408,0
1534040263,432,0
1534061871,832,0
1534083435,455,2087
1534105242,510,0
1534126622,71,0
1534148209,447,0
1534168061,670,2635
1534186083,563,0
1534207750,442,0
1534229272,758,0
1534250866,537,0
