DateTime,AddedIPs,RemovedIPs
1538438752,1,3
1538442353,0,1
1538445935,4,0
1538449535,2,1
1538453143,2,0
1538460341,2,1
1538463941,3,3
1538467539,2,1
1538471137,2,2
1538474751,2,3
1538478343,1,1
1538481958,1,1
1538485532,2,3
1538489143,2,2
1538492761,1,1
1538496349,1,2
1538499939,1,1
1538503543,1,3
1538507166,2,1
1538510748,1,0
1538514346,1,1
1538517963,2,2
1538521556,1,1
1538528730,3,2
1538532335,2,1
1538535928,1,1
1538539529,2,2
1538543122,2,1
1538546733,0,2
1538550327,2,2
1538553921,3,1
1538557546,2,1
1538561141,1,1
1538564737,0,2
1538568325,1,3
1538571944,2,1
1538575531,1,0
1538579127,1,1
1538582748,1,3
1538589921,0,1
1538593533,2,4
1538597128,0,2
1538600720,4,0
1538607953,1,1
1538611552,2,0
1538615139,1,1
1538618756,1,1
1538622334,0,1
1538625942,2,1
1538629531,1,1
1538633156,0,2
1538636734,1,1
1538640336,4,0
1538643919,1,1
1538647545,1,0
1538651150,2,2
1538654740,1,2
1538658332,1,3
1538661935,2,1
1538665557,2,3
1538669125,1,0
1538676343,2,1
1538679942,1,3
1538683531,1,2
1538690747,1,1
1538694341,0,1
1538697953,1,0
1538701535,1,1
1538705124,2,0
1538708738,2,0
1538712345,2,2
1538715952,0,1
1538719543,0,3
1538723138,3,2
1538726752,1,3
1538730348,2,1
1538733921,1,1
1538737550,2,4
1538741135,3,0
1538744728,2,0
1538748356,0,2
1538751939,2,1
1538755548,1,1
1538759131,1,2
1538762751,1,3
1538766336,1,2
1538773545,2,1
1538777154,1,1
1538780733,1,1
1538784358,2,0
1538787933,1,3
1538791537,1,1
1538795136,3,1
1538798740,1,0
1538802332,1,1
1538805929,0,2
1538809546,2,1
1538813134,1,3
1538816727,1,0
1538820353,1,1
1538823939,1,2
1538827538,3,2
1538831142,3,1
1538834749,1,0
1538838348,0,3
1538841932,3,1
1538845523,4,0
1538849149,1,4
1538852722,1,0
1538856327,1,0
1538859955,1,2
1538863534,1,2
1538867141,1,2
1538870794,1,2
1538874335,2,1
1538877943,0,1
1538881541,0,1
1538885149,1,2
1538888759,2,0
1538892339,1,1
1538899541,1,0
1538903145,1,0
1538906737,0,2
1538910328,2,1
1538913958,2,1
1538917546,2,2
1538921140,1,1
1538924737,1,1
1538928335,2,1
1538931945,1,2
1538935536,0,1
1538939138,1,1
1538946332,0,1
1538949928,1,2
1538953530,1,3
1538957153,3,3
1538960745,4,0
1538964351,2,0
1538967945,4,1
1538971533,1,3
1538975147,1,3
1538978752,3,2
1538982358,1,3
1538985934,3,1
1538989539,2,2
1538993142,2,2
1538996728,4,1
1539000334,1,4
1539003943,2,3
1539007570,0,1
1539011147,1,1
1539014725,2,2
1539018337,1,1
1539021955,0,1
1539025537,1,2
1539029137,1,1
1539032760,1,1
1539036339,2,0
1539039933,2,1
1539043559,0,1
1539047143,0,1
1539050740,1,1
1539054333,1,0
1539057928,2,1
1539061541,2,1
1539065139,1,0
1539068746,1,3
1539072334,3,2
1539075948,4,1
1539079540,1,3
1539083126,3,2
1539086720,3,2
1539090341,1,2
1539093957,0,6
1539097546,2,2
1539101124,2,2
1539104745,1,1
1539108336,2,0
1539115546,3,3
1539119136,1,1
1539122732,1,2
1539126344,1,0
1539129960,1,0
1539133529,3,0
1539140759,2,1
1539144331,1,4
1539147953,0,2
1539151527,1,2
1539155154,0,2
1539158732,3,0
1539162328,1,0
1539165928,2,1
1539169537,0,1
1539173124,1,1
1539176731,4,1
1539180345,1,3
1539183941,3,2
1539187544,0,2
1539191132,2,2
1539194752,1,1
1539198348,2,1
1539201930,1,1
1539205562,0,3
1539209126,1,1
1539212743,1,0
1539216371,1,1
1539219944,1,0
1539223560,2,1
1539227143,1,1
1539230737,1,3
1539234330,2,2
1539237952,2,0
1539241545,1,2
1539245147,2,1
1539248756,1,1
1539252334,2,1
1539255940,2,2
1539259544,2,1
1539263161,2,0
1539266755,0,3
1539270346,2,1
1539273942,1,1
1539277531,4,3
1539281143,2,2
1539284749,1,2
1539288355,1,1
1539291956,1,5
1539295555,1,1
1539299140,2,1
1539302755,2,2
1539306345,1,1
1539309938,1,1
1539313556,1,2
1539317149,1,2
1539320747,2,3
1539324342,2,0
1539327955,2,1
1539335157,0,2
1539338736,1,1
1539342337,2,0
1539345960,1,1
1539349547,1,0
1539353135,1,1
1539356747,1,1
1539360342,2,1
1539363951,0,1
1539367555,1,1
1539371139,2,1
1539374748,1,1
1539378353,1,1
1539381961,0,2
1539385563,1,1
1539389157,2,1
1539392734,0,1
1539396335,2,3
1539399942,1,0
1539403548,1,1
1539407118,2,1
1539410744,0,1
1539414338,1,2
1539417937,1,1
1539421523,3,3
1539428744,0,1
