DateTime,AddedIPs,RemovedIPs
1538626357,11,22
1538629937,3,16
1538633551,6,10
1538637103,3,10
1538640767,9,7
1538644331,3,3
1538647953,6,2
1538651570,2,4
1538655116,1,5
1538658727,3,5
1538662370,1,4
1538665949,5,5
1538669504,4,14
1538673095,5,3
1538676758,9,4
1538680311,3,4
1538683909,5,8
1538687537,9,1
1538691146,6,5
1538694764,6,4
1538698634,26,4
1538702180,10,8
1538705515,6,5
1538709175,6,6
1538712769,8,5
1538716337,7,7
1538719970,3,9
1538723521,9,5
1538727152,3,8
1538730739,4,4
1538734350,4,3
1538737927,6,37
1538741501,15,3
1538745148,20,2
1538748768,3,4
1538752367,8,2
1538755936,2,5
1538759500,2,14
1538763108,2,10
1538766753,7,13
1538770375,2,3
1538773931,14,4
1538777555,4,3
1538781124,5,2
1538784762,8,2
1538788383,17,16
1538791944,7,4
1538795516,12,7
1538799118,3,15
1538802762,1,3
1538806333,5,3
1538809926,6,3
1538813531,2,5
1538817147,1,5
1538820737,7,5
1538824338,4,6
1538827952,2,2
1538831543,5,11
1538835122,10,3
1538838750,1,2
1538842340,3,2
1538845927,7,2
1538849513,5,8
1538853155,8,3
1538856729,2,0
1538860375,2,5
1538863945,3,6
1538867510,4,2
1538871233,25,4
1538874708,3,3
1538878364,3,4
1538881964,1,20
1538885517,5,6
1538889154,5,2
1538892765,1,7
1538896339,4,4
1538899965,3,3
1538903531,7,3
1538907096,0,4
1538910733,6,3
1538914377,5,3
1538917973,5,4
1538921558,2,1
1538925171,4,5
1538928690,4,4
1538932341,3,4
1538935926,2,3
1538939526,2,2
1538943186,4,2
1538946707,2,6
1538950338,3,3
1538953907,6,5
1538957546,5,6
1538961140,17,3
1538964743,7,1
1538968328,8,4
1538971920,2,22
1538975522,2,6
1538979136,8,3
1538982722,3,6
1538986340,6,2
1538989901,3,7
1538993540,4,6
1538997119,5,2
1539000749,0,8
1539004333,3,8
1539007961,3,3
1539011532,7,2
1539015137,3,4
1539018762,4,1
1539022333,2,3
1539025935,2,4
1539029513,3,4
1539033182,3,5
1539036724,5,1
1539040306,8,2
1539043967,9,5
1539047549,12,3
1539051171,6,13
1539054758,15,12
1539058383,14,15
1539061936,3,5
1539065548,2,4
1539069178,6,4
1539072712,6,11
1539076355,7,2
1539079915,2,9
1539083513,8,7
1539087110,12,8
1539090716,6,5
1539094378,2,6
1539097974,2,4
1539101531,3,11
1539105174,7,13
1539108762,8,1
1539112356,2,4
1539115926,13,6
1539119553,9,4
1539123141,2,4
1539126775,4,2
1539130385,7,2
1539133911,20,6
1539137551,4,14
1539141173,3,3
1539144733,2,28
1539148384,3,3
1539151896,3,9
1539155557,1,3
1539159139,8,3
1539162715,5,2
1539166285,5,4
1539169912,4,3
1539173559,4,3
1539177155,6,6
1539180777,1,3
1539184332,5,3
1539187941,2,4
1539191532,3,4
1539195158,5,4
1539198730,3,3
1539202317,4,3
1539205961,1,11
1539209516,6,8
1539213145,2,2
1539216792,11,1
1539220345,19,1
1539223948,3,1
1539227541,4,9
1539231150,3,16
1539234690,5,4
1539238359,4,3
1539241934,3,3
1539245547,5,7
1539249146,8,6
1539252756,9,3
1539256334,2,3
1539259958,5,2
1539263558,5,4
1539267126,2,6
1539270736,4,2
1539274315,2,2
1539278037,6,6
1539281670,6,4
1539285328,8,4
1539288713,3,5
1539292377,1,7
1539295929,2,3
1539299520,2,4
1539303200,11,4
1539306697,21,4
1539310367,2,2
1539313958,5,5
1539317559,10,16
1539321133,3,5
1539324772,3,3
1539328386,4,2
1539331973,3,10
1539335582,4,6
1539339180,8,3
1539342692,1,1
1539346343,3,4
1539349942,2,2
1539353549,7,11
1539357140,5,3
1539360760,5,8
1539364358,2,9
1539367969,6,9
1539371543,6,2
1539375189,6,6
1539378771,10,2
1539382381,3,7
1539385955,6,4
1539389649,37,4
1539393238,4,3
1539396898,7,11
1539400344,7,19
1539403990,5,3
1539407556,3,5
1539411131,3,3
1539414745,1,5
1539418324,4,2
1539421931,5,3
1539425534,0,3
1539429175,1,8
1539432758,4,2
1539436383,5,6
1539439946,4,1
1539443588,3,3
1539447162,3,4
1539450733,4,10
1539454325,10,4
1539457924,8,3
1539461595,1,4
1539465142,1,0
1539468751,2,4
1539472351,3,9
1539475963,16,3
1539479501,15,3
1539483115,2,2
1539486760,3,7
1539490348,1,17
1539493900,1,1
1539497539,0,1
1539501159,2,1
1539504730,3,4
1539508342,2,0
1539511921,1,2
1539515560,0,5
1539519145,0,9
1539522719,6,3
1539526330,8,1
1539529945,0,1
1539533543,2,2
1539537150,6,1
1539540729,0,1
1539544327,3,2
1539547923,4,4
1539551525,2,2
1539555142,1,4
1539558713,5,2
1539562380,3,2
1539565934,19,2
1539569527,0,3
1539573097,3,6
1539576759,4,19
1539580298,0,4
1539583942,5,6
1539587532,2,4
1539591155,3,3
1539594695,4,1
1539598379,1,4
1539601953,2,2
1539605558,3,4
1539609102,1,4
1539612758,7,2
1539616370,3,2
1539619949,1,4
1539623532,5,5
1539627153,5,2
1539631006,6,1
1539634439,3,3
1539637972,1,3
1539641532,5,3
1539645092,2,2
1539648756,7,4
1539652340,19,3
1539655954,5,3
1539659561,7,10
1539663134,6,29
1539666753,5,6
1539670563,7,7
1539710007,14,14
1539713638,10,5
1539717105,3,8
1539720717,5,3
1539724328,1,6
1539727905,5,6
1539731515,6,3
1539735288,26,2
1539738738,7,6
1539742342,4,2
1539745964,3,20
1539749571,3,2
1539753161,4,3
1539756757,3,4
1539760362,2,5
1539763940,5,3
1539767544,3,6
1539771132,6,2
1539774716,2,2
1539778367,3,3
1539781937,2,4
1539785556,4,3
1539789145,1,4
1539792741,4,6
1539796354,9,3
1539799973,4,3
1539803561,5,2
1539807137,2,9
1539810746,3,10
1539814334,3,7
1539817955,8,0
1539821612,21,2
1539825136,5,4
1539828742,4,5
1539832380,4,35
1539835959,4,2
1539839555,4,2
1539843131,6,2
1539846781,2,6
1539850361,3,6
1539853954,5,4
1539857541,4,3
1539861174,1,1
1539864762,3,1
1539868386,1,5
1539871977,4,4
1539875585,3,5
1539879134,2,2
1539882774,4,3
1539886327,3,5
1539889916,5,3
1539893561,2,3
1539897153,2,1
1539900744,2,4
1539904325,6,3
1539907980,10,2
1539911583,15,5
1539915180,3,6
1539918719,4,5
1539922376,1,18
1539925965,3,3
1539929532,8,1
1539933129,4,10
1539936748,3,2
1539940345,2,4
1539943956,2,1
1539947547,1,3
1539951159,1,2
1539954770,2,10
1539958345,7,0
1539961942,5,0
1539965564,1,3
1539969150,2,2
1539972757,1,1
1539976368,0,1
1539979964,1,4
1539983542,1,1
1539987161,1,3
1539990774,2,1
1539994375,12,2
1539997960,13,2
1540001569,1,2
1540005148,5,6
1540008752,1,16
1540012378,2,3
1540015974,4,1
1540019568,1,8
1540023148,1,1
1540026733,2,0
1540030368,0,2
1540037583,2,2
1540041190,4,1
1540044755,1,1
1540048334,1,1
1540051971,1,2
1540055566,5,4
1540059169,4,2
1540062773,0,2
1540066365,2,1
1540069955,2,4
1540073524,3,2
1540077146,2,1
1540080845,8,3
1540084364,22,2
1540087961,2,4
1540091570,2,8
1540095167,3,15
1540098751,3,3
1540102373,1,2
