DateTime,AddedIPs,RemovedIPs
1537401997,0,4
1537405560,2,1
1537409165,5,0
1537412793,1,1
1537419979,0,4
1537423578,0,6
1537427168,3,1
1537470375,0,1
1537481179,1,0
1537488404,6,0
1537491977,7,0
1537499201,1,0
1537506371,0,4
1537509976,3,0
1537513590,1,1
1537520793,0,2
1537524368,1,4
1537527979,0,1
1537531600,0,1
1537538794,0,1
1537545975,4,0
1537553192,0,1
1537560382,2,2
1537567604,1,1
1537571184,2,1
1537574798,1,2
1537578374,6,0
1537585587,0,7
1537592765,0,5
1537596367,5,0
1537625199,0,4
1537632378,1,1
1537635980,4,0
1537639582,0,3
1537646780,0,2
1537650390,4,0
1537653985,1,0
1537661223,5,0
1537668361,0,2
1537671969,3,0
1537679168,1,0
1537686363,1,0
1537693574,0,1
1537700765,0,1
1537715187,1,0
1537718766,3,0
1537722366,3,1
1537725968,0,4
1537729561,0,2
1537733141,3,0
1537736753,6,3
1537740381,1,0
1537765567,0,5
1537769162,0,1
1537783574,0,1
1537787150,1,0
1537826757,0,6
1537830368,6,0
1537833975,1,0
1537837585,5,0
1537841167,4,0
1537844765,3,8
1537848363,2,0
1537851973,2,6
1537855573,2,2
1537859174,1,1
1537862761,2,3
1537866375,4,2
1537869959,1,3
1537873579,8,2
1537877163,0,3
1537880788,0,2
1537884393,1,1
1537888000,0,11
1537891581,13,0
1537895183,1,1
1537898781,5,0
1537913170,0,4
1537916810,0,1
1537920395,2,0
1537927570,2,6
1537931172,0,4
1537938367,6,0
1537941993,4,4
1537945556,2,8
1537959991,0,3
1537963576,1,0
1537967174,2,1
1537970783,1,0
1537974369,3,0
1537985170,0,4
1537988785,2,4
1537995964,3,0
1538003188,0,1
1538006790,1,0
1538010382,1,2
1538013978,2,0
1538021180,1,1
1538031983,1,2
1538039191,0,1
1538042777,0,11
1538046374,6,0
1538049988,1,0
1538053578,2,0
1538057176,2,0
1538060761,1,0
1538089574,0,2
1538093216,3,1
1538096815,0,1
1538100387,4,5
1538104007,1,0
1538107576,12,2
1538114779,0,4
1538118395,0,5
1538122002,0,2
1538125584,0,1
1538132795,0,1
1538136383,3,3
1538139981,2,0
1538143585,2,1
1538147173,1,0
1538154358,0,1
1538157985,1,3
1538161579,1,4
1538165185,5,0
1538175985,1,2
1538183160,2,0
1538186784,1,0
1538190385,1,0
1538193995,1,0
1538197583,0,7
1538201169,7,1
1538204801,0,1
1538208365,0,1
1538215586,0,3
1538219192,2,4
1538222781,2,5
1538226361,3,2
1538229998,2,0
1538233592,3,4
1538237185,0,1
1538244401,6,1
1538247979,1,0
1538258797,0,6
1538262360,4,0
1538265985,1,0
1538269572,1,0
1538276771,0,13
1538280377,1,0
1538283942,0,1
1538312795,0,1
1538323575,1,0
1538341576,0,1
1538345165,1,2
1538348786,2,0
1538352391,1,0
1538356019,1,0
1538359613,5,0
1538370410,0,1
1538374008,3,2
1538377623,0,9
1538381222,4,0
1538388424,1,3
1538395590,0,5
1538399178,4,0
1538402785,1,0
1538413577,0,3
1538417188,1,1
1538420793,2,0
1538424402,1,1
1538427995,1,0
1538431601,0,1
1538442388,3,2
1538445975,2,0
1538453181,3,1
1538456786,1,3
1538460376,0,8
1538463980,2,1
1538467576,4,0
1538471175,0,1
1538478380,0,1
1538481998,3,0
1538496386,0,7
1538499976,7,1
1538503575,1,0
1538514383,0,4
1538518001,0,1
1538521592,3,0
1538525184,14,0
