DateTime,AddedIPs,RemovedIPs
1527884188,1,0
1527912593,0,0
1527916185,0,0
1527919780,0,0
1527923379,0,0
1527926992,0,0
1527930583,0,0
1527934184,0,0
1527937781,0,0
1527941363,0,0
1527944989,0,0
1527948571,0,0
1527952165,0,0
1527955766,0,0
1527959377,0,0
1527962968,0,0
1527966571,0,0
1527970187,0,0
1527973777,0,0
1527977383,0,0
1527980990,0,0
1527984608,1,1
1527988157,1,0
1527991738,0,0
1527995362,0,0
1527998953,0,0
1528002544,0,0
1528063762,0,2
1528067343,1,0
1528070975,1,0
1528160965,1,0
1528168172,0,1
1528247341,0,1
1528254563,1,0
1528276142,0,1
1528279747,0,1
1528283358,2,0
1528304936,0,0
1528308547,0,0
1528312147,0,1
1528315749,1,0
1528319334,0,1
1528322949,0,0
1528326564,0,0
1528330182,1,1
1528348163,0,1
1528351746,1,0
1528420178,1,0
1528427386,0,1
1528466986,0,1
1528474145,1,0
1528492105,0,1
1528502934,1,0
1528510166,1,0
1528517345,0,1
1528524574,1,0
1528549738,0,1
1528553328,1,0
1528600146,0,1
1528675771,1,0
1528679336,0,1
1528682934,1,0
1528852137,1,0
1528855743,0,1
1528866529,0,1
1528902522,1,0
1528934943,0,2
1529010539,1,0
1529021445,3,0
1529035711,0,1
1529107758,2,0
1529114904,0,1
1529194137,2,0
1529197723,1,0
1529208553,0,1
1529212107,0,1
1529287746,1,0
1529298528,1,0
1529309341,0,1
1529323726,0,1
1529327341,1,0
1529366971,1,0
1529370559,1,0
1529377755,0,1
1529381345,1,1
1529435360,0,1
1529438947,1,0
1529464128,0,2
1529478543,0,1
1529482159,1,0
1529550563,0,2
1529636936,0,1
1529719737,0,1
1529791725,0,1
1529809736,0,1
1529813314,1,0
1529885377,1,0
1529899759,0,1
1529971743,1,0
1529982550,1,0
1530058134,1,0
1530094150,0,1
1530097736,1,0
1530148169,0,2
1530151749,2,0
1530184182,0,1
1530227363,2,0
1530230972,1,0
1530238164,1,0
1530245357,0,1
1530263365,0,1
1530266960,1,0
1530320980,0,2
1530324581,0,3
1530328148,0,5
1530548991,6,0
1530562138,0,2
1530565729,2,0
1530569327,1,0
1530590931,0,1
1530594523,1,0
1530612537,0,1
1530616134,1,0
1530637739,0,1
1530641325,1,0
1530655736,0,1
1530666519,1,0
1530742119,0,2
1530745743,2,0
1530749423,1,0
1530799732,0,1
1530806926,1,0
1530835775,1,0
1530839379,0,1
1530842985,1,0
1530853785,0,1
1530860965,1,0
1530871787,0,1
1530875389,1,0
1530886184,0,2
1530889785,2,0
1530915233,0,1
1530922498,1,1
1530926011,1,0
1530929595,1,0
1530933259,0,1
1530940417,0,2
1530944006,0,1
1530947594,1,0
1530951225,0,2
1530954830,4,0
1530958377,0,1
1530972786,1,0
1530980004,0,2
1530987202,1,0
1530990794,1,0
1531012469,0,1
1531016070,1,1
1531023260,1,0
1531026850,0,1
1531030446,0,1
1531034013,1,0
1531041268,1,3
1531044845,0,1
1531048474,3,0
1531055683,1,0
1531070072,0,3
1531073646,1,0
1531077277,2,1
1531095519,0,1
1531098890,1,0
1531109689,1,1
1531120413,1,1
1531124078,1,0
1531138488,0,1
1531149238,1,0
1531170883,0,1
1531181840,1,0
1531188856,1,0
1531192438,0,4
1531199650,1,0
1531203253,0,1
1531206868,1,1
1531210404,1,0
1531221263,0,1
1531224867,2,0
1531232050,0,1
1531246168,1,0
1531249746,0,1
1531253358,0,1
1531256958,2,0
1531267753,1,0
1531274931,0,1
1531278555,1,0
1531361345,0,1
1531364963,0,1
1531368519,1,0
1531408138,0,1
1531411751,1,0
1531469337,0,1
1531480136,1,0
1531526915,2,0
1531591716,0,2
1531595309,2,0
1531624115,0,2
1531663702,0,1
1531728505,0,1
1531739320,1,0
1531764524,0,1
1531786130,1,0
1531825720,0,1
1531829339,1,0
1531876140,0,1
1531879732,1,0
1531933719,0,1
1531958965,1,0
1531966123,1,1
1531969740,0,2
1531980528,1,0
1532020130,0,1
1532081320,0,1
1532088548,1,0
1532131821,2,0
1532135404,0,1
1532138918,1,0
1532146133,0,1
1532207334,0,2
1532210943,2,0
1532322516,0,1
1532340509,1,0
1532344126,0,1
1532358517,1,0
1532390902,0,1
1532394524,1,0
1532401706,0,1
1532419710,0,1
1532423297,1,0
1532477321,1,0
1532549328,0,1
1532552922,1,0
1532574525,0,1
1532650141,1,0
1532653733,2,0
1532801323,0,1
1532822967,1,0
1532884144,0,1
1532887781,1,0
1532916548,1,0
1532920131,0,2
1532959789,0,1
1532981323,1,0
1533042550,0,1
1533046144,1,0
1533085820,0,1
1533092932,0,2
1533096540,1,0
1533107323,1,0
1533186556,0,1
1533190137,1,0
1533240533,0,1
1533265722,1,1
1533301716,0,1
1533305321,1,0
1533352122,1,0
1533485315,0,1
1533496129,0,1
1533499735,2,0
1533578934,0,1
1533582522,1,0
1533593307,0,1
1533596913,1,0
1533600551,1,0
1533654543,0,1
1533658133,1,0
1533694145,0,2
1533697753,1,0
1533704942,1,0
1533726540,0,1
1533737329,1,0
1533762550,0,1
1533766150,1,0
1533773376,1,0
1533784129,0,2
1533787753,1,0
1533809336,0,1
1533827345,0,1
1533834549,2,0
1533920966,0,1
1533942542,1,0
1534054137,0,1
1534072163,1,0
1534119066,2,0
1534129731,0,1
1534147721,0,0
1534205387,2,0
1534216154,0,1
1534219737,0,1
1534291764,2,0
1534295332,0,2
1534550956,1,0
1534561768,0,2
1534565319,0,1
1534648162,0,1
1534734558,0,1
1534810223,1,0
1534896594,1,0
1535069361,1,0
1535083732,0,1
1535252922,0,1
1535328481,1,0
1535339273,0,1
1535414880,1,0
1535501290,1,0
1535512071,0,1
1535515686,0,1
1535620071,1,0
1535674113,1,0
1535684864,0,1
1535688479,0,1
1535771457,0,1
1535843283,1,0
1535857669,0,1
1536019676,1,0
1536106095,1,0
1536192479,1,0
1536365279,1,0
1536376066,0,1
1536379674,0,1
1536430059,0,1
1536433657,1,0
1536548883,0,1
1536624477,1,0
1536635274,0,1
1536718069,1,0
1536808057,0,1
1536851275,0,1
1536876468,1,0
1536970096,1,0
1537067266,0,1
1537142910,1,0
1537229286,2,0
1537402087,3,0
1537412884,0,1
1537430872,0,1
1537438053,1,0
1537585679,0,1
1537661611,2,0
1537672124,0,2
1537675660,1,1
1537686457,0,1
1537693668,1,0
1537718860,0,1
1537726061,1,0
1537748148,1,0
1537754880,0,1
1537758448,1,0
1537772833,0,1
1537783666,1,0
1537794460,0,2
1537805254,1,0
1537812443,1,0
1537830459,0,1
1537844853,0,3
1537859265,1,0
1537891675,0,1
1537898871,1,0
1537913257,0,1
1537920486,1,0
1538003275,0,1
1538021273,1,0
1538089668,0,1
1538104094,0,1
1538190479,0,1
1538226448,0,1
1538230093,1,0
1538352486,1,0
1538410075,1,0
1538438874,1,0
1538626065,1,0
1538636853,0,1
1538784480,2,0
1538795261,0,1
1538881666,0,1
1538971663,1,0
1538982482,0,1
1539011269,1,0
1539043698,1,1
1539058118,0,1
1539072457,1,0
1539126473,2,0
1539130084,1,0
1539137262,0,2
1539220073,1,0
1539227273,0,2
1539230861,1,0
1539234450,0,1
1539241674,0,1
1539392931,1,0
1539407251,0,1
1539475675,1,0
1539572858,0,1
1539576459,1,0
1539587254,0,1
1539821299,1,0
1539835681,1,0
1539846462,0,1
1539994092,1,0
1540037268,1,0
1540040886,1,0
1540048060,0,1
1540051677,0,1
1540055280,1,0
1540069670,0,1
1540073269,1,0
1540080487,2,0
1540087679,0,1
1540094866,0,1
1540098469,0,1
1540105677,1,0
1540112885,1,0
1540116479,1,0
1540127298,1,0
1540130864,0,1
1540134477,0,1
1540138078,1,1
1540148880,1,1
1540152482,1,0
1540159683,0,1
1540163267,0,1
1540166915,1,0
1540170481,2,0
1540177682,1,0
1540181264,3,0
1540184878,2,1
1540188484,2,1
1540192088,1,3
1540195669,1,2
1540199272,1,1
