DateTime,AddedIPs,RemovedIPs
1538532426,1,1
1538536032,1,4
1538539808,1,2
1538543216,1,1
1538546828,2,1
1538550415,2,0
1538554019,0,2
1538557645,2,1
1538561239,1,1
1538564835,1,2
1538568420,1,1
1538572040,1,3
1538575629,2,2
1538579221,2,0
1538582843,1,2
1538586458,2,1
1538590015,3,3
1538593623,0,2
1538597225,2,1
1538600817,2,0
1538604429,1,1
1538608047,1,1
1538611648,2,1
1538615228,2,2
1538618852,2,2
1538626034,1,1
1538629627,2,4
1538633254,2,2
1538636822,2,2
1538640429,3,1
1538644015,2,1
1538647643,2,2
1538651248,0,1
1538654836,2,2
1538658427,1,2
1538665652,3,2
1538669223,1,1
1538672836,1,1
1538676438,1,3
1538680029,0,1
1538683625,2,0
1538687230,2,1
1538690840,2,0
1538694437,2,1
1538698295,1,1
1538701875,2,3
1538705214,0,3
1538708837,2,1
1538712476,3,1
1538716044,2,3
1538719645,1,2
1538723237,1,1
1538726845,2,2
1538730454,1,2
1538734023,2,1
1538737653,2,3
1538741235,2,1
1538744856,1,1
1538748456,2,0
1538752037,2,2
1538755654,1,3
1538759235,0,2
1538762848,0,1
1538766435,1,1
1538770049,2,1
1538773645,1,2
1538777254,3,1
1538780821,0,1
1538784455,3,1
1538788030,3,1
1538791634,0,2
1538795229,3,2
1538798834,1,2
1538802426,1,2
1538806019,2,2
1538813231,1,3
1538816817,1,1
1538820446,3,0
1538824030,1,1
1538827632,0,1
1538831236,1,1
1538834848,1,1
1538838444,1,2
1538842027,0,1
1538845621,1,1
1538849246,4,2
1538852820,3,1
1538856418,1,0
1538860048,1,2
1538863625,0,3
1538867229,2,1
1538874426,1,1
1538878038,1,0
1538885248,1,2
1538888855,1,0
1538892436,0,2
1538896025,2,1
1538899639,1,0
1538903240,1,2
1538906825,1,0
1538910423,2,2
1538914056,2,2
1538917641,1,0
1538921236,1,0
1538924827,0,2
1538928431,2,2
1538932044,1,2
1538935631,2,1
1538939228,0,1
1538942857,0,1
1538946428,2,1
1538953620,1,1
1538960842,0,2
1538964447,3,1
1538968039,3,1
1538971631,0,4
1538975243,1,0
1538978848,2,0
1538982450,1,3
1538986028,3,0
1538989630,3,2
1538993237,1,2
1538996821,1,2
1539000431,0,3
1539004042,2,2
1539007664,1,0
1539011238,1,1
1539014815,0,2
1539018431,2,0
1539022051,2,0
1539025633,1,3
1539029233,1,0
1539032854,2,2
1539036430,1,1
1539040029,4,1
1539043667,1,2
1539047242,1,1
1539050845,2,2
1539054437,2,2
1539058087,1,3
1539061641,1,2
1539065235,0,1
1539068847,2,1
1539072426,1,1
1539076044,2,1
1539079641,1,0
1539083222,2,2
1539086811,2,4
1539090440,3,0
1539094047,1,2
1539097645,0,1
1539101227,1,3
1539104840,2,1
1539108437,1,1
1539112063,1,1
1539115645,1,1
1539119230,1,1
1539122833,2,2
1539126441,0,1
1539130053,1,1
1539133624,1,1
1539140854,1,0
1539144425,1,2
1539151620,1,1
1539155250,1,1
1539158830,1,1
1539162429,2,1
1539166021,1,2
1539169633,1,1
1539173222,3,1
1539176829,2,1
1539180440,0,1
1539184037,1,0
1539187638,1,0
1539191228,1,4
1539194846,2,2
1539198438,1,2
1539202017,1,1
1539205656,0,1
1539209212,1,3
1539212840,3,0
1539216459,2,0
1539220042,1,1
1539223658,0,1
1539227242,0,2
1539230831,2,1
1539234418,3,1
1539238048,1,1
1539241642,2,2
1539245240,2,1
1539248854,1,0
1539256027,2,2
1539259640,1,1
1539263258,2,2
1539266846,1,3
1539270423,2,2
1539274036,2,0
1539277745,0,1
1539281361,1,0
1539285031,1,1
1539288447,1,3
1539292051,0,1
1539295651,0,1
1539299234,1,0
1539302852,2,2
1539306434,1,1
1539310037,0,1
1539313653,3,1
1539317249,1,2
1539320837,1,0
1539324435,1,1
1539328047,2,1
1539331644,1,1
1539335253,1,2
1539338835,2,2
1539346056,1,2
1539349639,1,1
1539353233,2,1
1539356845,1,3
1539360435,1,3
1539364046,1,2
1539367652,3,0
1539371234,0,1
1539374844,2,0
1539378453,2,0
1539382059,0,3
1539385659,1,2
1539389316,1,1
1539392904,2,0
1539396554,2,1
1539400044,2,3
