DateTime,Entries,UniqueIPs
1538532426,137,137
1538536032,134,134
1538539808,133,133
1538543216,133,133
1538546828,134,134
1538550415,136,136
1538554019,134,134
1538557645,135,135
1538561239,135,135
1538564835,134,134
1538568420,134,134
1538572040,132,132
1538575629,132,132
1538579221,134,134
1538582843,133,133
1538586458,134,134
1538590015,134,134
1538593623,132,132
1538597225,133,133
1538600817,135,135
1538604429,135,135
1538608047,135,135
1538611648,136,136
1538615228,136,136
1538618852,136,136
1538626034,136,136
1538629627,134,134
1538633254,134,134
1538636822,134,134
1538640429,136,136
1538644015,137,137
1538647643,137,137
1538651248,136,136
1538654836,136,136
1538658427,135,135
1538665652,136,136
1538669223,136,136
1538672836,136,136
1538676438,134,134
1538680029,133,133
1538683625,135,135
1538687230,136,136
1538690840,138,138
1538694437,139,139
1538698295,139,139
1538701875,138,138
1538705214,135,135
1538708837,136,136
1538712476,138,138
1538716044,137,137
1538719645,136,136
1538723237,136,136
1538726845,136,136
1538730454,135,135
1538734023,136,136
1538737653,135,135
1538741235,136,136
1538744856,136,136
1538748456,138,138
1538752037,138,138
1538755654,136,136
1538759235,134,134
1538762848,133,133
1538766435,133,133
1538770049,134,134
1538773645,133,133
1538777254,135,135
1538780821,134,134
1538784455,136,136
1538788030,138,138
1538791634,136,136
1538795229,137,137
1538798834,136,136
1538802426,135,135
1538806019,135,135
1538813231,133,133
1538816817,133,133
1538820446,136,136
1538824030,136,136
1538827632,135,135
1538831236,135,135
1538834848,135,135
1538838444,134,134
1538842027,133,133
1538845621,133,133
1538849246,135,135
1538852820,137,137
1538856418,138,138
1538860048,137,137
1538863625,134,134
1538867229,135,135
1538874426,135,135
1538878038,136,136
1538885248,135,135
1538888855,136,136
1538892436,134,134
1538896025,135,135
1538899639,136,136
1538903240,135,135
1538906825,136,136
1538910423,136,136
1538914056,136,136
1538917641,137,137
1538921236,138,138
1538924827,136,136
1538928431,136,136
1538932044,135,135
1538935631,136,136
1538939228,135,135
1538942857,134,134
1538946428,135,135
1538953620,135,135
1538960842,133,133
1538964447,135,135
1538968039,137,137
1538971631,133,133
1538975243,134,134
1538978848,136,136
1538982450,134,134
1538986028,137,137
1538989630,138,138
1538993237,137,137
1538996821,136,136
1539000431,133,133
1539004042,133,133
1539007664,134,134
1539011238,134,134
1539014815,132,132
1539018431,134,134
1539022051,136,136
1539025633,134,134
1539029233,135,135
1539032854,135,135
1539036430,135,135
1539040029,138,138
1539043667,137,137
1539047242,137,137
1539050845,137,137
1539054437,137,137
1539058087,135,135
1539061641,134,134
1539065235,133,133
1539068847,134,134
1539072426,134,134
1539076044,135,135
1539079641,136,136
1539083222,136,136
1539086811,134,134
1539090440,137,137
1539094047,136,136
1539097645,135,135
1539101227,133,133
1539104840,134,134
1539108437,134,134
1539112063,134,134
1539115645,134,134
1539119230,134,134
1539122833,134,134
1539126441,133,133
1539130053,133,133
1539133624,133,133
1539140854,134,134
1539144425,133,133
1539151620,133,133
1539155250,133,133
1539158830,133,133
1539162429,134,134
1539166021,133,133
1539169633,133,133
1539173222,135,135
1539176829,136,136
1539180440,135,135
1539184037,136,136
1539187638,137,137
1539191228,134,134
1539194846,134,134
1539198438,133,133
1539202017,133,133
1539205656,132,132
1539209212,130,130
1539212840,133,133
1539216459,135,135
1539220042,135,135
1539223658,134,134
1539227242,132,132
1539230831,133,133
1539234418,135,135
1539238048,135,135
1539241642,135,135
1539245240,136,136
1539248854,137,137
1539256027,137,137
1539259640,137,137
1539263258,137,137
1539266846,135,135
1539270423,135,135
1539274036,137,137
1539277745,136,136
1539281361,137,137
1539285031,137,137
1539288447,135,135
1539292051,134,134
1539295651,133,133
1539299234,134,134
1539302852,134,134
1539306434,134,134
1539310037,133,133
1539313653,135,135
1539317249,134,134
1539320837,135,135
1539324435,135,135
1539328047,136,136
