DateTime,AddedIPs,RemovedIPs
1537232970,13,1
1537236527,1,1
1537243731,0,10
1537247305,1,0
1537250925,1,0
1537258150,1,1
1537268915,1,1
1537272514,1,1
1537276144,1,1
1537279728,1,1
1537283316,1,1
1537286942,1,1
1537290526,0,1
1537297706,1,1
1537304904,1,1
1537308537,1,1
1537312114,1,0
1537315737,1,1
1537319321,25,1
1537322923,0,1
1537326536,0,1
1537330139,0,28
1537405701,6,0
1537416528,0,6
1537488560,15,0
1537499342,0,15
1537502919,0,1
1537574951,1,0
1537578587,19,0
1537582142,1,0
1537589299,0,27
1537661671,11,0
1537664903,1,0
1537672169,0,6
1537748203,16,0
1537758501,0,13
1537787300,0,1
1537790921,1,0
1537794512,2,0
1537808908,0,2
1537837733,13,0
1537841311,0,1
1537848502,0,19
1537859313,1,0
1537880929,0,1
1537895318,1,0
1537916956,0,1
1537924110,10,0
1537927712,1,0
1537931316,0,1
1537934911,0,10
1537949309,1,0
1538010533,13,0
1538021327,0,16
1538093360,15,0
1538104159,0,16
1538107799,0,2
1538179769,10,0
1538183309,1,0
1538190539,0,11
1538197721,0,1
1538208517,0,1
1538269720,21,0
1538280527,0,14
1538298528,0,1
1538352552,2,0
1538356189,26,0
1538359855,3,0
1538363395,2,0
1538366986,1,15
1538370587,1,1
1538374167,2,1
1538377794,1,2
1538381401,1,1
1538384984,1,2
1538388581,1,1
1538392130,1,2
1538395741,2,1
1538399328,0,1
1538402941,0,1
1538406526,1,1
1538410142,0,1
1538413716,2,0
1538417338,1,0
1538420939,2,1
1538424556,1,1
1538428146,0,2
1538431762,1,2
1538435338,1,1
1538438935,2,0
1538442532,5,1
1538446115,1,1
1538449706,0,1
1538453320,0,7
1538456936,2,2
1538460527,2,0
1538464120,0,1
1538467719,0,1
1538471321,1,1
1538474933,2,0
1538478528,1,2
1538482140,0,1
1538485711,2,0
1538489342,1,1
1538492944,2,1
1538496538,1,2
1538500110,1,2
1538503720,1,1
1538507357,1,1
1538514530,1,2
1538518140,2,0
1538521735,1,1
1538526061,16,1
1538528946,2,1
1538532506,1,0
1538536109,1,20
1538539889,2,2
1538543290,0,1
1538546920,1,0
1538550496,1,1
1538554097,1,3
1538557728,1,0
1538561317,1,1
1538568501,1,1
1538572118,3,2
1538575707,1,1
1538579304,1,0
1538586540,1,4
1538590099,2,0
1538593695,1,3
1538597310,2,0
1538600898,2,0
1538604511,1,3
1538608125,2,2
1538611729,1,1
1538615303,17,1
1538618930,3,2
1538622517,2,1
1538626118,1,26
1538629708,0,3
1538633333,1,2
1538636910,2,2
1538640512,2,0
1538644101,1,1
1538647726,1,0
1538651332,1,1
1538654912,1,2
1538658507,3,1
1538662119,0,1
1538665738,0,1
1538669301,2,2
1538672919,1,2
1538676522,1,0
1538680103,1,1
1538683705,0,1
1538687312,3,0
1538690922,2,2
1538694535,3,2
1538698383,19,3
1538701959,1,2
1538705292,1,2
1538708925,2,4
1538712550,2,2
1538716122,3,3
1538719729,2,2
1538723320,1,2
1538726928,1,2
1538730534,2,1
1538734108,1,1
1538737737,3,1
1538741313,1,2
1538744932,0,2
1538748540,1,2
1538752126,2,1
1538755738,1,2
1538759315,1,2
1538762929,2,1
1538766522,2,0
1538770128,0,1
1538773728,1,0
1538777327,0,2
1538780898,1,0
1538784532,1,1
1538788111,12,2
1538791709,2,2
1538795311,2,0
1538798920,2,17
1538802518,0,1
1538806098,2,1
1538809725,1,3
1538813316,1,0
1538816901,0,3
1538820527,3,2
1538824109,3,1
1538831325,1,1
1538834930,0,2
1538838528,1,0
1538842111,1,2
1538845700,1,0
1538849330,1,1
1538852904,1,2
1538856497,1,0
1538860124,1,1
1538863707,2,1
1538867323,2,3
1538870993,21,0
1538874510,1,2
1538878127,1,3
1538881718,1,20
1538885334,1,2
1538888939,1,1
1538896110,0,1
1538899717,0,1
1538903326,1,0
1538906908,0,1
1538914132,1,0
1538917732,1,0
1538921319,1,1
1538924915,1,1
1538928517,1,1
1538932129,1,1
1538935712,0,1
1538939311,1,0
1538942957,1,1
1538946523,0,1
1538950109,1,1
1538953701,0,1
1538957328,2,0
1538960918,11,0
1538964529,1,0
1538968119,1,0
1538971711,0,20
1538975328,0,1
1538982534,1,0
1538986109,1,1
1538993305,1,0
1539000514,0,1
1539004121,0,1
1539007755,1,1
1539011327,1,0
1539014907,0,1
1539018514,1,0
1539022131,0,1
1539029315,1,0
1539032936,0,1
1539036509,1,0
1539040110,1,0
1539043747,3,1
1539047321,10,1
1539054519,0,1
1539058179,1,10
1539061721,1,1
1539065320,1,0
1539068924,1,2
1539072506,0,1
1539083298,2,1
1539086886,1,0
1539090522,0,1
1539094128,1,1
1539097736,0,1
1539104913,1,0
1539112134,0,1
1539115718,2,0
1539119310,0,1
1539126519,1,1
1539130139,1,0
1539133711,18,1
1539137318,1,1
1539140943,0,1
1539144512,1,21
1539148140,1,0
1539151712,1,1
1539158924,0,1
1539166103,1,1
1539169720,1,1
1539173313,1,0
1539176915,0,1
1539184128,1,1
1539187733,0,1
1539191322,1,0
1539194938,1,1
1539202101,1,1
1539205743,1,1
1539212935,0,1
1539216553,1,0
1539220132,16,0
1539223750,1,0
1539227338,2,1
1539230926,0,12
1539234504,1,1
1539238130,2,1
1539245322,1,0
1539248948,3,2
1539252523,2,1
1539256117,0,1
1539259727,2,1
1539263349,1,2
1539266932,1,2
1539270519,1,0
1539274129,1,1
1539277832,0,2
1539281446,1,2
1539285126,3,1
1539288538,1,1
1539292146,0,1
1539295742,1,0
1539299319,0,2
1539302951,2,1
1539306508,22,1
1539310123,2,0
1539313742,1,1
1539317342,2,13
1539320931,1,2
1539324525,1,1
1539328139,1,0
1539331746,1,2
1539335342,1,1
1539338927,1,1
1539342517,0,1
1539346145,1,1
1539349730,1,1
1539353318,2,0
1539360527,0,1
1539364132,1,2
1539367737,2,1
1539371321,2,0
1539374935,1,2
1539378545,1,1
1539382146,2,2
1539385750,2,1
1539389403,20,2
1539392986,0,2
1539396643,1,1
1539400129,1,13
1539403739,1,1
1539407310,0,1
1539410925,1,1
1539418115,1,1
1539421710,1,0
1539425329,0,1
1539428938,0,1
1539436122,1,0
1539439722,1,0
1539443334,1,1
1539446920,0,1
1539450529,1,0
1539454118,0,1
1539457700,0,1
1539461346,1,0
1539472121,1,1
1539475732,1,0
1539479295,10,1
1539482901,1,1
1539486510,0,1
1539490119,1,15
1539504524,1,1
1539508138,1,0
1539511720,0,1
1539515319,0,1
1539522508,1,0
1539526106,1,0
1539529702,0,1
1539533324,1,1
1539544105,1,0
1539547690,1,1
1539551308,1,1
1539554905,0,1
1539558509,0,1
1539562138,1,0
1539565702,14,0
1539569313,0,1
1539572904,1,1
1539576507,1,22
1539580094,1,1
1539583705,1,1
1539587296,0,1
1539594506,1,1
1539598137,1,1
1539601709,1,0
1539605318,0,1
1539608905,0,1
1539612512,1,1
1539616139,1,0
1539619717,1,0
1539623306,1,1
1539626917,1,1
1539630764,0,1
1539634212,0,1
1539641309,0,1
1539644876,1,0
1539652114,18,0
1539655723,2,0
1539659326,2,0
1539662925,2,20
1539666528,4,3
1539670357,1,3
1539709765,4,4
1539713398,3,2
1539716882,2,2
1539720486,2,2
1539724098,0,2
1539727682,2,1
1539731273,1,2
1539735054,11,1
1539738510,1,2
1539742109,1,2
1539745729,1,17
1539749332,1,0
1539752923,2,1
1539756512,1,0
1539760124,0,2
1539763716,2,2
1539767320,2,1
1539770907,2,1
1539774489,1,1
1539778126,1,1
1539781714,1,2
1539785319,1,2
1539792521,1,1
1539796135,2,1
1539799737,1,1
1539803321,1,1
1539806905,1,2
1539810517,2,2
1539814117,2,2
1539817727,2,0
1539821359,17,1
1539824934,0,2
1539828530,3,1
1539832134,2,16
1539835741,1,1
1539839325,1,1
1539842915,2,1
1539846521,2,2
1539850133,2,2
1539853731,3,2
1539857324,0,1
1539864530,0,1
1539868141,1,2
1539871731,1,0
1539875343,1,1
1539882539,3,1
1539886110,1,2
1539889721,1,2
1539893309,0,3
1539896922,1,1
1539900530,1,1
1539904112,3,1
1539907739,1,0
1539911323,10,1
1539914926,0,3
1539918506,0,2
1539922122,0,17
1539954536,0,1
1539958126,1,0
1539994145,2,1
1539997714,12,0
1540004923,1,0
1540008503,0,12
1540080538,1,0
1540084133,14,0
1540087729,2,0
1540094916,1,14
1540109308,0,1
1540138129,1,0
1540141742,0,1
1540163320,0,1
1540166976,12,0
1540170532,1,0
1540174128,0,1
1540177733,0,10
1540181315,1,2
1540188537,0,1
1540192140,0,1
1540206514,1,0
1540210149,1,0
1540239169,1,0
1540250028,0,1
1540253908,16,0
1540264121,1,13
1540282117,0,1
1540285790,1,0
1540300127,0,1
1540336109,1,1
1540339718,3,0
1540343339,34,0
1540346931,0,1
1540350545,0,1
1540354117,0,14
1540426287,13,0
1540429727,2,0
1540433387,1,0
1540436937,1,10
1540440549,1,1
1540444133,1,2
1540447732,1,1
1540451330,1,1
1540454932,1,1
1540458515,2,1
1540462129,1,1
