DateTime,AddedIPs,RemovedIPs
1533333686,1,1
1533348094,0,1
1533355291,2,0
1533376892,0,2
1533434493,2,0
1533448892,2,2
1533463290,2,0
1533477692,0,4
1533481293,2,0
1533492085,2,0
1533495694,0,2
1533506495,0,2
1533535296,4,0
1533549692,0,2
1533560496,0,2
1533564094,3,0
1533578494,0,3
1533585693,2,0
1533614495,0,2
1533618092,2,0
1533632494,0,2
1533675691,2,0
1533690080,0,2
1533736884,2,0
1533751294,0,2
1533754893,2,0
1533787288,2,0
1533790886,0,2
1533801688,0,2
1533805287,2,0
1533819687,0,2
1533823279,2,0
1533837689,0,2
1533841288,2,0
1533855653,0,2
1533859255,2,0
1533866483,1,0
1533873684,0,2
1533880893,0,1
1533884483,2,0
1533888085,1,0
1533898883,0,2
1533902490,2,0
1533913284,0,1
1533916886,0,2
1533934853,0,1
1533938494,1,0
1533949297,1,0
1533963701,0,1
1534021294,2,0
1534024891,1,0
1534028500,2,0
1534035699,0,2
1534039297,0,1
1534042895,0,2
1534082494,2,0
1534096896,0,2
1534129290,3,0
1534143702,0,3
1534150900,0,0
1534154499,1,0
1534168897,0,1
1534183301,3,0
1534197693,0,2
1534204895,2,0
1534215693,2,1
1534219294,0,2
1534230097,0,2
1534240902,1,0
1534258898,0,1
1534266095,2,0
1534276896,2,0
1534280494,0,2
1534291291,0,2
1534294897,1,0
1534309295,0,1
1534323696,1,0
1534348899,0,1
1534377693,2,0
1534384894,1,0
1534392086,0,2
1534399287,0,1
1534424493,2,0
1534428094,0,1
1534431693,1,0
1534438894,0,2
1534460481,2,0
1534471288,1,0
1534485695,0,3
1534492883,1,0
1534500098,0,1
1534518084,1,0
1534528885,2,0
1534532486,1,1
1534543285,0,2
1534546883,2,1
1534557697,0,1
1534561298,1,2
1534575702,1,0
1534600895,2,1
1534615299,0,2
1534618893,1,0
1534633293,0,1
1534640494,1,0
1534658493,0,1
1534662097,1,0
1534683692,0,1
1534690895,1,0
1534726896,0,1
1534755698,1,0
1534780895,2,0
1534795300,0,2
1534802494,0,1
1534816900,1,0
1534831293,0,1
1534849295,1,0
1534867294,0,1
1534874496,1,0
1534881695,2,1
1534885297,1,0
1534896094,0,2
1534899699,0,1
1534914090,1,0
1534928496,0,1
1534939299,1,0
1534953696,0,1
1534986084,1,0
1535000497,0,1
1535025683,1,0
1535040092,0,1
1535054484,1,0
1535061683,2,0
1535068888,0,1
1535076083,0,2
1535086894,1,0
1535101292,0,1
1535122895,2,0
1535137283,0,2
1535140896,1,0
1535155292,0,1
1535158896,1,0
1535169679,0,1
1535180484,1,0
1535216485,2,0
1535230882,0,2
1535245281,2,0
1535270483,0,3
1535274083,2,0
1535277692,1,0
1535302884,0,2
1535317279,2,0
1535331676,0,2
1535360484,2,0
1535410876,1,0
1535425285,0,2
1535432479,0,1
1535472078,1,0
1535497280,2,0
1535511684,0,2
1535526083,0,1
1535540483,2,0
1535562085,0,2
1535569284,0,1
1535576492,1,0
1535580084,2,0
1535605290,0,2
1535612480,1,0
1535637679,2,0
1535652082,0,1
1535659287,0,1
1535662879,0,2
1535670078,2,0
1535680882,1,0
1535688080,0,2
1535691677,2,0
1535698876,0,1
1535713289,1,2
1535731279,3,0
1535745677,0,3
1535792489,3,0
1535806881,0,3
1535810477,3,0
1535824878,0,1
1535828487,0,2
1535850079,1,0
1535853679,2,0
1535864479,0,1
1535882488,0,2
1535889682,2,0
1535893288,0,1
1535900478,1,0
1535904079,0,2
1535943672,2,0
1535961672,0,2
1535972474,2,0
1535986873,0,2
1536022885,2,0
1536066090,0,2
1536069677,2,1
1536076878,1,0
1536084084,0,2
1536087685,2,0
1536109278,0,2
1536116478,2,0
1536134475,0,2
1536152483,2,0
1536166880,0,2
1536199280,2,0
1536246088,0,2
1536256882,2,0
1536274879,0,3
1536278478,1,0
1536310879,2,1
1536314480,1,0
1536328885,0,2
1536332484,2,0
1536336087,0,1
1536339679,1,0
1536346881,0,2
1536372087,2,0
1536386482,3,0
1536397276,0,1
1536404484,0,2
1536490872,2,0
1536501673,0,3
1536508877,0,2
1536516072,2,0
1536519671,3,0
1536541272,0,2
1536552074,2,0
1536566471,0,2
1536613280,2,0
1536627690,0,2
1536634889,3,0
1536638480,0,3
1536642079,3,0
1536649279,0,3
