DateTime,AddedIPs,RemovedIPs
1529051822,2,5
1529073862,5,8
1529096006,2,1
1529118024,15,9
1529140107,24,18
1529162166,15,3
1529184026,13,4
1529206084,12,3
1529227951,415,27
1529250013,138,4
1529271868,10,3
1529293736,7,3
1529315774,3,2
1529337642,3,31
1529359720,3,3
1529382025,5,2
1529404096,4,1
1529425952,8,23
1529448261,5,3
1529470335,3,4
1529492190,4,4
1529514280,8,7
1529536211,3,11
1529558195,5,4
1529580274,1660,9
1529602364,7,5
1529624671,7,1
1529646745,7,3
1529679962,2,8
1529701942,8,2
1529723804,1,17
1529745856,3,9
1529767955,9,15
1529790029,1,18
1529812108,3,16
1529833949,6,474
1529856020,7,20
1529877872,9,11
1529899956,64,3
1529922024,10,2
1529944106,6,4
1529966187,7,1
1529988262,2,4
1530010357,2,5
1530032464,5,23
1530054492,194,13
1530076354,4,2
1530098416,5,3
1530120485,6,9
1530142390,16,1
1530164412,5,3
1530186287,1,1728
1530208331,2,6
1530230306,5,4
1530263591,5,6
1530286499,21,2
1530308422,10,9
1530330534,5,3
1530352588,110,2
1530385459,4,7
1530407725,3,2
1530429615,4,2
1530462747,15,8
1530484809,21,9
1530506653,4,0
1530528508,1,1
1530550580,6,5
1530572452,6,11
1530594504,4,2
1530616365,3,4
1530638332,6,7
1530660259,1,172
1530682099,5,3
1530704192,4,2
1530727005,3,7
1530749068,4,5
1530771149,125,1
1530792991,6,3
1530815080,2,5
1530837173,4,5
1530859216,7,8
1530881321,7,12
1530903375,7,2
1530936269,2,6
1530958158,4,109
1530980197,8,2
1531002277,2,3
1531024375,3,2
1531046715,3,7
1531068869,7,12
1531090844,5,40
1531112920,3,3
1531134978,3,1
1531156818,4,26
1531179156,4,5
1531201472,1,5
1531223610,7,5
1531245636,5,2
1531267966,7,1
1531290037,4,5
1531312141,32,4
1531334425,4,2
1531356278,2,91
1531378404,1,42
1531411499,21,4
1531434398,5,6
1531456345,2,19
1531478437,2788,13
1531500494,2,4
1531522370,266187,0
1531555504,0,269371
1531865773,42204,0
1531887623,99,1011
1531909469,355,3274
1531931350,112,375
1531953640,249,334
1531975485,11394,250
1531997372,137,263
1532019369,128,607
1532041227,183,539
1532063087,1597,243
1532085169,99,8572
1532107236,115,376
1532129093,144,410
