DateTime,Entries,UniqueIPs
1539487463,2250,2250
1539489402,2237,2237
1539491298,2291,2291
1539493238,2320,2320
1539495150,2336,2336
1539497070,2337,2337
1539498985,2411,2411
1539500901,2333,2333
1539502822,2327,2327
1539504986,2402,2402
1539506900,2404,2404
1539508814,2407,2407
1539510744,3433,3433
1539512664,3857,3857
1539514584,3842,3842
1539516496,3821,3821
1539518487,3850,3850
1539520358,3832,3832
1539522266,3811,3811
1539524190,3846,3846
1539526114,3827,3827
1539528116,4235,4235
1539529990,4402,4402
1539531869,4502,4502
1539533795,4559,4559
1539535698,4538,4538
1539537621,4518,4518
1539539565,4537,4537
1539541464,4528,4528
1539543377,4051,4051
1539545304,4038,4038
1539547243,4020,4020
1539549146,4059,4059
1539551070,4053,4053
1539552988,4765,4765
1539554908,4760,4760
1539556820,4956,4956
1539558775,4953,4953
1539560679,4955,4955
1539562606,5021,5021
1539564521,6315,6315
1539566437,7248,7248
1539568388,8574,8574
1539570396,8896,8896
1539572202,8897,8897
1539574112,8897,8897
1539576057,8891,8891
1539577958,8969,8969
1539579888,8955,8955
1539581779,8932,8932
1539583726,8922,8922
1539585632,8893,8893
1539587545,9495,9495
1539589478,9493,9493
1539591541,9442,9442
1539593563,9443,9443
1539595467,9436,9436
1539597385,8692,8692
1539599307,8114,8114
1539601259,8165,8165
1539603153,8253,8253
1539605103,8230,8230
1539606989,8505,8505
1539608927,8879,8879
1539610817,8828,8828
1539612762,8816,8816
1539614661,8460,8460
1539616834,8297,8297
1539618752,8140,8140
1539620668,8100,8100
1539622615,8132,8132
1539624516,8132,8132
1539627390,8207,8207
1539629561,8216,8216
1539631480,8229,8229
1539633374,8233,8233
1539635820,8187,8187
1539637957,8188,8188
1539639857,8186,8186
1539641809,8184,8184
1539643717,8178,8178
1539645636,8174,8174
1539647557,8180,8180
1539649472,7823,7823
1539651401,6594,6594
1539653315,4794,4794
1539655263,4226,4226
1539657159,4169,4169
1539659113,4204,4204
1539660992,4213,4213
1539662923,4226,4226
1539664869,4127,4127
1539666760,4141,4141
1539668662,4160,4160
1539670605,4181,4181
1539672518,3859,3859
1539674434,3654,3654
1539676354,3681,3681
1539678277,3705,3705
1539680439,3719,3719
1539682348,3731,3731
1539684527,3757,3757
1539686408,3771,3771
1539688361,3627,3627
1539690258,3633,3633
1539692219,3637,3637
1539694117,3697,3697
1539696033,3709,3709
1539697946,3386,3386
1539699877,3086,3086
1539702038,3094,3094
1539703963,3099,3099
1539706052,3165,3165
1539708277,3229,3229
1539710187,3191,3191
1539712348,3094,3094
1539714261,4208,4208
1539716186,4401,4401
1539718097,4406,4406
1539720056,4425,4425
1539721953,4426,4426
1539724111,4455,4455
1539726035,4494,4494
1539727955,4506,4506
1539730104,4316,4316
1539732024,4318,4318
1539733953,4321,4321
1539735876,4330,4330
1539737774,4322,4322
1539739698,4319,4319
1539741644,3570,3570
1539743544,3557,3557
1539745483,3535,3535
1539747373,3536,3536
1539749303,3544,3544
1539751244,3665,3665
1539753148,3657,3657
1539755056,3648,3648
1539756992,3633,3633
1539758896,3601,3601
1539760809,3614,3614
1539762757,3630,3630
1539764660,3635,3635
1539766844,3616,3616
1539768763,3623,3623
1539770660,3612,3612
1539772602,3616,3616
1539774521,3607,3607
1539776436,3604,3604
1539778355,3613,3613
1539780284,3615,3615
1539782191,3585,3585
1539784104,3632,3632
1539786040,3648,3648
1539787968,3666,3666
1539790140,3693,3693
1539792036,3639,3639
1539793960,3649,3649
1539795887,3668,3668
1539797792,3691,3691
1539799722,3284,3284
1539801637,2346,2346
1539803548,2344,2344
