DateTime,Entries,UniqueIPs
1533536454,20,20
1533546028,21,21
1533549886,22,22
1533553726,18,18
1533555627,19,19
1533557578,20,20
1533561402,21,21
1533567151,19,19
1533569070,18,18
1533571003,18,18
1533572990,16,16
1533574869,15,15
1533576735,17,17
1533578551,18,18
1533584182,17,17
1533586180,18,18
1533590052,17,17
1533593871,18,18
1533595715,19,19
1533597626,18,18
1533601516,19,19
1533605386,20,20
1533613041,21,21
1533616874,19,19
1533618734,20,20
1533622574,18,18
1533624606,19,19
1533627628,18,18
1533629563,19,19
1533631459,18,18
1533635321,17,17
1533639157,19,19
1533641059,19,19
1533642973,18,18
1533647059,18,18
1533650900,19,19
1533656663,18,18
1533662658,16,16
1533668756,17,17
1533670591,18,18
1533672558,17,17
1533674431,18,18
1533676452,19,19
1533680228,18,18
1533686310,17,17
1533688180,16,16
1533690033,17,17
1533692053,16,16
1533699869,15,15
1533701771,16,16
1533705612,15,15
1533707526,16,16
1533709452,18,18
1533711385,18,18
1533715119,17,17
1533720976,20,20
1533723178,21,21
1533725065,21,21
1533727024,20,20
1533734705,21,21
1533736579,21,21
1533744282,22,22
1533754107,21,21
1533756258,20,20
1533758199,20,20
1533760094,19,19
1533762035,20,20
1533771643,20,20
1533773548,21,21
1533775455,22,22
1533777398,23,23
1533779297,22,22
1533786971,21,21
1533788919,22,22
1533794678,21,21
1533796608,19,19
1533798502,18,18
1533808107,15,15
1533811951,13,13
1533813870,12,12
1533821788,11,11
1533825617,12,12
1533827544,13,13
1533829474,14,14
1533831407,13,13
1533837878,15,15
1533845561,14,14
1533849395,14,14
1533857053,13,13
1533861732,10,10
1533863555,9,9
1533865556,11,11
1533875055,12,12
1533877127,14,14
1533884800,13,13
1533890435,15,15
1533901943,16,16
1533905925,17,17
1533907824,16,16
1533911689,15,15
1533913592,14,14
1533915521,13,13
1533924996,12,12
1533927029,13,13
1533928833,15,15
1533935072,14,14
1533940818,15,15
1533946581,16,16
1533950450,15,15
1533952355,14,14
1533954290,15,15
1533960176,16,16
1533962171,15,15
1533964119,14,14
1533967935,17,17
1533975608,16,16
1533977530,15,15
1533981367,17,17
1533989337,17,17
1533993144,16,16
1534000722,18,18
1534004650,19,19
1534012367,18,18
1534014268,16,16
1534016175,15,15
1534018115,17,17
1534032756,16,16
1534040927,15,15
1534046666,14,14
1534048594,15,15
1534050501,14,14
1534054340,11,11
1534058188,12,12
1534060121,13,13
1534067797,11,11
1534069701,14,14
1534075485,12,12
1534077395,11,11
1534086979,10,10
1534089043,9,9
1534092987,10,10
1534096861,11,11
1534098735,12,12
1534100654,13,13
1534104498,13,13
1534114101,14,14
1534117955,15,15
1534121792,16,16
1534123698,18,18
1534127787,17,17
1534133787,15,15
1534143395,14,14
1534145289,16,16
1534148202,15,15
1534155871,12,12
1534161609,13,13
1534179396,12,12
1534183275,11,11
1534185166,11,11
1534187075,10,10
1534189000,11,11
1534191082,12,12
1534197147,14,14
1534201000,13,13
1534203778,12,12
1534205662,13,13
1534207480,12,12
1534209382,11,11
1534211315,12,12
1534223813,13,13
1534225845,14,14
1534229706,15,15
1534231687,14,14
1534241313,15,15
1534249015,15,15
1534252942,16,16
1534272790,15,15
1534276595,12,12
1534278494,13,13
1534280451,14,14
1534282356,15,15
1534284270,13,13
1534288110,14,14
1534291955,13,13
1534295686,12,12
1534297696,11,11
1534305651,12,12
1534309484,11,11
1534313323,10,10
1534315220,9,9
1534317147,8,8
1534319077,9,9
1534326764,8,8
