DateTime,AddedIPs,RemovedIPs
1538943625,1,2
1538945558,1,2
1538947477,0,2
1538949372,0,1
1538951321,0,3
1538955164,0,1
1538957089,0,1
1538959215,1,2
1538961392,3,1
1538963296,1,2
1538965223,5,1
1538967151,0,1
1538969078,3,1
1538970982,3,1
1538972904,0,1
1538975807,3,0
1538977722,4,2
1538979885,4,1
1538981775,3,3
1538983713,1,3
1538985686,1,2
1538987537,1,0
1538989457,2,0
1538991623,1,4
1538995479,1,2
1538997402,2,0
1538999299,4,1
1539003144,1,0
1539005082,1,4
1539007019,4,1
1539009146,2,0
1539011132,0,1
1539012983,1,0
1539014951,2,1
1539016817,3,0
1539018739,2,1
1539020679,1,2
1539024519,2,1
1539026699,3,1
1539028589,2,1
1539030512,2,2
1539032866,5,0
1539034837,1,0
1539036762,3,0
1539038675,1,0
1539040608,1,0
1539042504,1,0
1539044436,1,1
1539046365,3,0
1539048302,2,2
1539050198,0,1
1539052094,3,5
1539054088,2,0
1539055956,3,3
1539057888,2,2
1539059801,3,0
1539061725,0,3
1539063620,3,5
1539065831,7,3
1539067701,1,3
1539069628,1,2
1539071802,4,1
1539073742,1,0
1539075862,5,3
1539078024,1,1
1539079952,2,0
1539081884,0,1
1539083790,1,2
1539085712,1,4
1539087629,1,0
1539089544,1,1
1539091584,2,1
1539093694,2,5
1539095549,2,1
1539097532,3,0
1539099630,2,1
1539101548,0,2
1539103484,3,3
1539105388,1,2
1539107323,1,1
1539109234,1,0
1539111144,1,2
1539113096,2,3
1539114997,1,1
1539116911,0,2
1539118872,2,5
1539120741,4,1
1539122677,2,0
1539124589,1,4
1539126527,0,2
1539128442,0,1
1539130362,1,1
1539132265,0,1
1539134182,1,3
1539136126,1,2
1539138022,0,4
1539139967,3,1
1539141861,1,2
1539143778,0,4
1539145716,2,2
1539147677,2,1
1539149563,0,3
1539151472,6,1
1539153404,2,7
1539155330,1,0
1539157237,0,5
1539161063,2,4
1539163013,2,3
1539166845,1,2
1539168758,3,0
1539170665,4,2
1539174525,0,1
1539176475,2,1
1539178368,3,2
1539180509,1,1
1539182442,2,4
1539184785,0,2
1539186729,1,1
1539188685,3,1
1539190575,2,2
1539192503,0,1
1539194480,2,1
1539196371,2,1
1539198264,2,0
1539200177,0,2
1539202122,3,1
1539204016,1,1
1539205962,2,3
1539207862,2,3
1539209781,1,1
1539211716,1,1
1539213624,1,0
1539215561,0,1
1539219674,4,0
1539221580,1,2
1539223479,0,1
1539225404,4,2
1539227298,1,2
1539229239,2,1
1539231144,1,0
1539233056,0,2
1539235005,2,1
1539237031,0,2
1539238832,1,4
1539240760,0,3
1539246516,0,2
1539248477,0,2
1539252264,0,1
1539254174,0,3
1539256127,0,2
1539258020,0,2
1539262102,0,2
1539264040,1,1
1539266158,1,2
1539268090,0,1
1539270999,0,1
1539272896,2,1
1539274845,0,3
1539276733,0,2
1539280591,0,2
1539282500,0,1
1539284465,0,2
1539288270,0,2
1539290174,2,1
1539292120,0,2
1539294039,0,1
1539295937,0,2
1539297857,2,1
1539301725,0,1
1539303721,1,0
1539305562,2,4
1539307470,0,2
1539309397,0,1
1539311314,1,2
1539314182,0,3
1539316115,0,3
1539319962,0,3
1539321881,1,1
1539325713,0,1
1539343450,1,0
1539351391,1,2
1539355483,1,0
1539359302,0,2
1539361239,1,0
1539363150,1,0
1539366999,1,0
1539370866,0,1
1539372749,1,0
1539376581,1,2
1539384795,0,1
1539386934,2,0
1539390779,0,2
1539392662,0,1
1539394601,2,0
1539400336,0,1
1539402277,1,0
1539408035,1,1
1539411889,1,0
1539431079,1,0
1539434895,1,0
1539436828,0,1
1539442580,1,0
1539448604,0,2
1539454358,0,1
1539460122,1,0
1539462013,0,1
1539469716,1,0
1539472604,3,1
1539474492,1,0
1539480275,1,2
1539484110,1,0
1539487955,1,0
1539495636,0,1
1539503300,3,0
1539505476,1,0
1539515081,0,1
1539516977,2,0
1539518924,0,1
1539520823,0,5
1539528532,0,1
1539532358,1,0
1539538111,1,0
1539544836,2,0
1539546759,0,2
1539552512,1,0
1539554454,1,0
1539556420,0,1
1539558775,0,1
1539560682,1,0
1539562606,1,0
1539570397,0,1
1539576077,0,1
1539587546,1,0
1539589478,0,3
1539593564,2,2
1539595468,1,0
1539597386,1,0
1539601279,1,1
1539605115,0,2
1539610818,1,1
1539612763,1,0
1539614661,0,1
1539618753,0,1
1539620669,1,0
1539622615,1,0
1539624517,2,0
1539628598,2,0
1539630525,1,1
1539632436,1,0
1539634345,4,0
1539638179,2,1
1539642263,2,1
1539644210,1,0
1539646100,0,1
1539649959,2,1
1539655710,1,0
1539669141,2,0
1539671088,1,0
1539672984,3,0
1539674903,0,2
1539678875,0,2
1539680678,0,1
1539682573,0,1
1539686409,0,1
1539688362,1,0
1539692220,1,0
1539696034,3,0
1539697947,0,3
1539699878,1,0
1539702077,1,0
1539703964,1,0
1539710188,0,2
1539712349,2,0
1539714262,0,1
1539716187,1,1
1539718098,3,1
1539720090,1,2
1539721955,3,1
1539724113,0,2
1539726036,2,0
1539727956,1,1
1539730105,2,2
1539732026,1,1
1539735877,0,1
1539737775,0,2
1539741688,1,0
1539743545,0,1
1539745484,3,0
1539749305,1,0
1539751245,1,0
1539753149,2,0
1539757003,0,3
1539758897,1,2
1539760810,0,2
1539768764,1,0
1539772603,1,0
1539774533,0,1
1539778356,0,1
1539784106,0,1
1539786041,2,1
1539787969,2,2
1539790141,0,1
1539795906,2,0
1539799723,0,2
1539801638,1,0
1539803549,0,1
1539805480,6,2
1539807426,3,2
1539809550,0,2
1539811479,0,1
1539813386,0,1
1539817258,0,2
1539819148,1,1
1539822978,1,0
1539824911,1,1
1539826821,1,0
1539829127,0,1
1539831133,1,2
1539833073,0,1
1539835254,1,0
1539837147,0,1
1539839063,1,2
1539841249,1,1
1539845085,2,1
1539848903,2,0
1539852761,1,0
1539856589,0,1
1539858504,0,1
1539860469,1,0
1539862348,2,0
1539864297,0,1
1539871954,1,1
1539873874,1,3
1539881545,0,1
1539885378,1,0
1539889484,2,1
1539891379,1,2
1539893305,1,5
1539895214,0,1
1539897164,1,0
1539900995,1,0
1539902922,0,1
1539904846,0,1
1539908684,0,2
1539910579,1,0
1539912523,1,1
1539914461,2,0
1539916358,1,1
1539920173,0,1
1539924038,1,1
1539929813,0,1
1539931723,0,1
1539933633,1,0
1539935569,1,3
1539937474,1,0
1539939417,2,0
1539943275,1,1
1539945148,1,0
1539947121,1,2
1539949210,0,1
1539955216,0,1
1539959062,1,3
1539971058,0,1
1539972984,2,0
1539976824,0,2
1539978737,0,2
1539982581,0,1
1539984507,0,1
1539988345,1,0
1539992186,2,0
1539994100,1,0
1539996023,1,1
1539999877,0,1
1540001781,1,1
1540003705,0,1
1540009476,0,1
1540020983,0,2
1540022913,0,2
1540024845,1,1
1540026771,2,1
1540028666,1,0
1540030600,0,1
1540032503,0,2
1540038274,1,0
1540040195,1,0
1540045954,0,1
1540047880,1,0
1540049800,2,0
1540057476,1,0
1540059392,2,2
1540065172,1,0
1540067158,2,0
1540072914,1,1
1540074750,0,1
1540078595,2,2
1540080523,0,1
1540082449,0,1
1540088201,0,1
1540090105,1,0
1540097807,1,0
1540099706,2,0
1540101711,1,0
1540105733,1,0
1540111705,2,2
1540113866,1,0
1540115800,1,1
1540123491,1,0
1540125382,1,1
1540127380,1,1
1540133058,1,0
1540134860,0,1
1540136916,0,2
1540141255,1,0
1540143146,1,1
1540147005,0,2
1540152759,0,3
1540158492,1,0
1540160433,1,2
1540164271,1,1
1540166176,0,1
1540174035,1,0
1540176031,0,1
1540185875,0,2
1540187784,0,1
1540189702,1,0
1540192595,0,1
1540198348,0,3
1540202195,0,1
1540204340,1,0
1540206254,3,0
1540210126,1,1
1540212038,0,1
1540213947,2,2
1540219724,0,1
1540225578,1,0
1540227677,0,1
1540231715,2,0
1540243214,1,0
1540245143,0,1
1540247071,0,1
1540248986,1,0
1540251141,0,1
1540260739,0,1
1540266497,1,0
1540268416,1,0
1540270340,1,0
1540276104,1,1
1540278297,1,0
1540287880,2,0
1540289914,1,0
1540291718,0,4
1540297499,1,1
1540299399,0,1
1540301536,0,1
1540311391,0,1
1540317395,1,2
1540328901,0,1
1540336605,0,1
1540338498,1,0
1540340462,2,0
1540352210,0,1
1540354119,0,1
1540356025,0,1
1540358531,1,0
1540360601,1,0
1540362542,1,1
1540364689,1,0
1540368767,1,0
1540370681,1,0
1540372591,2,0
1540374496,0,2
1540376444,1,1
1540378617,1,0
1540382730,0,1
1540384817,1,0
1540389145,1,0
1540392995,1,0
1540398750,1,0
1540400736,2,0
1540402594,0,1
1540406426,1,0
1540408343,1,0
1540412196,1,0
1540416026,3,0
1540420008,2,0
1540422114,2,0
1540426036,1,1
1540428019,0,1
1540433798,3,1
1540439801,2,0
1540441950,3,0
1540443890,1,1
1540447956,0,1
1540449892,0,1
1540451797,1,1
1540453714,0,1
1540455654,1,0
1540457551,2,2
1540459483,0,1
1540461406,2,0
