DateTime,AddedIPs,RemovedIPs
1537529085,1,0
1537546606,2,2
1537562173,0,1
1537564129,0,1
1537566037,2,0
1537567959,1,0
1537569858,1,0
1537575648,1,0
1537590269,1,1
1537594361,1,0
1537596277,0,1
1537600115,0,1
1537603954,0,1
1537605870,0,1
1537615470,0,1
1537617383,1,0
1537623146,1,0
1537632780,0,2
1537634663,1,0
1537640422,1,0
1537648098,1,0
1537650082,1,0
1537651953,1,1
1537653886,0,2
1537657705,0,1
1537661545,0,1
1537667300,2,0
1537674981,1,1
1537678870,1,1
1537680751,1,0
1537686503,1,0
1537692266,1,0
1537703795,0,1
1537705704,1,0
1537721069,0,1
1537726821,0,1
1537730663,1,0
1537732744,1,0
1537734751,0,2
1537736671,0,1
1537738597,0,1
1537744341,1,0
1537753942,1,2
1537759696,1,0
1537761697,0,1
1537765465,0,2
1537773148,0,1
1537778901,0,1
1537790487,0,1
1537792361,1,0
1537796203,1,0
1537798126,1,0
1537817803,0,2
1537831221,0,1
1537840894,0,1
1537846574,0,1
1537856213,1,0
1537879461,0,1
1537881401,1,1
1537885243,0,1
1537891488,1,0
1537901062,1,0
1537906837,2,0
1537908763,2,0
1537910675,1,0
1537918364,1,0
1537929875,1,0
1537931798,1,0
1537933706,1,0
1537935637,1,0
1537937541,2,0
1537939473,1,0
1537941399,0,1
1537943315,1,0
1537945285,1,0
1537947159,1,0
1537951002,1,0
1537952928,2,0
1537954813,1,0
1537964906,2,0
1537966826,1,1
1537978395,0,1
1537982205,1,0
1537987963,0,1
1537991802,0,1
1537993715,0,2
1537995791,0,1
1537998027,0,1
1538003791,0,1
1538015310,0,1
1538017274,0,1
1538019156,0,1
1538022999,0,1
1538024921,0,3
1538028780,0,1
1538030673,0,1
1538032622,0,1
1538036671,0,1
1538038583,0,1
1538040503,0,2
1538044457,1,0
1538046285,1,0
1538050128,0,1
1538052023,0,1
1538053952,0,1
1538067869,1,1
1538073626,1,0
1538075559,1,0
1538088986,1,0
1538092895,1,0
1538099089,1,0
1538108672,1,0
1538112504,1,0
1538132200,0,2
1538151404,2,0
1538153303,1,1
1538155236,1,0
1538159065,1,1
1538160990,1,1
1538166759,1,0
1538168675,1,0
1538170598,1,0
1538174445,1,0
1538176750,1,1
1538178755,1,0
1538180666,2,1
1538182597,1,0
1538184491,2,0
1538186504,0,1
1538188355,3,0
1538196026,0,1
1538197963,1,0
1538199863,2,0
1538203701,2,0
1538205619,1,0
1538209466,1,0
1538211390,3,0
1538213294,2,0
1538215301,0,1
1538217156,1,0
1538219324,1,0
1538221235,2,0
1538223141,1,0
1538226991,1,0
