DateTime,AddedIPs,RemovedIPs
1512429166,1,0
1512864983,25,0
1513998983,0,1
1515526265,0,25
1516267974,1,0
1518141670,0,1
1518752705,0,1
1519106899,1,0
1521590919,0,1
1526353299,2,0
1526701930,0,1
1527225403,0,0
1527312659,0,0
1527400172,0,0
1527836195,0,0
1527923308,0,0
1528271767,0,0
1529142981,1,0
1529927293,0,1
1530406615,1,0
1531539163,7892,0
1531887870,0,6312
1531974983,2,30
1532062107,0,31
1532149243,3,30
1532236604,1,30
1532323696,4,20
1532410822,1,24
1532498015,3,26
1532585072,0,33
1532672204,3,30
1532759301,3,33
1532846436,2,32
1532933794,4,21
1533021270,1,20
1533108762,2,22
1533196121,7,31
1533283228,3,35
1533370333,2,25
1533457476,4,23
1533544606,2,38
1533631708,4,23
1533718966,2,49
1533806191,3,38
1533893299,1,39
1533980411,1,50
1534067530,2,698
1534154660,0,28
1534241772,2,9
1534329158,2,3
1534416274,3,9
1534503804,3,3
1534590980,1,3
1534678390,7,2
1534765548,1,6
1534852593,3,3
1534939711,2,4
1535026839,1,4
1535113960,2,3
1535201191,1,2
1535288556,2,4
1535375719,5,39
1535463161,1,2
1535550252,2,6
1535637436,2,4
1535724755,2,6
1535811883,2,7
1535899246,4,8
1535986352,0,1
1536073726,3,4
1536160820,2,2
1536248195,1,4
1536335295,1,4
1536422450,3,5
1536509794,3,3
1536596929,1,3
1536684009,4,3
1536771156,1,2
1536858313,1,4
1536945386,1,2
1537032743,3,1
1537119873,2,5
1537206967,2,3
1537294355,16,5
1537381457,3,1
1537468836,0,2
1537555959,3,3
1537643052,42,1
1537730202,1,3
1537817300,2,0
1537904421,2,2
1537991801,1,3
1538078931,1,2
1538166273,4,2
1538253395,5,3
1538340501,1,3
1538427877,1,2
1538514993,10,2
1538602088,1,0
1538776604,3,3
1538863725,0,4
1538950819,1,0
1539037937,2,3
1539125085,3,2
1539212178,3,2
1539299305,1,2
1539386438,1,1
1539473562,1,1
1539560682,1,2
1539647778,3,3
1539734932,2,1
1539822031,3,3
1539909145,2,3
1539996518,2,3
1540083882,0,3
1540170988,2,2
1540258362,0,2
1540345491,6,1
1540432868,4,0
