DateTime,AddedIPs,RemovedIPs
1538593512,0,9
1538595377,0,13
1538597311,11,0
1538599474,3,2
1538601405,3,0
1538603304,8,5
1538605220,0,14
1538607138,2,5
1538609074,21,0
1538610984,8,8
1538612903,3,0
1538618910,1,0
1538620825,20,1
1538622743,6,0
1538624684,9,0
1538626592,2,0
1538638113,0,1
1538640078,8,0
1538641958,13,0
1538643863,6,0
1538645798,2,0
1538651568,0,1
1538653475,0,19
1538659476,0,2
1538661411,0,2
1538665273,0,1
1538667161,1,0
1538669083,0,10
1538670998,3,8
1538672929,7,10
1538674833,2,1
1538676740,1,1
1538678688,2,1
1538680590,13,0
1538682520,3,3
1538684440,3,8
1538686334,0,5
1538688272,0,2
1538690193,1,7
1538694097,7,20
1538695948,17,13
1538697898,1,7
1538699772,5,3
1538701715,6,0
1538705800,0,6
1538707730,7,21
1538709631,5,0
1538711550,9,11
1538726924,0,8
1538728815,0,13
1538730995,11,8
1538732903,7,0
1538734834,3,0
1538744497,1,0
1538748305,3,0
1538754291,3,1
1538756193,3,0
1538758345,10,10
1538760284,7,0
1538762197,4,3
1538764228,3,0
1538766085,5,14
1538767974,0,1
1538769878,0,5
1538771803,0,1
1538777565,7,1
1538779463,4,1
1538781394,0,16
1538783329,0,8
1538785235,1,5
1538787163,1,4
1538789118,0,2
1538791024,13,0
1538792934,13,0
1538794886,6,12
1538796759,2,0
1538798671,0,9
1538806854,7,0
1538808765,6,0
1538810668,3,0
1538812603,1,0
1538816485,0,8
1538818341,0,10
1538822216,1,3
1538829878,0,1
1538833960,0,3
1538837793,1,0
1538841680,1,3
1538843556,0,7
1538845484,0,8
1538847377,0,9
1538849327,8,0
1538851220,10,5
1538853144,14,3
1538855064,2,0
1538858896,1,0
1538862742,0,7
1538864674,0,1
1538866586,1,3
1538872357,1,2
1538876684,0,10
1538878599,9,14
1538880507,16,4
1538882443,11,4
1538884336,21,2
1538886273,10,0
1538888212,1,0
1538890094,1,0
1538892175,0,4
1538894425,0,3
1538896353,0,9
1538898262,3,1
1538900192,12,0
1538902129,14,0
1538904017,3,0
1538905940,6,0
1538907863,2,1
1538909776,1,0
1538914596,6,0
1538916509,1,0
1538918432,8,0
1538920369,2,0
1538924203,0,1
1538928109,2,1
1538929949,1,0
1538935955,0,10
1538937858,0,13
1538939799,4,9
1538941709,4,2
1538945559,0,1
1538953279,0,1
1538959216,0,1
1538961394,1,0
1538963297,14,0
1538965224,12,9
1538967152,1,16
1538969080,0,14
1538970984,0,18
1538972905,0,10
1538974876,0,1
1538976762,0,1
1538984430,0,3
1538986359,0,9
1538988261,0,16
1538990200,1,4
1538992125,0,6
1538994036,0,2
1538995961,2,0
1538997860,4,1
1538999794,4,6
1539001715,4,1
1539004597,0,8
1539006738,0,2
1539008675,9,0
1539010581,11,0
1539014428,0,2
1539016358,0,1
1539026190,0,4
1539028113,0,4
1539031953,1,0
1539037692,1,0
1539043465,6,0
1539045398,3,0
1539047320,1,1
