DateTime,AddedIPs,RemovedIPs
1539302682,2,2
1539304586,2,5
1539306524,1,4
1539308416,2,2
1539310359,1,0
1539312281,1,2
1539314183,0,1
1539316117,0,1
1539318027,4,1
1539319963,0,1
1539323780,0,1
1539325714,0,1
1539327676,0,2
1539329559,0,2
1539331722,1,1
1539337458,0,1
1539341553,1,0
1539343451,1,0
1539345388,1,0
1539347288,1,1
1539349310,2,0
1539351392,1,3
1539353432,3,0
1539355484,1,1
1539357395,0,1
1539359303,1,1
1539361240,2,2
1539363151,0,1
1539365062,1,3
1539368907,1,1
1539370879,1,1
1539372750,1,0
1539374708,2,3
1539376582,1,2
1539378523,3,4
1539380425,3,1
1539382353,2,2
1539384796,1,1
1539386935,0,5
1539392663,1,0
1539394602,1,2
1539396560,0,3
1539400337,2,0
1539404189,0,1
1539406096,0,1
1539408036,1,1
1539411890,1,0
1539413798,1,2
1539415691,0,1
1539417691,0,1
1539419570,1,1
1539421469,0,1
1539423373,5,2
1539425325,1,0
1539427242,1,0
1539429145,1,0
1539431080,0,1
1539433012,2,1
1539434896,0,3
1539436829,1,1
1539440778,2,1
1539442582,2,1
1539444763,2,1
1539446671,3,1
1539448605,1,1
1539452438,0,1
1539454359,2,1
1539456272,0,2
1539458204,2,1
1539460124,2,3
1539462014,1,1
1539463965,2,4
1539465876,0,1
1539467779,3,3
1539471675,1,0
1539475467,3,1
1539477400,1,2
1539479340,1,2
1539481235,0,1
1539483143,2,1
1539485076,1,1
1539487040,0,1
1539488896,0,1
1539492739,3,0
1539496615,1,0
1539498522,1,1
1539503301,0,2
1539505477,0,1
1539507371,0,1
1539509310,1,2
1539511304,1,1
1539513160,1,0
1539515083,0,1
1539516978,0,1
1539518926,0,1
1539520824,2,0
1539522763,0,1
1539524675,1,1
1539526603,4,1
1539528533,3,1
1539530416,4,2
1539534279,0,3
1539536171,2,2
1539538113,1,0
1539540071,2,2
1539541955,2,1
1539543881,3,1
1539545799,1,1
1539547720,0,2
1539549635,1,1
1539551556,2,1
1539553476,3,1
1539555401,2,2
1539559268,1,0
1539561197,0,1
1539563069,2,1
1539565002,2,0
1539570753,0,2
1539572689,4,1
1539574576,1,1
1539576501,1,0
1539578427,0,2
1539580348,0,1
1539582279,0,2
1539584191,0,1
1539586102,1,0
1539588016,1,0
1539589944,0,1
1539592113,0,2
1539594038,0,1
1539595954,0,2
1539597913,1,1
1539599789,1,2
1539605551,0,1
1539607479,2,2
1539609391,1,0
1539613214,0,3
1539615239,0,3
1539617065,2,2
1539619259,1,0
1539621157,1,2
1539623069,3,1
1539624987,0,3
1539626921,4,2
1539629062,2,0
1539630989,1,2
1539634853,0,1
1539636998,1,2
1539640858,2,2
1539642761,2,0
1539644682,2,0
1539650481,0,2
1539652361,0,1
1539654273,2,2
1539658092,3,1
1539661953,1,3
1539663872,0,2
1539667695,1,0
1539669665,0,2
1539673476,1,1
1539675397,0,1
1539679231,1,0
1539683086,1,0
1539684986,2,2
1539686916,1,1
1539688825,2,0
1539690738,3,0
1539692682,0,1
1539694592,0,1
1539696503,1,1
1539698459,1,0
1539700345,3,0
1539702386,2,1
1539704422,2,2
1539706637,0,1
1539708752,1,2
1539710669,2,1
1539712857,1,0
1539714737,0,2
1539716699,1,4
1539718587,1,0
1539720517,0,1
1539722428,3,0
1539724605,1,2
1539726495,2,0
1539728414,1,1
1539730595,1,2
1539732495,1,1
1539734431,0,1
1539736342,2,0
1539738285,2,2
1539744018,1,1
1539745947,2,1
1539749804,0,1
1539753613,0,1
1539757494,1,0
1539759376,0,1
1539764207,5,0
1539766345,0,1
1539768261,1,0
1539770213,0,1
1539772096,0,2
1539774057,0,1
1539775947,0,1
1539779793,1,1
1539781722,1,1
1539785549,1,1
1539787470,0,2
1539789511,1,0
1539791561,0,1
1539793467,3,0
1539795393,2,2
1539797306,1,0
1539800197,5,2
1539802098,3,1
1539805946,1,0
1539807858,3,11
1539810994,1,2
1539812897,1,3
1539814835,2,2
1539818675,1,3
1539820592,1,1
1539822513,2,2
1539824452,1,2
1539826360,1,0
1539828263,4,0
1539830188,0,1
1539832106,2,1
1539834264,1,1
1539838102,1,0
1539843860,0,2
1539845798,2,0
