DateTime,AddedIPs,RemovedIPs
1539490836,3,3
1539492740,48,1
1539494678,6,2
1539496615,3,4
1539498523,8,4
1539500466,81,141
1539502364,26,1
1539504528,107,3
1539506443,5,15
1539508341,4,2
1539510282,0,1
1539512214,3,4
1539514120,0,33
1539516042,2,6
1539517965,85,33
1539519886,6,4
1539521795,4,4
1539523712,79,7
1539525671,1,2
1539527570,219,6
1539529519,861,3
1539531403,467,3
1539533348,516,5
1539535242,2,2
1539537141,3,1
1539539087,30,1
1539541014,2,5
1539542919,3,1142
1539544837,8,10
1539546760,3,4
1539548676,1,2
1539550596,3,3
1539552513,1,53
1539554478,3,5
1539556421,206,2
1539558776,127,5
1539560684,2,0
1539562607,0,4
1539564523,3,3
1539566438,1,2
1539568390,0,6
1539570398,2,3
1539572205,2,4
1539574114,2,3
1539576091,4,2
1539577963,144,50
1539579891,3,4
1539581781,17,2
1539583727,3,2
1539585633,28,65
1539587547,3,2
1539589480,3,2
1539591552,4,102
1539593565,3,7
1539595469,1,2
1539597387,3,0
1539599309,18,3
1539601285,3,2
1539603155,3,2
1539605120,2,77
1539606991,970,6
1539608930,1146,5
1539610820,4,78
1539612764,3,1
1539614663,3,735
1539616838,3,445
1539618755,2,632
1539620670,2,195
1539622617,51,1
1539624518,6,4
1539626472,87,31
1539628599,7,5
1539630526,4,5
1539632437,4,4
1539634346,5,3
1539636299,2,2
1539638180,4,3
1539640111,3,2
1539642264,7,8
1539644211,4,4
1539646101,3,4
1539648027,9,0
1539649960,1,1
1539651870,6,3
1539653793,6,0
1539655711,983,0
1539657622,1,4
1539659568,29,0
1539661473,5,3
1539663401,1,2
1539665300,4,168
1539667224,4,3
1539669142,4,12
1539671089,4,5
1539672985,6,39
1539674904,47,2
1539676861,8,3
1539678876,10,4
1539680679,6,2
1539682574,8,4
1539684530,10,1
1539686411,8,17
1539688364,18,4
1539690262,4,2
1539692222,7,4
1539694120,917,3
1539696036,92,3
1539697949,51,1198
1539699880,6,925
1539702089,3,4
1539703965,5,1
1539706057,5,1
1539708279,279,4
1539710190,4,41
1539712351,11,107
1539714264,7,4
1539716189,5,3
1539718100,4,3
1539720108,10,5
1539721966,4,4
1539724115,32,2
1539726044,40,5
1539727958,9,4
1539730113,9,289
1539732028,6,27
1539733957,5,7
1539735879,8,2
