DateTime,Entries,UniqueIPs
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527344841,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527366746,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527389394,2,2
1527905303,2,2
1527905303,2,2
1527905303,2,2
1527905303,2,2
1527905303,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527927454,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527950169,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527972878,2,2
1527995066,2,2
1527995066,2,2
1527995066,2,2
1527995066,2,2
1527995066,2,2
1528083373,0,0
1528083373,0,0
1528083373,0,0
1528083373,0,0
1528083373,0,0
1528083373,0,0
1529420667,2,2
1529992349,0,0
1530030976,1,1
1530097000,2,2
1530118888,3,3
1530427692,4,4
1530647441,3,3
1530702267,2,2
1530724121,2,2
1530812423,3,3
1531330811,2,2
1531374993,0,0
1531401883,1,1
1531523797,989,989
1531545882,179721,179721
1531744634,179722,179722
1531877075,8817,8817
1531899141,8807,8807
1531920987,8807,8807
1531943095,8792,8792
1531965150,9254,9254
1531987276,9249,9249
1532009349,9215,9215
1532031393,8886,8886
1532053453,8873,8873
1532075544,8869,8869
1532097395,8360,8360
1532119471,8326,8326
1532141545,8216,8216
1532163414,8217,8217
1532185530,8336,8336
1532207540,8267,8267
