DateTime,AddedIPs,RemovedIPs
1527630986,2,0
1527663857,0,4
1527685700,0,1
1527707578,1,0
1527729612,2,0
1527751469,1,0
1527773543,0,2
1527795395,2,1
1527839546,1,0
1527861389,1,0
1527883284,1,0
1527905303,1,1
1527927454,0,7
1527950170,1,0
1527995067,0,0
1528083373,0,1
1528105261,0,1
1528127975,0,2
1528149878,0,2
1528238180,3,5
1528281864,0,1
1528303938,1,0
1528326777,2,1
1528348816,0,1
1528414829,2,0
1528436815,0,1
1528458737,0,1
1528502528,0,1
1528546595,1,1
1528568661,0,2
1528590749,0,1
1528657100,1,0
1528810811,1,0
1528854737,0,3
1528876715,1,0
1528898661,0,1
1528942838,0,1
1528964697,1,0
1528986750,5,0
1529008815,0,1
1529030669,0,1
1529118983,0,1
1529141006,2,0
1529162899,2,1
1529228663,1,0
1529272589,1,1
1529294479,0,2
1529316492,0,1
1529338592,1,0
1529361041,1,0
1529404825,0,1
1529471054,0,1
1529514752,7,0
1529580740,0,3
1529602823,1,0
1529646751,2,0
1529668894,1,0
1529734591,2,0
1529756440,2,2
1529778501,0,1
1529800360,1,0
1529822431,0,1
1529844399,1,1
1529866337,1,0
1529943390,0,1
1529965466,1,0
1529987567,1,0
1530031472,0,1
1530053534,8,1
1530075379,1,0
1530097279,3,0
1530119327,0,5
1530163224,1,0
1530207166,0,2
1530251547,1,1
1530317530,1,0
1530339371,0,1
1530361228,0,2
1530405776,0,1
1530427692,0,1
1530449538,0,1
1530471658,0,1
1530559707,1,1
1530647920,0,1
1530670123,0,5
1530691971,1,3
1530714452,0,1
1530758422,1,1
1530780289,0,1
1530802362,1,0
1530824317,1,2
1530846265,1,1
1530868361,0,1
1530890430,1,1
1530934578,1,0
1530978277,1,0
1531022688,1,0
1531044611,1,0
1531154431,0,1
1531176495,0,1
1531220665,1,0
1531242520,1,0
1531286688,0,1
1531374994,0,2
1531397081,0,1
1531419137,2,0
1531441000,2,1
1531463058,1,0
1531485172,1,0
1531507210,0,1
1531529077,53902,0
1531882840,0,52515
1531904925,3,17
1531927009,22,40
1531949049,12,24
1531970895,6280,39
1531992736,15,21
1532014589,17,33
1532036484,61,32
1532058528,19,24
1532080589,6,13
1532102448,11,37
1532124512,31,30
1532146358,25,53
1532168210,12,35
1532190263,15,70
1532212358,11,81
1532234199,6,21
1532256319,8,7
1532278758,4,4
1532300810,68,55
1532322782,6,21
1532344816,6,15
1532366900,19,18
1532388746,7,18
1532410587,32,23
1532432649,32,18
1532454820,28,15
1532477094,37,18
1532499539,27,19
1532521462,38,22
1532543557,27,32
1532565620,21,2386
1532587759,25,3919
1532610046,19,19
1532633595,13,57
1532655609,5,31
1532677469,6,16
1532699321,10,14
1532721389,51,30
1532743483,4,34
1532765559,7,18
1532787607,3,9
1532809462,9,27
1532831580,3,13
1532853628,10,10
1532875548,9,11
1532897392,6,92
1532919697,5,19
1532941700,13,12
1532963566,61,18
1532985635,6,13
1533007688,8,6
1533029536,7,32
1533051392,2,30
1533073466,4,31
1533095541,3,33
1533117444,2,30
1533139461,2,40
1533161547,2,57
1533183641,4,30
1533205697,4,36
1533227553,6,26
1533249621,5,8
1533271471,1,10
1533293561,2,13
1533315656,4,59
1533337702,6,35
1533359578,14,10
1533381890,4,20
1533403941,4,19
1533426022,0,15
1533448132,2,2
1533470625,3,41
1533492740,3,54
1533514581,3,6
1533536457,4,57
1533558502,7,41
1533580369,7,61
1533602426,6,10
1533624610,5,52
1533646576,8,29
1533668759,212,1
1533690993,38,4
1533713052,216,4
1533735148,184,3
1533757329,60,3
1533779300,95,2
1533801378,25,4
1533823261,53,5
1533845564,37,4
1533867616,30,7
1533889712,30,6
1533911702,27,3
1533933620,54,5
1533955697,67,9
1533977774,6,10
1533999619,5,5
1534021484,22,1
1534043325,9,0
1534065402,17,5
1534087468,10,4
1534109314,24,3
1534131404,16,4
1534153476,20,4
1534175316,15,6
1534197385,12,7
1534219476,15,6
1534241323,39,4
1534263369,9,24
1534285215,5,17
1534307232,4,33
1534329161,5,59
1534351465,5,33
1534373320,0,47
1534395390,4,16
1534417470,3,15
1534439549,5,28
1534461551,6286,25
1534483464,2,15
1534505562,5,36
1534527426,15,42
1534549607,20,98
1534571539,19,41
1534593682,19,2
1534615703,10,35
1534637559,15,27
1534659641,30,19
1534681697,13,28
1534703893,35,11
1534725873,49,50
1534747928,38,34
1534769804,13,28
1534791703,17,20
1534813713,10,23
1534835566,6,67
1534857862,1,87
1534879941,7,4
1534902036,0,4
1534924101,48,5
1534945945,88,3
1534968022,19,5
1534989888,50,2
1535011944,26,4
1535034016,17,3
1535055869,15,6293
1535077965,26,3
1535100024,18,0
1535121873,45,8
1535144217,23,25
1535166530,12,20
1535188609,3,6
1535210805,2,18
1535232744,3,5
1535254603,6,26
1535276649,3,12
1535298498,6,11
1535320585,6,72
1535342504,3,19
1535364523,2,37
1535386607,1,14
1535408663,4,18
1535430757,2,16
1535452696,3,3
1535474674,3,4
1535496749,3,5
1535518618,2,1
1535540668,6,99
1535562509,2,54
1535584614,1,28
1535607032,1,84
1535629014,3,46
1535651068,5,31
1535673151,3,21
1535695236,1,57
1535717101,2,128
1535739394,2,114
1535761480,2,69
1535783552,3,4
1535805627,6,5
1535827471,2,2
1535849559,3,2
1535871674,1,3
1535893715,1,1
1535916072,6297,11
