DateTime,Entries,UniqueIPs
1538794891,459,459
1538796761,455,455
1538798674,466,466
1538800613,465,465
1538802535,468,468
1538804573,461,461
1538806856,461,461
1538808768,460,460
1538810670,456,456
1538812606,459,459
1538814506,461,461
1538816500,472,472
1538818343,473,473
1538820279,488,488
1538822218,496,496
1538824109,518,518
1538826024,531,531
1538827959,557,557
1538829881,564,564
1538831787,565,565
1538833963,573,573
1538835876,591,591
1538837795,607,607
1538839699,629,629
1538841685,641,641
1538843559,658,658
1538845511,671,671
1538847379,674,674
1538849329,672,672
1538851223,681,681
1538853146,690,690
1538855067,697,697
1538856998,729,729
1538858898,734,734
1538860838,732,732
1538862745,733,733
1538864686,731,731
1538866589,723,723
1538868504,717,717
1538870463,729,729
1538872359,725,725
1538874729,721,721
1538876687,720,720
1538878601,746,746
1538880515,741,741
1538882445,761,761
1538884339,759,759
1538886276,766,766
1538888214,751,751
1538890096,750,750
1538892177,745,745
1538894428,741,741
1538896355,729,729
1538898265,721,721
1538900194,727,727
1538902132,711,711
1538904028,701,701
1538905942,682,682
1538907866,668,668
1538909779,650,650
1538911720,632,632
1538914599,597,597
1538916511,579,579
1538918436,580,580
1538920371,573,573
1538922269,567,567
1538924205,555,555
1538926104,547,547
1538928112,530,530
1538929951,518,518
1538931921,497,497
1538933782,487,487
1538935964,476,476
1538937861,472,472
1538939802,473,473
1538941711,462,462
1538943629,449,449
1538945562,419,419
1538947481,387,387
1538949375,374,374
1538951325,361,361
1538953283,340,340
1538955168,336,336
1538957096,338,338
1538959220,335,335
1538961406,311,311
1538963308,308,308
1538965236,293,293
1538967155,291,291
1538969082,282,282
1538970986,268,268
1538972908,244,244
1538974890,240,240
1538976765,236,236
1538978682,234,234
1538980575,234,234
1538982507,229,229
1538984433,229,229
1538986362,230,230
1538988263,229,229
1538990202,228,228
1538992127,228,228
1538994038,220,220
1538995965,223,223
1538997862,217,217
1538999797,217,217
1539001717,215,215
1539003698,214,214
1539005558,213,213
1539007459,213,213
1539009640,212,212
1539011547,216,216
1539013479,215,215
1539015390,216,216
1539017294,216,216
1539019236,218,218
1539021151,218,218
1539023080,216,216
1539024980,217,217
1539027154,219,219
1539029101,223,223
1539030983,219,219
1539032879,220,220
1539034841,220,220
1539036765,221,221
1539038678,226,226
1539040614,229,229
1539042507,232,232
1539044440,235,235
1539046368,242,242
1539048306,249,249
1539050201,247,247
1539052097,250,250
1539054094,254,254
1539055960,257,257
1539057892,262,262
1539059810,264,264
1539061728,264,264
1539063623,264,264
1539065834,267,267
1539067704,272,272
1539069631,274,274
1539071805,271,271
1539073754,275,275
1539075865,276,276
1539078028,279,279
1539079955,282,282
1539081888,284,284
1539083793,288,288
1539085725,292,292
1539087632,296,296
1539089548,298,298
1539091587,297,297
1539093699,299,299
1539095552,300,300
1539097537,301,301
1539099633,304,304
1539101552,307,307
1539103486,310,310
1539105390,309,309
1539107325,311,311
1539109239,312,312
1539111147,313,313
1539113099,314,314
1539114999,318,318
1539116914,319,319
1539118888,320,320
1539120743,320,320
1539122679,321,321
1539124592,318,318
1539126530,323,323
1539128445,324,324
1539130366,323,323
1539132268,324,324
1539134185,323,323
1539136129,324,324
1539138026,323,323
1539139970,320,320
1539141867,316,316
1539143781,314,314
1539145720,315,315
1539147688,317,317
1539149566,317,317
1539151475,319,319
1539153407,318,318
1539155333,316,316
1539157249,315,315
1539159169,312,312
1539161066,312,312
1539163016,312,312
1539164907,311,311
1539166849,307,307
1539168761,307,307
1539170668,304,304
1539172588,304,304
1539174528,305,305
1539176482,305,305
1539178372,306,306
1539180513,309,309
1539182445,307,307
1539184789,305,305
1539186733,305,305
1539188687,306,306
1539190581,304,304
1539192506,305,305
