DateTime,AddedIPs,RemovedIPs
1512735433,0,5
1520276758,1,1
1523591561,0,1
1526353304,1,0
1527050918,0,1
1531552123,3330,0
1531813950,1,0
1531901090,0,3091
1531988201,0,13
1532075545,1691,2
1532162661,25,7
1532336910,0,2
1532424008,2,2
1532511054,9,0
1532598249,3,1
1532685377,4,2
1532773074,4,1
1532860106,1,1
1532947346,1,0
1533034368,0,1
1533121726,0,2
1533296193,0,8
1533383303,0,1
1533470627,0,2
1533558025,0,1
1533645177,0,1
1533732520,0,2
1533819895,1,0
1533907222,0,2
1533994610,1,2
1534081724,2,2
1534169084,0,1
1534430905,0,3
1534605139,0,1
1534692310,0,203
1534866516,0,2
1535040999,1,1
1535302838,0,2
1535389941,2,0
1535477104,1,1707
1536000281,1,0
1536087383,0,1
1536174525,1,0
1536261877,1,0
1536348967,0,1
1536523282,1,0
1536610350,2,2
1536697449,0,1
1536784577,1176,1
1536871597,45,0
1536959092,50,0
1537046433,13,0
1537133558,5,0
1537220679,4,0
1537307796,5,1
1537395153,2,0
1537482277,2,0
1537569399,0,1
1537743867,1,0
1537831226,1,0
1538005450,1,0
1538354437,1,0
1538441552,1,0
1538877685,1,1
1539051868,1,0
1539226359,0,2
1539313451,2,0
1539400602,0,101
1539487960,0,2
1539575057,1,1
1539662466,1,0
1539837151,1,0
1539924501,0,1
1540099216,1,0
1540186366,1,0
1540273722,1,0
1540448443,2,1
