DateTime,Entries,UniqueIPs
1512342181,6,6
1512735433,1,1
1520276758,1,1
1523591561,0,0
1526353304,1,1
1527050918,0,0
1527050918,0,0
1527050918,0,0
1527050918,0,0
1527050918,0,0
1527050918,0,0
1531552123,3330,3330
1531813950,3331,3331
1531901090,240,240
1531988201,227,227
1532075545,1916,1916
1532162661,1934,1934
1532336910,1932,1932
1532424008,1932,1932
1532511054,1941,1941
1532598249,1943,1943
1532685377,1945,1945
1532773074,1948,1948
1532860106,1948,1948
1532947346,1949,1949
1533034368,1948,1948
1533121726,1946,1946
1533296193,1938,1938
1533383303,1937,1937
1533470627,1935,1935
1533558025,1934,1934
1533645177,1933,1933
1533732520,1931,1931
1533819895,1932,1932
1533907222,1930,1930
1533994610,1929,1929
1534081724,1929,1929
1534169084,1928,1928
1534430905,1925,1925
1534605139,1924,1924
1534692310,1721,1721
1534866516,1719,1719
1535040999,1719,1719
1535302838,1717,1717
1535389941,1719,1719
1535477104,13,13
1536000281,14,14
1536087383,13,13
1536174525,14,14
1536261877,15,15
1536348967,14,14
1536523282,15,15
1536610350,15,15
1536697449,14,14
1536784577,1189,1189
1536871597,1234,1234
1536959092,1284,1284
1537046433,1297,1297
1537133558,1302,1302
1537220679,1306,1306
1537307796,1310,1310
1537395153,1312,1312
1537482277,1314,1314
1537569399,1313,1313
1537743867,1314,1314
1537831226,1315,1315
1538005450,1316,1316
1538354437,1317,1317
1538441552,1318,1318
1538877685,1318,1318
1539051868,1319,1319
1539226359,1317,1317
1539313451,1319,1319
1539400602,1218,1218
1539487960,1216,1216
1539575057,1216,1216
1539662466,1217,1217
1539837151,1218,1218
1539924501,1217,1217
1540099216,1218,1218
1540186366,1219,1219
1540273722,1220,1220
1540448443,1221,1221
