DateTime,AddedIPs,RemovedIPs
1538217160,1,0
1538219328,0,1
1538223145,0,2
1538228912,1,1
1538234670,2,0
1538245236,1,0
1538247158,1,0
1538249072,0,1
1538250997,1,1
1538252903,0,1
1538254901,1,0
1538262523,0,1
1538270203,0,1
1538277885,1,0
1538279774,0,2
1538281797,1,0
1538285555,1,2
1538287482,1,0
1538293250,0,1
1538295152,0,1
1538299000,0,1
1538302823,1,0
1538304744,0,1
1538314582,0,1
1538320350,1,2
1538322269,2,0
1538331871,0,1
1538335704,1,0
1538337692,0,1
1538341469,0,1
1538343403,1,0
1538368341,1,1
1538370314,1,0
1538372455,1,1
1538374368,0,1
1538389711,0,1
1538395727,3,0
1538399563,0,1
1538401466,3,0
1538403412,2,0
1538405304,1,0
1538409159,0,1
1538422601,0,1
1538426447,1,0
1538428616,1,0
1538430522,0,1
1538432413,1,0
1538436280,1,0
1538438194,1,0
1538453563,0,1
1538455705,0,2
1538457649,1,0
1538459542,1,1
1538465302,2,0
1538475173,1,0
1538477088,1,0
1538483086,0,3
1538488903,0,2
1538509948,2,0
1538511861,1,0
1538514082,0,1
1538515948,0,1
1538521728,0,1
1538527460,1,0
1538543124,0,1
1538545015,1,2
1538547192,1,0
1538550997,0,1
1538552920,0,1
1538562505,0,1
1538564486,2,0
1538568346,0,1
1538570442,0,1
1538589692,1,0
1538597314,0,3
1538599477,2,0
1538601408,1,0
1538612907,0,1
1538618913,1,0
1538624687,1,0
1538632329,3,1
1538634270,0,1
1538636203,3,0
1538640085,1,0
1538645802,1,0
1538651585,0,1
1538655670,1,0
1538663295,1,0
1538667165,1,0
1538676743,0,1
1538678693,1,0
1538684445,0,1
1538688276,0,1
1538707734,1,1
1538711553,0,1
1538713511,1,0
1538717321,0,3
1538721154,0,1
1538723115,2,2
1538726930,0,1
1538732906,0,1
1538738669,0,1
1538742525,0,1
1538750428,0,1
1538754295,1,1
1538764233,0,1
1538767977,1,0
1538773708,1,0
1538777568,1,0
1538781397,1,0
1538794894,0,1
1538798675,1,0
1538800614,0,1
1538808769,0,1
1538812608,1,0
1538820287,0,1
1538824110,1,0
1538833964,1,0
1538849339,1,0
1538853147,1,1
1538856999,1,0
1538858899,0,1
1538860839,1,0
1538864688,0,1
1538868506,0,1
1538876688,0,1
1538886277,0,1
1538890098,1,0
1538898266,0,1
1538900195,0,1
1538905943,1,0
1538909781,0,1
1538917500,1,0
1538921303,1,0
1538935498,0,1
1538941219,0,2
1538943139,0,1
1538946995,1,1
1538950823,1,0
1538964279,1,0
1538977724,0,1
1538979886,1,0
1538989458,1,0
1538991631,0,1
1538995480,1,0
1539003146,0,1
1539005083,0,1
1539007020,2,1
1539032889,0,1
1539036767,0,1
1539038679,1,0
1539040616,1,0
1539046370,1,0
1539050203,0,1
1539057893,1,0
1539059811,1,0
1539063624,1,0
1539065844,1,1
1539069632,1,0
1539075866,0,1
1539093700,0,3
1539107327,1,0
1539122680,2,0
1539126531,0,1
1539134186,0,1
1539143782,0,1
1539147690,0,1
1539149567,13,1
1539151476,7,0
1539153408,0,2
1539155334,0,1
1539159170,1,0
1539163017,1,0
1539164908,1,0
1539166851,1,0
1539180515,2,0
1539186734,0,2
1539192507,1,1
1539194491,1,0
1539209785,0,2
1539211720,1,1
1539217480,1,0
1539223483,1,0
1539229243,1,0
1539233060,2,0
1539235009,2,4
1539237036,0,16
1539238837,2,0
1539240765,1,0
1539242682,3,0
1539244583,6,1
1539248484,6,0
1539250367,3,1
1539252271,3,2
1539258024,1,0
1539262107,1,0
1539264044,2,0
1539268095,0,1
1539270084,1,0
1539273891,1,0
1539279620,2,1
1539281571,0,1
1539291157,2,0
1539296918,1,1
1539298885,1,0
1539302685,0,1
1539306528,1,1
1539308419,1,0
1539310362,0,1
1539312284,2,0
1539316119,0,1
1539318044,0,1
1539319967,0,1
1539321886,0,1
1539323783,3,1
1539325717,0,1
1539327680,0,2
1539329563,1,5
1539331725,1,3
1539333648,2,1
1539335562,2,5
1539337461,7,2
1539339405,1,2
1539341556,1,0
1539343454,1,1
1539345391,1,1
1539347291,2,0
1539349333,1,2
1539351399,0,1
1539357398,0,1
1539359307,1,1
1539365066,0,1
1539367003,0,1
1539378526,0,2
1539382356,1,0
1539384800,1,0
1539388837,2,0
1539390784,2,0
1539392667,0,1
1539394605,0,1
1539396563,1,0
1539398449,1,2
1539408040,1,0
1539409973,2,2
1539411904,1,1
1539417701,0,2
1539419573,0,2
1539423376,0,9
1539425328,2,2
1539427245,1,1
1539429149,3,1
1539431083,3,1
1539433015,3,1
1539434903,1,2
1539444766,2,1
1539446675,1,0
1539448608,4,0
1539450535,1,0
1539454362,2,0
1539456275,1,0
1539460127,1,1
1539471694,1,1
1539473577,0,1
1539475471,1,3
1539477411,0,2
1539479343,1,0
1539481239,1,0
1539483153,0,1
1539485080,1,0
1539492743,2,0
1539494681,0,1
1539496618,3,2
1539498526,0,1
1539504531,1,0
1539506446,2,0
1539510285,0,1
1539512217,0,1
1539514122,1,1
1539516045,1,3
1539517967,3,4
1539519889,0,3
1539525696,2,0
1539531405,0,2
1539533350,0,1
1539535245,1,4
1539537149,0,1
1539539091,2,1
1539541017,1,1
1539542921,2,1
1539546762,0,1
1539550598,1,0
1539558779,0,1
1539562610,0,1
1539566440,0,2
1539572208,0,1
1539579894,0,2
1539581783,0,2
1539583729,0,2
1539587550,1,0
1539593567,0,1
1539595472,3,0
1539599311,1,0
1539601290,1,0
1539605129,0,1
1539606993,2,0
1539608932,1,0
1539614665,1,0
1539616841,1,0
1539622619,0,1
1539624521,0,1
1539626483,0,1
1539628601,1,1
1539630528,1,0
1539632439,1,0
1539636301,1,0
1539648030,1,0
1539651872,1,0
1539665303,0,1
1539669145,3,0
1539671091,0,10
1539672987,0,1
1539674906,2,0
1539680681,3,0
1539682576,0,3
1539684533,1,0
1539686413,0,1
1539688366,1,1
1539690264,1,0
1539692224,1,1
1539694123,0,1
1539696039,0,1
1539699882,1,0
1539702093,0,2
1539708282,1,0
1539710192,2,0
1539718102,1,1
1539720114,0,1
1539721968,1,1
1539733960,0,1
1539737780,0,1
1539751249,1,0
1539755062,2,3
1539757014,1,0
1539760814,0,1
1539762762,0,1
1539766910,0,2
1539768769,2,1
1539770665,1,1
1539772607,1,0
1539774537,0,1
1539776441,1,1
1539778361,0,1
1539786046,0,1
1539790146,1,0
1539793968,0,1
1539795914,0,1
1539797803,2,1
1539799727,2,0
1539809555,0,2
1539813394,1,0
1539817287,2,0
1539831137,1,0
1539837152,0,1
1539841253,1,2
1539843162,0,1
1539854671,0,2
1539856594,0,1
1539858509,0,1
1539862359,0,1
1539866197,2,0
1539875794,0,1
1539877700,1,0
1539879646,2,0
1539885382,1,2
1539887564,0,2
1539893311,1,0
1539897167,2,0
1539899065,1,0
1539900999,0,1
1539902926,1,0
1539904849,1,2
1539906778,1,0
1539916371,0,1
1539918271,1,0
1539927861,0,1
1539935573,1,0
1539937478,1,0
1539939421,1,0
1539947130,1,0
1539949215,1,0
1539951399,0,1
1539953313,0,1
1539961000,1,0
1539965134,0,2
1539966993,0,1
1539968896,1,0
1539971062,0,1
1539978741,1,1
1539982586,0,1
1539984511,0,2
1539988350,1,0
1539990293,1,2
1539992192,0,1
1539994105,1,0
1540003709,0,1
1540015293,1,0
1540019093,2,0
1540022918,1,1
1540024850,1,0
1540026775,0,1
1540028671,1,0
1540030604,0,1
1540034429,1,1
1540045959,1,0
1540047884,0,1
1540051768,0,1
1540055572,0,1
1540059397,1,0
1540063229,2,0
1540065177,1,1
1540070912,1,0
1540074755,0,1
1540076724,0,1
1540080529,0,1
1540084357,2,0
1540086273,1,0
1540101717,1,1
1540105751,0,1
1540111710,0,1
