DateTime,Entries,UniqueIPs
1538217160,17,17
1538219328,16,16
1538223145,14,14
1538228912,14,14
1538234670,16,16
1538245236,17,17
1538247158,18,18
1538249072,17,17
1538250997,17,17
1538252903,16,16
1538254901,17,17
1538262523,16,16
1538270203,15,15
1538277885,16,16
1538279774,14,14
1538281797,15,15
1538285555,14,14
1538287482,15,15
1538293250,14,14
1538295152,13,13
1538299000,12,12
1538302823,13,13
1538304744,12,12
1538314582,11,11
1538320350,10,10
1538322269,12,12
1538331871,11,11
1538335704,12,12
1538337692,11,11
1538341469,10,10
1538343403,11,11
1538368341,11,11
1538370314,12,12
1538372455,12,12
1538374368,11,11
1538389711,10,10
1538395727,13,13
1538399563,12,12
1538401466,15,15
1538403412,17,17
1538405304,18,18
1538409159,17,17
1538422601,16,16
1538426447,17,17
1538428616,18,18
1538430522,17,17
1538432413,18,18
1538436280,19,19
1538438194,20,20
1538453563,19,19
1538455705,17,17
1538457649,18,18
1538459542,18,18
1538465302,20,20
1538475173,21,21
1538477088,22,22
1538483086,19,19
1538488903,17,17
1538509948,19,19
1538511861,20,20
1538514082,19,19
1538515948,18,18
1538521728,17,17
1538527460,18,18
1538543124,17,17
1538545015,16,16
1538547192,17,17
1538550997,16,16
1538552920,15,15
1538562505,14,14
1538564486,16,16
1538568346,15,15
1538570442,14,14
1538589692,15,15
1538597314,12,12
1538599477,14,14
1538601408,15,15
1538612907,14,14
1538618913,15,15
1538624687,16,16
1538632329,18,18
1538634270,17,17
1538636203,20,20
1538640085,21,21
1538645802,22,22
1538651585,21,21
1538655670,22,22
1538663295,23,23
1538667165,24,24
1538676743,23,23
1538678693,24,24
1538684445,23,23
1538688276,22,22
1538707734,22,22
1538711553,21,21
1538713511,22,22
1538717321,19,19
1538721154,18,18
1538723115,18,18
1538726930,17,17
1538732906,16,16
1538738669,15,15
1538742525,14,14
1538750428,13,13
1538754295,13,13
1538764233,12,12
1538767977,13,13
1538773708,14,14
1538777568,15,15
1538781397,16,16
1538794894,15,15
1538798675,16,16
1538800614,15,15
