DateTime,AddedIPs,RemovedIPs
1521178357,1,1
1521222305,2,0
1521288539,0,1
1521377065,0,1
1521399277,1,1
1521421442,1,0
1521443559,1,0
1521509773,0,1
1521531625,2,0
1521553475,1,0
1521575469,0,1
1521641657,1,0
1521663637,0,1
1521685716,2,0
1521707802,1,1
1521729875,0,1
1521751960,1,1
1521796358,0,1
1521818427,0,2
1521928326,1,0
1521950242,1,0
1522038750,1,0
1522060821,0,1
1522126992,1,2
1522149163,0,1
1522171207,1,0
1522282525,1,7
1522370676,0,1
1522548048,0,1
1522658193,0,1
1522680274,0,1
1522702347,0,1
1522746208,0,1
1522768352,0,1
1522812599,0,1
1523750678,1,0
1524115966,0,0
1524226115,1,0
1524402043,1,0
1524490349,1,0
1524689000,1,0
1524733018,0,1
1524931001,1,0
1524997224,0,1
1525086038,0,1
1525394203,1,0
1525526430,0,1
1525592220,1,0
1525879726,0,1
1526012217,0,0
1526332111,5,2
1526354302,1,0
1526398127,1,0
1526442507,1,0
1526464354,0,1
1526530585,1,1
1526640753,0,1
1526684506,0,1
1526750692,142,0
1526816682,1,0
1526838745,1,0
1526992871,1,0
1527015167,0,1
1527278913,0,0
1527300907,0,0
1527322899,0,0
1527344846,2,0
1527389401,0,0
1527433311,0,1
1527521295,0,142
1527543153,1,0
1527587070,0,1
1527630988,0,1
1527674900,1,0
1527718823,1,0
1527740904,1,0
1527762746,1,0
1527850597,1,1
1527895003,0,0
1527918681,0,1
1527941461,0,1
1527985445,0,1
1528095135,1,0
1528117273,2,0
1528139292,0,1
1528183210,1,0
1528205057,0,0
1528293146,0,0
1528320500,0,1
1528342590,0,1
1528364692,0,1
1528386729,1,0
1528474363,2,0
1528540354,0,1
1528562421,1,0
1528584399,1,0
1528694436,0,1
1528716511,0,2
1528782285,0,1
1528892447,1,0
1528936357,0,1
1528958426,1,0
1529002346,0,1
1529068825,0,1
1529091780,1,0
1529179718,0,2
1529355513,0,1
1529509463,0,2
1529553378,0,1
1529597582,1,1
1529619640,1,0
1529685633,0,1
1529817635,1,0
1529905234,1,0
1529949156,1,0
1530059297,143,0
1530081153,1,0
1530367702,0,1
1530433690,1,0
1530477389,0,1
1530654127,0,143
1530698188,0,1
1530874118,2,0
1531028206,0,1
1531094521,0,1
1531226678,1,0
1531292909,0,1
1531314988,1,0
1531468900,0,1
1531535313,45100,0
1531845161,1,0
1531867159,0,44431
1531889094,1,10
1531911152,64,10
1531933231,3,4
1531955309,4,1
1531977424,3171,3
1531999701,1,6
1532021790,0,8
1532043901,1,6
1532065949,0,11
1532088072,2,7
1532110133,10,2
1532131980,1,5
1532154025,0,3
1532198053,0,2
1532220274,0,10
1532242328,0,4
1532264451,2,1
1532286570,1,14
1532308499,22,0
1532330430,1,0
1532352273,2,3
1532374351,11,1
1532396415,0,1
1532418278,2,5
1532440124,3,1
