DateTime,AddedIPs,RemovedIPs
1536850126,1,0
1536853942,2,0
1536863574,2,1
1536867395,1,0
1536871250,1,0
1536875077,1,0
1536877253,1,0
1536881081,0,1
1536883255,0,1
1536889253,1,0
1536891160,1,0
1536904600,1,0
1536910624,1,0
1536912557,3,0
1536928134,1,1
1536930098,1,0
1536931971,1,0
1536937746,1,1
1536939898,1,2
1536941808,1,0
1536943713,1,0
1536949482,0,1
1536951400,1,1
1536953336,2,1
1536957163,1,0
1536959094,0,1
1536961021,3,1
1536962921,1,1
1536964873,1,0
1536967028,1,0
1536974689,1,1
1536976577,1,1
1536978505,1,0
1536988131,1,0
1536990059,0,1
1536994358,1,0
1536996519,0,1
1536998494,0,3
1537006120,1,0
1537013844,0,1
1537015977,1,0
1537017878,0,2
1537019808,1,0
1537021713,2,0
1537023695,0,1
1537025562,0,1
1537027552,0,1
1537031582,0,1
1537039258,0,3
1537043086,0,1
1537046944,1,2
1537048935,0,2
1537052681,2,1
1537054631,0,1
1537056541,1,0
1537058454,1,0
1537062292,1,1
1537064202,0,1
1537066107,1,1
1537068041,2,0
1537073782,1,1
1537077697,2,0
1537081491,0,1
1537083528,1,0
1537089166,2,0
1537093259,1,1
1537097094,1,0
1537098995,1,0
1537102887,1,1
1537104787,0,1
1537106707,0,1
1537108630,0,1
1537110544,1,0
1537124499,1,0
1537132125,1,1
1537134025,1,0
1537138131,0,1
1537140035,0,1
1537142193,1,1
1537144112,0,1
1537147955,0,1
1537153961,0,2
1537155896,0,1
1537159733,0,1
1537163582,1,2
1537167406,1,0
1537171293,2,1
1537175096,0,2
1537178933,0,1
1537182772,0,1
1537186621,0,1
1537188527,1,0
1537190457,0,1
1537196686,0,1
1537198600,1,0
1537202548,1,0
1537206277,2,0
1537212035,0,1
1537213959,1,0
1537215869,1,0
1537219713,2,1
1537221714,1,1
1537227641,0,1
1537231480,1,0
1537237255,2,0
1537239148,1,0
1537244925,1,0
1537250679,0,1
1537252589,0,1
1537256465,2,2
1537262220,3,0
1537266046,1,0
1537275893,0,1
1537278077,2,0
1537283825,0,1
1537287915,1,0
1537290115,0,1
1537291975,1,1
1537293896,0,1
1537295784,1,0
1537297720,1,0
1537299619,0,1
1537301563,0,1
1537303481,2,0
1537305383,1,1
1537307308,1,2
1537314987,1,0
1537317164,0,1
1537322921,0,2
1537324850,0,1
1537328662,1,0
1537332500,0,1
1537338277,1,0
1537340208,4,0
1537342370,0,2
1537346071,798,0
1537347880,1,0
1537349789,0,3
1537351730,0,1
1537359431,1,0
1537363243,0,2
1537374989,0,1
1537378829,1,1
1537382690,0,1
1537384599,1,1
1537388429,0,1
1537390357,0,1
1537392271,1,1
1537394190,1,1
1537396104,1,0
1537398120,2,0
1537399962,4,0
1537401887,0,1
1537403795,2,0
1537409550,1,0
1537413391,1,0
1537415341,0,1
1537421090,1,0
1537424904,2,2
1537426895,1,3
1537432834,0,798
1537434771,1,1
1537440512,1,0
1537442447,1,0
1537444377,0,1
1537448201,1,0
1537452092,1,0
1537455884,1,0
1537463559,0,1
1537465487,1,0
1537471239,1,1
1537476989,1,0
1537478903,0,1
1537480905,0,1
1537482756,0,1
1537484670,0,5
1537486605,0,1
1537490436,0,2
1537496222,1,1
1537500055,0,1
1537505791,0,1
1537511554,0,2
1537513476,0,1
1537521429,0,1
1537525258,0,1
1537529091,0,1
1537534889,0,1
1537538707,0,1
1537542527,0,1
1537552581,0,1
1537556456,0,1
1537564134,0,1
1537577807,1,0
1537582366,0,1
1537590273,1,0
1537594365,1,0
1537596323,1,0
1537646204,1,0
1537651958,3,0
1537663472,0,1
1537673069,1,0
1537676908,0,1
1537680755,0,1
1537682724,0,1
1537703799,1,0
1537711471,1,0
1537732749,0,1
1537738602,0,3
1537755865,1,0
1537759701,0,1
1537788497,1,0
1537790502,0,1
1537798131,1,1
1537807708,1,0
1537827403,1,0
1537842777,0,1
1537863882,1,0
1537873721,0,1
1537879465,1,0
1537885247,0,1
1537893405,0,1
1537895335,1,0
1537912599,0,1
1537927969,1,0
1537945292,1,0
1537951006,0,1
1537956768,2,0
1537960850,6,0
1537962995,1,0
1537964912,1,1
1537966890,1,0
1537970719,4,0
1537974533,1,0
1537976444,1,0
1537978407,2,0
1537980298,1,1
1537982210,1,0
1537986031,1,0
1537987972,1,0
1537989879,2,0
1537991814,4,0
1537993720,3,0
1537995808,4,0
1537998041,7,0
1537999952,3,0
1538005710,1,0
1538007628,3,0
1538011465,1,0
1538013431,1,1
1538017301,1,0
1538024927,2,0
1538032636,2,1
1538036679,1,0
1538042504,0,1
1538044468,0,1
1538046313,0,5
1538048199,0,1
1538050147,0,1
1538052030,0,1
1538053958,0,1
1538055877,1,3
1538057798,0,1
1538061799,0,1
1538063777,0,1
1538065955,0,3
1538067875,0,1
1538071715,1,1
1538073631,0,1
1538077490,0,4
1538079400,0,4
1538081323,0,4
1538083237,0,3
1538085150,1,6
1538087088,0,2
1538092906,0,2
1538094945,1,2
1538096895,0,1
1538099096,0,1
1538104827,0,1
1538110598,0,1
1538112556,0,1
1538118518,0,2
1538122620,0,1
1538139919,1,0
1538141799,1,1
1538153308,1,0
1538155242,1,0
1538157150,1,1
1538172524,0,1
1538180672,0,1
1538226997,0,1
1538228913,0,1
1538232770,1,0
1538238505,0,1
1538240472,0,1
1538244279,0,1
1538269277,1,0
1538273076,1,0
1538301865,1,0
1538311699,1,0
1538317470,0,1
1538321297,2,0
1538330912,1,0
1538336663,1,0
1538353946,0,1
1538359710,0,1
1538389237,0,1
1538397155,0,1
1538401009,5,0
1538406770,0,2
1538416358,0,1
1538424118,0,1
1538433864,1,0
1538447783,1,0
1538486895,0,3
1538488904,0,2
1538492728,1,0
1538519778,0,1
1538535154,1,1
1538578106,0,1
1538581961,1,0
1538599478,1,0
1538603308,1,0
1538622747,0,1
1538667166,1,1
1538686348,0,1
1538690198,0,1
1538703876,1,0
1538717322,1,0
1538744503,1,0
1538754296,0,1
1538789138,0,1
1538804575,0,1
1538820297,4,0
1538822220,6,0
1538824111,2,0
1538826026,3,0
1538827961,1,0
1538829883,1,0
1538831789,1,1
1538833965,1,0
1538847381,1,0
1538855069,2,0
1538857000,2,0
1538858901,3,0
1538864689,1,0
1538868507,1,0
1538888216,1,0
1538905944,0,2
1538907868,0,5
1538909782,0,4
1538911722,0,2
1538913698,1,3
1538915559,0,1
1538919387,0,1
1538921304,0,1
1538927060,1,0
1538935499,0,1
1538941220,1,2
1538943140,0,2
1538945075,0,3
1538950828,0,1
1538954659,0,1
1538975810,0,1
1538979887,1,0
1538995481,1,0
1538999301,0,1
1539012985,0,1
1539016821,1,0
1539026701,0,1
1539052099,1,0
1539065845,0,1
1539069633,1,0
1539081891,0,1
1539103488,0,1
1539128454,1,0
1539138028,0,1
1539147692,1,0
1539149568,1,0
1539155335,0,1
1539166851,3,0
1539172590,3,0
1539213633,0,1
1539233061,0,1
1539237037,0,1
1539238838,1,0
1539244584,1,0
1539248487,1,0
1539252271,0,2
1539254186,0,1
1539258025,0,2
1539260181,0,1
1539275777,1,0
1539281572,1,0
1539283462,1,0
1539325717,0,1
1539331726,0,1
1539335563,0,1
1539341557,1,0
1539361246,0,1
1539367004,0,1
1539368911,0,1
1539386939,1,0
1539409974,1,0
1539429150,0,1
1539471697,0,1
1539477415,1,0
1539481241,1,0
1539483154,1,0
1539494682,1,0
1539496618,0,1
1539517968,1,0
1539521800,1,0
1539533351,1,0
1539550599,1,0
1539564526,0,1
1539566441,0,1
1539570401,0,1
1539581784,0,1
1539601294,1,0
1539605130,0,1
1539608933,0,1
1539620674,0,1
1539638184,1,1
1539672988,1,0
1539674907,1,0
1539680682,1,0
1539684533,1,0
1539688367,0,1
1539724118,0,1
1539730116,1,0
1539733962,1,0
1539757015,1,0
1539758902,0,1
1539760815,1,1
1539766911,1,1
1539770667,1,1
1539780290,1,0
1539784113,1,0
1539793969,1,0
1539795916,1,0
1539799728,1,0
1539801643,1,0
1539807432,1,0
1539817288,0,1
1539821091,0,1
1539843163,0,1
1539847004,0,1
1539850836,1,0
1539852767,0,1
1539856595,0,1
1539866198,0,1
1539871960,0,1
1539879647,0,1
1539883479,0,1
1539885383,0,1
1539887565,0,1
1539891384,1,0
1539893312,0,1
1539916372,1,0
1539920178,1,0
1539925972,1,0
1539929818,1,0
1539937479,1,1
1539972989,1,0
1539978742,0,1
1540003710,0,1
1540005635,0,1
1540011388,0,1
1540017194,0,1
1540022919,0,1
1540028672,1,0
1540059398,0,1
1540065178,1,0
1540070913,1,0
1540115807,0,1
1540133066,1,0
1540141287,1,0
1540150842,0,1
1540156606,0,1
1540171961,2,0
1540174063,1,0
1540187790,1,0
1540219230,0,1
1540226936,0,1
1540257865,0,2
1540259803,0,1
1540267485,1,0
1540275178,0,1
1540310497,1,0
1540314530,1,0
1540322210,1,0
1540331788,1,0
1540353141,0,1
1540389160,1,0
1540391061,2,0
1540396914,0,1
1540400743,0,1
1540408349,0,1
1540420013,0,1
