DateTime,Entries,UniqueIPs
1539490840,4099,4099
1539492752,4071,4071
1539494682,4043,4043
1539496619,4027,4027
1539498527,4030,4030
1539500501,4006,4006
1539502367,4050,4050
1539504532,4116,4116
1539506449,4141,4141
1539508344,4169,4169
1539510286,5624,5624
1539512218,7380,7380
1539514124,7868,7868
1539516048,7868,7868
1539517968,7890,7890
1539519898,7891,7891
1539521800,7885,7885
1539523716,7886,7886
1539525697,7887,7887
1539527573,7906,7906
1539529526,7902,7902
1539531407,7923,7923
1539533352,7914,7914
1539535247,7917,7917
1539537150,7854,7854
1539539092,7876,7876
1539541018,7877,7877
1539542923,7882,7882
1539544840,7902,7902
1539546763,7883,7883
1539548681,7898,7898
1539550600,7917,7917
1539552517,7927,7927
1539554530,7927,7927
1539556425,7917,7917
1539558790,7897,7897
1539560691,7893,7893
1539562611,7908,7908
1539564526,7920,7920
1539566442,7921,7921
1539568394,7943,7943
1539570402,7940,7940
1539572216,7937,7937
1539574117,7923,7923
1539576099,7937,7937
1539577967,7945,7945
1539579895,7958,7958
1539581785,7961,7961
1539583731,7956,7956
1539585646,7945,7945
1539587552,7940,7940
1539589483,7929,7929
1539591556,7921,7921
1539593569,7921,7921
1539595474,7897,7897
1539597391,6616,6616
1539599313,4126,4126
1539601302,4124,4124
1539603158,4135,4135
1539605130,4082,4082
1539606995,4081,4081
1539608933,4078,4078
1539610823,4086,4086
1539612769,4078,4078
1539614667,4055,4055
1539616842,4056,4056
1539618758,4030,4030
1539620674,4014,4014
1539622620,3996,3996
1539624522,3972,3972
1539626484,3937,3937
1539628603,3912,3912
1539630529,3926,3926
1539632440,3936,3936
1539634350,3898,3898
1539636303,3872,3872
1539638184,3859,3859
1539640114,3847,3847
1539642268,3837,3837
1539644215,3831,3831
1539646105,3811,3811
1539648032,3783,3783
1539649964,3762,3762
1539651874,3770,3770
1539653798,3749,3749
1539655715,3740,3740
1539657625,3715,3715
1539659572,3672,3672
1539661477,3673,3673
1539663405,3637,3637
1539665304,3622,3622
1539667228,3595,3595
1539669147,3564,3564
1539671093,3552,3552
1539672989,3552,3552
1539674908,3536,3536
1539676896,3536,3536
1539678880,3545,3545
1539680683,3539,3539
1539682578,3548,3548
1539684534,3563,3563
1539686414,3553,3553
1539688368,3549,3549
1539690265,3532,3532
1539692226,3532,3532
1539694124,3507,3507
1539696040,3474,3474
1539697954,3427,3427
1539699884,3409,3409
1539702095,3393,3393
1539703969,3379,3379
1539706062,3356,3356
1539708283,3334,3334
1539710194,3332,3332
1539712354,3345,3345
1539714269,6094,6094
1539716200,7243,7243
1539718104,7222,7222
1539720117,7252,7252
1539721970,7252,7252
1539724119,7254,7254
1539726048,7281,7281
1539727962,7297,7297
1539730116,7303,7303
