DateTime,Entries,UniqueIPs
1538794905,459,459
1538796764,455,455
1538798676,466,466
1538800615,465,465
1538802538,468,468
1538804576,461,461
1538806859,461,461
1538808771,460,460
1538810672,456,456
1538812609,459,459
1538814509,461,461
1538816503,472,472
1538818355,473,473
1538820306,487,487
1538822221,496,496
1538824112,518,518
1538826027,532,532
1538827962,557,557
1538829883,564,564
1538831790,565,565
1538833966,573,573
1538835880,591,591
1538837798,607,607
1538839701,629,629
1538841688,641,641
1538843562,658,658
1538845516,671,671
1538847382,674,674
1538849349,672,672
1538851233,681,681
1538853149,690,690
1538855069,697,697
1538857001,729,729
1538858902,734,734
1538860841,732,732
1538862748,733,733
1538864690,731,731
1538866592,723,723
1538868507,717,717
1538870520,730,730
1538872362,725,725
1538874733,721,721
1538876696,720,720
1538878604,746,746
1538880518,741,741
1538882448,761,761
1538884342,759,759
1538886279,766,766
1538888217,751,751
1538890099,750,750
1538892181,745,745
1538894439,741,741
1538896358,729,729
1538898267,721,721
1538900197,727,727
1538902135,711,711
1538904032,701,701
1538905945,682,682
1538907869,668,668
1538909782,650,650
1538911723,632,632
1538913699,609,609
1538915559,594,594
1538917514,581,581
1538919388,576,576
1538921305,570,570
1538923223,563,563
1538925137,547,547
1538927061,540,540
1538928990,523,523
1538930900,510,510
1538932828,490,490
1538935500,477,477
1538937393,472,472
1538939317,473,473
1538941220,462,462
1538943141,450,450
1538945076,435,435
1538946998,388,388
1538948901,377,377
1538950841,361,361
1538952743,344,344
1538954660,338,338
1538956579,337,337
1538958501,334,334
1538960482,314,314
1538962363,310,310
1538964280,293,293
1538966176,293,293
1538968125,281,281
1538970036,282,282
1538971956,244,244
1538973865,243,243
1538975810,236,236
1538977726,236,236
1538979888,234,234
1538981777,232,232
1538983716,229,229
1538985690,230,230
1538987540,229,229
1538989459,228,228
1538991639,228,228
1538993549,220,220
1538995482,220,220
1538997404,216,216
1538999302,217,217
1539001240,214,214
1539003148,215,215
1539005085,213,213
1539007022,214,214
1539009149,213,213
1539011137,217,217
1539012986,215,215
1539014962,216,216
1539016828,215,215
1539018742,218,218
1539020682,217,217
1539022605,215,215
1539024522,216,216
1539026702,219,219
1539028591,221,221
1539030515,219,219
1539032891,220,220
1539034843,220,220
1539036768,221,221
1539038681,226,226
1539040617,229,229
1539042510,232,232
1539044450,235,235
1539046372,242,242
1539048309,249,249
1539050204,247,247
1539052100,250,250
1539054121,254,254
1539055971,257,257
1539057897,262,262
1539059813,264,264
1539061731,264,264
1539063626,264,264
1539065845,267,267
1539067723,271,271
1539069634,274,274
1539071808,272,272
1539073763,275,275
1539075869,276,276
1539078039,279,279
1539079959,282,282
1539081891,284,284
1539083796,288,288
1539085728,292,292
1539087635,296,296
1539089558,298,298
1539091600,297,297
1539093702,299,299
1539095555,300,300
1539097541,301,301
1539099636,304,304
1539101555,307,307
1539103489,310,310
1539105393,309,309
1539107328,311,311
1539109249,312,312
1539111150,313,313
1539113105,315,315
1539115003,318,318
1539116917,319,319
1539118891,320,320
1539120746,320,320
1539122683,321,321
1539124594,318,318
1539126549,323,323
1539128455,325,325
1539130368,323,323
1539132271,324,324
1539134188,324,324
1539136140,324,324
1539138029,323,323
1539139982,320,320
1539141870,316,316
1539143783,314,314
1539145722,315,315
1539147699,317,317
1539149569,317,317
1539151478,319,319
1539153410,318,318
1539155336,316,316
1539157260,315,315
1539159172,312,312
1539161069,312,312
1539163019,312,312
1539164910,311,311
1539166852,307,307
1539168763,307,307
1539170670,304,304
1539172590,304,304
1539174531,305,305
1539176486,305,305
1539178374,306,306
1539180519,309,309
1539182448,307,307
1539184792,306,306
1539186735,305,305
1539188690,306,306
1539190584,304,304
1539192508,305,305
1539194493,306,306
1539196379,306,306
1539198270,304,304
1539200200,304,304
1539202128,304,304
1539204022,305,305
1539205976,303,303
1539207869,304,304
1539209787,303,303
1539211722,303,303
1539213639,302,302
1539215566,298,298
1539217481,300,300
1539219683,298,298
1539221590,298,298
1539223486,298,298
1539225409,296,296
1539227305,296,296
1539229245,294,294
1539231150,295,295
1539233062,293,293
1539235011,296,296
1539237038,298,298
1539238838,299,299
1539240767,300,300
1539242691,300,300
1539244584,298,298
1539246522,295,295
1539248488,290,290
1539250368,291,291
1539252272,289,289
1539254202,292,292
1539256133,294,294
1539258026,292,292
1539260182,292,292
1539262108,294,294
1539264046,295,295
1539266164,299,299
1539268097,300,300
1539270095,299,299
1539271938,299,299
1539273893,298,298
1539275778,299,299
1539277719,300,300
1539279622,300,300
1539281573,301,301
1539283463,300,300
1539285393,299,299
1539287323,299,299
1539289223,298,298
1539291159,300,300
1539293081,300,300
1539294976,301,301
1539296919,296,296
1539298909,292,292
1539300766,292,292
1539302687,291,291
1539304591,289,289
1539306529,292,292
1539308420,292,292
1539310364,293,293
1539312285,292,292
1539314193,294,294
1539316121,297,297
1539318046,300,300
1539319969,299,299
1539321893,299,299
1539323784,298,298
1539325718,297,297
1539327685,293,293
1539329564,293,293
1539331727,290,290
1539333659,292,292
1539335564,292,292
1539337463,292,292
1539339407,293,293
1539341557,291,291
1539343455,294,294
1539345393,296,296
1539347293,293,293
1539349335,295,295
1539351413,295,295
1539353437,298,298
1539355489,298,298
1539357400,298,298
1539359308,298,298
1539361246,300,300
1539363155,299,299
1539365075,300,300
1539367005,299,299
1539368912,299,299
1539370888,296,296
1539372755,294,294
1539374716,293,293
1539376587,293,293
1539378528,294,294
1539380439,294,294
1539382358,295,295
1539384802,295,295
1539386940,295,295
1539388841,292,292
1539390786,289,289
1539392668,289,289
1539394606,289,289
1539396565,290,290
1539398451,292,292
1539400343,289,289
1539402282,286,286
1539404194,284,284
1539406100,286,286
1539408042,282,282
1539409975,281,281
1539411907,282,282
1539413812,283,283
1539415696,281,281
1539417703,280,280
1539419574,281,281
1539421473,281,281
1539423377,307,307
1539425330,342,342
1539427247,463,463
1539429151,577,577
1539431085,648,648
1539433017,741,741
1539434905,780,780
1539436844,849,849
1539438766,890,890
1539440783,937,937
1539442586,976,976
1539444768,978,978
1539446686,1037,1037
1539448610,1052,1052
1539450537,1107,1107
1539452443,1109,1109
1539454364,1155,1155
1539456277,1158,1158
1539458209,1209,1209
1539460128,1212,1212
1539462028,1216,1216
1539463969,1221,1221
1539465881,1223,1223
1539467783,1227,1227
1539469722,1229,1229
1539471705,1231,1231
1539473581,1232,1232
1539475473,1237,1237
1539477422,1239,1239
1539479344,1244,1244
1539481248,1244,1244
1539483155,1247,1247
1539485081,1244,1244
1539487045,1246,1246
1539488900,1242,1242
1539490840,1247,1247
1539492752,1245,1245
1539494683,1245,1245
1539496619,1245,1245
1539498527,1246,1246
1539500501,1247,1247
1539502367,1243,1243
1539504533,1236,1236
1539506449,1229,1229
1539508345,1219,1219
1539510286,1218,1218
1539512218,1129,1129
1539514124,1006,1006
1539516057,889,889
1539517969,822,822
1539519899,754,754
1539521801,681,681
1539523716,640,640
1539525698,574,574
1539527573,550,550
1539529526,507,507
1539531407,502,502
1539533352,425,425
1539535248,420,420
1539537150,365,365
1539539093,351,351
1539541019,314,314
1539542923,294,294
1539544840,258,258
1539546764,251,251
1539548681,246,246
1539550600,241,241
1539552518,236,236
1539554530,229,229
1539556425,226,226
1539558790,216,216
1539560692,212,212
1539562611,214,214
1539564527,209,209
1539566442,206,206
1539568394,207,207
1539570402,204,204
1539572217,205,205
1539574118,206,206
1539576100,205,205
1539577967,205,205
1539579896,204,204
1539581785,209,209
1539583731,210,210
1539585647,213,213
1539587552,219,219
1539589484,222,222
1539591557,223,223
1539593569,226,226
1539595474,227,227
1539597391,227,227
1539599313,229,229
1539601302,231,231
1539603158,233,233
1539605131,239,239
1539606995,241,241
1539608934,243,243
1539610823,246,246
1539612769,248,248
1539614667,251,251
1539616843,251,251
1539618759,253,253
1539620675,254,254
1539622621,255,255
1539624522,256,256
1539626484,257,257
1539628603,271,271
1539630530,271,271
1539632441,270,270
1539634350,262,262
1539636303,260,260
1539638185,254,254
1539640115,252,252
1539642268,248,248
1539644215,243,243
1539646105,239,239
1539648032,231,231
1539649964,227,227
1539651874,218,218
1539653799,215,215
1539655715,207,207
1539657625,204,204
1539659572,195,195
1539661478,189,189
1539663405,183,183
1539665305,179,179
1539667228,173,173
1539669147,167,167
1539671093,160,160
1539672989,152,152
1539674908,146,146
1539676897,140,140
1539678880,136,136
1539680683,129,129
1539682578,126,126
1539684534,117,117
1539686415,114,114
1539688368,106,106
1539690266,100,100
1539692227,93,93
1539694124,87,87
1539696040,80,80
1539697955,75,75
1539699884,68,68
1539702095,62,62
1539703969,57,57
1539706063,50,50
1539708283,45,45
1539710194,37,37
1539712355,27,27
1539714269,22,22
1539745508,1,1
1539813396,2,2
1539833087,1,1
1539847005,2,2
1539901001,1,1
1539931729,0,0
1539964624,1,1
1540005176,2,2
1540045961,3,3
1540051769,2,2
1540082455,3,3
1540092051,2,2
1540133067,1,1
1540168123,0,0
1540186822,1,1
1540196429,2,2
1540241298,3,3
1540272262,4,4
1540274181,3,3
1540284034,4,4
1540328904,3,3
1540330823,2,2
1540364691,1,1
1540368769,0,0
1540410755,1,1
1540440069,2,2
