DateTime,AddedIPs,RemovedIPs
1537609711,1,2
1537613557,0,1
1537617388,1,0
1537628911,1,0
1537632785,1,0
1537640436,3,0
1537646205,1,1
1537651959,2,0
1537653892,1,1
1537659630,1,1
1537665401,1,0
1537669279,0,2
1537673070,0,1
1537678910,0,1
1537680756,0,1
1537684613,1,1
1537696112,0,1
1537701868,1,0
1537703800,0,1
1537705710,1,0
1537715308,1,1
1537717233,1,0
1537719186,0,1
1537721075,1,0
1537726828,0,3
1537732750,0,1
1537738603,1,2
1537746267,1,0
1537750119,1,0
1537752025,0,1
1537757805,2,0
1537763555,1,0
1537765473,0,1
1537771235,1,1
1537784677,1,0
1537788498,2,0
1537792368,1,1
1537798132,1,0
1537801968,0,1
1537803866,0,1
1537805820,0,2
1537823561,1,1
1537825476,2,0
1537833173,0,1
1537837001,1,1
1537842778,0,1
1537844691,2,1
1537846581,1,0
1537848528,1,0
1537850456,0,1
1537852347,1,0
1537854265,5,0
1537856218,1,0
1537858103,0,1
1537861987,1,0
1537871812,0,1
1537875642,0,2
1537877582,0,1
1537883330,1,0
1537885249,0,1
1537899165,1,0
1537901067,1,0
1537910681,0,2
1537912600,0,1
1537914523,0,1
1537918379,1,0
1537920286,0,1
1537924136,1,1
1537926040,1,0
1537929880,0,1
1537931804,0,1
1537933712,0,2
1537939487,0,1
1537943321,1,1
1537945293,1,0
1537947165,0,1
1537960857,1,0
1537968765,0,1
1537970721,1,0
1537976445,1,0
1537978408,1,0
1537984104,1,0
1537986054,0,1
1537987974,0,1
1537993722,0,4
1538001871,0,1
1538005711,1,1
1538011472,0,1
1538013432,0,1
1538030680,0,2
1538034784,1,0
1538036680,1,0
1538040510,1,0
1538048200,0,1
1538055878,0,1
1538063778,1,0
1538065956,0,1
1538069805,0,1
1538073633,1,0
1538092916,0,1
1538099097,1,0
1538122622,0,2
1538126458,0,1
1538134119,1,0
1538137980,1,0
1538149474,0,1
1538151410,1,0
1538155244,1,0
1538157152,1,0
1538159072,0,1
1538186512,1,1
1538203708,0,1
1538213301,3,0
1538219332,1,0
1538221242,1,1
1538223154,0,1
1538232771,1,0
1538234672,1,0
1538236595,1,0
1538238506,0,1
1538240475,0,1
1538242357,1,0
1538244280,0,1
1538246196,1,0
1538250032,1,0
1538251955,1,0
1538259634,1,0
1538273078,0,1
1538274974,1,0
1538284582,1,0
1538288435,1,0
1538292267,1,0
1538296099,1,0
1538299941,0,3
1538305803,0,1
1538307641,0,1
1538311700,1,0
1538321298,2,0
1538328990,0,1
1538332826,0,1
1538336664,0,1
1538338609,0,1
1538340510,1,0
1538348193,1,0
1538361699,0,1
1538369560,1,0
1538371947,2,1
1538373907,0,1
1538377726,1,1
1538383459,0,1
1538391164,1,1
1538397157,1,0
1538399128,0,1
1538401011,2,0
1538402906,1,0
1538414423,1,1
1538416360,0,1
1538418267,0,1
1538422119,0,2
1538424119,1,0
1538427930,1,1
1538430039,1,0
1538433866,2,0
1538435810,0,1
1538453565,1,0
1538457658,0,2
1538459544,1,0
1538475175,1,0
1538483089,0,1
1538486897,1,0
1538502284,0,1
1538504195,0,2
1538509950,0,3
1538514096,1,1
1538517880,0,1
1538519779,1,1
1538535156,0,1
1538538991,1,0
1538540903,0,2
1538545017,0,1
1538547201,0,1
1538551000,2,0
1538558690,1,0
1538562507,0,1
1538574294,1,1
1538578107,1,0
1538589695,1,0
1538599479,1,1
1538601410,3,0
1538603309,1,0
1538605229,1,0
