DateTime,AddedIPs,RemovedIPs
1539475475,14,23
1539477423,7,1
1539479345,2,3
1539481249,3,1
1539483156,4,9
1539485082,4,6
1539487046,12,2
1539488902,3,3
1539490845,1,4
1539492753,4,1
1539494684,3,1
1539496620,4,4
1539498529,13,12
1539500508,0,4
1539502368,3,11
1539504534,4,1
1539506451,1,3
1539508346,4,2
1539510288,1433,1
1539512220,1764,11
1539514125,501,0
1539516062,4,2
1539517970,3,1
1539519900,5,3
1539521802,4,1
1539523718,2,7
1539525700,11,9
1539527575,4,5
1539529528,3,3
1539531408,13,1
1539533354,3,3
1539535249,8,2
1539537152,6,1
1539539094,2,2
1539541020,4,1
1539542924,7,13
1539544842,4,2
1539546765,5,8
1539548683,37,21
1539550601,5,6
1539552519,3,2
1539554532,8,2
1539556427,0,2
1539558792,1,6
1539560712,1,4
1539562613,0,9
1539564528,32,4
1539566444,0,2
1539568395,10,2
1539570403,1,4
1539572218,2,3
1539574119,0,11
1539577969,22,2
1539579897,15,3
1539581786,5,6
1539583733,1,1
1539585648,1,12
1539587553,9,0
1539589485,5,4
1539591558,1,1
1539593570,1,2
1539595475,3,5
1539597392,1,1310
1539599314,1,2592
1539601303,4,10
1539603160,2,3
1539605135,2,7
1539606996,4,6
1539608935,3,6
1539610825,5,4
1539612770,14,13
1539614668,3,4
1539616844,4,5
1539618760,13,13
1539620676,8,9
1539622622,4,5
1539624523,3,8
1539626486,5,5
1539628604,14,5
1539630531,27,4
1539632442,14,3
1539634351,12,36
1539636304,3,13
1539638186,4,1
1539640116,9,2
1539642269,13,7
1539644217,5,3
1539646107,3,1
1539648034,0,2
1539649965,5,31
1539651876,0,2
1539653800,2,9
1539655716,2,3
1539657627,1,1
1539659574,1,1
1539661479,4,0
1539663406,0,3
1539665307,3,27
1539667229,7,16
1539669148,6,2
1539671094,3,2
1539672990,2,3
1539674909,6,12
1539676898,3,2
1539678885,1,3
1539681156,10,4
1539683088,16,0
1539684987,5,1
1539686918,3,1
1539690739,4,1
1539692683,11,2
1539694593,10,6
1539696505,2,3
1539698474,2,16
1539700346,30,3
1539702387,27,2
1539704423,9,7
1539706638,30,13
1539708753,6,5
1539710670,3,3
1539712875,6,3
1539714739,3415,2
1539716722,519,22
1539718589,3,18
1539720519,3,13
1539722430,1,3
1539724607,3,2
1539726497,10,8
1539728416,2,10
1539730597,4,5
1539732497,9,1
1539734437,4,1
1539736344,0,5
1539738287,5,1
1539740177,3,2
1539742123,3,2
1539744019,1,1
1539745948,2,1
1539747869,2,4
1539749806,3,0
1539751712,0,3
1539753615,2,6
1539755557,1,1
1539757495,0,4
