DateTime,Entries,UniqueIPs
1539475475,540,540
1539477423,546,546
1539479345,545,545
1539481249,547,547
1539483156,542,542
1539485082,540,540
1539487046,550,550
1539488902,550,550
1539490845,547,547
1539492753,550,550
1539494684,552,552
1539496620,552,552
1539498529,553,553
1539500508,549,549
1539502368,541,541
1539504534,544,544
1539506451,542,542
1539508346,544,544
1539510288,1976,1976
1539512220,3729,3729
1539514125,4230,4230
1539516062,4232,4232
1539517970,4234,4234
1539519900,4236,4236
1539521802,4239,4239
1539523718,4234,4234
1539525700,4236,4236
1539527575,4235,4235
1539529528,4235,4235
1539531408,4247,4247
1539533354,4247,4247
1539535249,4253,4253
1539537152,4258,4258
1539539094,4258,4258
1539541020,4261,4261
1539542924,4255,4255
1539544842,4257,4257
1539546765,4254,4254
1539548683,4270,4270
1539550601,4269,4269
1539552519,4270,4270
1539554532,4276,4276
1539556427,4274,4274
1539558792,4269,4269
1539560712,4266,4266
1539562613,4257,4257
1539564528,4285,4285
1539566444,4283,4283
1539568395,4291,4291
1539570403,4288,4288
1539572218,4287,4287
1539574119,4276,4276
1539577969,4296,4296
1539579897,4308,4308
1539581786,4307,4307
1539583733,4307,4307
1539585648,4296,4296
1539587553,4305,4305
1539589485,4306,4306
1539591558,4306,4306
1539593570,4305,4305
1539595475,4303,4303
1539597392,2994,2994
1539599314,403,403
1539601303,397,397
1539603160,396,396
1539605135,391,391
1539606996,389,389
1539608935,386,386
1539610825,387,387
1539612770,388,388
1539614668,387,387
1539616844,386,386
1539618760,386,386
1539620676,385,385
1539622622,384,384
1539624523,379,379
1539626486,379,379
1539628604,388,388
1539630531,411,411
1539632442,422,422
1539634351,398,398
1539636304,388,388
1539638186,391,391
1539640116,398,398
1539642269,404,404
1539644217,406,406
1539646107,408,408
1539648034,406,406
1539649965,380,380
1539651876,378,378
1539653800,371,371
1539655716,370,370
1539657627,370,370
1539659574,370,370
1539661479,374,374
1539663406,371,371
1539665307,347,347
1539667229,338,338
1539669148,342,342
1539671094,343,343
1539672990,342,342
1539674909,336,336
1539676898,337,337
1539678885,335,335
1539681156,341,341
1539683088,357,357
1539684987,361,361
1539686918,363,363
1539690739,366,366
1539692683,375,375
1539694593,379,379
1539696505,378,378
1539698474,364,364
1539700346,391,391
1539702387,416,416
1539704423,418,418
1539706638,435,435
1539708753,436,436
1539710670,436,436
1539712875,439,439
1539714739,3852,3852
1539716722,4349,4349
1539718589,4334,4334
1539720519,4324,4324
1539722430,4322,4322
1539724607,4323,4323
1539726497,4325,4325
1539728416,4317,4317
1539730597,4316,4316
1539732497,4324,4324
1539734437,4327,4327
1539736344,4322,4322
1539738287,4326,4326
1539740177,4327,4327
1539742123,4328,4328
1539744019,4328,4328
1539745948,4329,4329
1539747869,4327,4327
1539749806,4330,4330
1539751712,4327,4327
1539753615,4323,4323
1539755557,4323,4323
1539757495,4319,4319
1539759377,4323,4323
1539761316,4319,4319
1539764210,4319,4319
1539766346,4324,4324
1539768263,4330,4330
1539770214,4315,4315
1539772098,4313,4313
1539774070,4314,4314
1539775949,4316,4316
1539777887,4322,4322
1539779794,4302,4302
1539781724,4302,4302
1539783618,4305,4305
1539785559,4305,4305
1539787471,4299,4299
1539789512,4294,4294
1539791562,4297,4297
1539793469,4288,4288
1539795394,4289,4289
1539797307,4292,4292
1539800198,2795,2795
1539802099,336,336
1539804020,338,338
1539805947,342,342
1539807859,353,353
1539810070,364,364
1539811954,364,364
1539813874,367,367
1539815810,370,370
1539817732,369,369
1539819634,363,363
1539821568,367,367
1539823465,388,388
1539825558,389,389
1539827535,386,386
1539829494,389,389
1539831382,388,388
1539833298,389,389
1539835321,387,387
1539837154,389,389
1539839070,390,390
1539841256,390,390
1539843165,391,391
1539845091,390,390
1539847006,385,385
1539848918,389,389
1539850837,385,385
1539852769,379,379
1539854673,369,369
1539856596,375,375
1539858512,374,374
1539860485,375,375
1539862362,375,375
1539864305,376,376
1539866200,379,379
1539868123,380,380
1539870032,383,383
1539871961,386,386
1539873881,387,387
1539875796,393,393
1539877702,390,390
1539879649,379,379
1539881561,381,381
1539883481,385,385
1539885385,383,383
1539887566,385,385
1539889510,385,385
1539891386,382,382
1539893314,379,379
1539895220,378,378
1539897170,375,375
1539899067,371,371
1539901002,371,371
1539902929,372,372
1539904852,373,373
1539906781,373,373
1539908692,368,368
1539910586,365,365
1539912531,370,370
1539914536,370,370
1539916374,371,371
1539918274,373,373
1539920180,373,373
1539922117,371,371
1539924045,367,367
1539925974,367,367
1539927870,368,368
1539929820,367,367
1539931730,367,367
1539933640,364,364
1539935576,364,364
1539937481,365,365
1539939424,367,367
1539941323,366,366
1539943286,364,364
1539945155,366,366
1539947133,364,364
1539949218,359,359
1539951401,358,358
1539953315,356,356
1539955223,361,361
1539957178,361,361
1539959068,361,361
1539961003,359,359
1539962903,356,356
1539965139,355,355
1539966996,354,354
1539968898,350,350
1539971064,349,349
1539972991,353,353
1539974919,355,355
1539976831,355,355
1539978744,358,358
1539980691,358,358
1539982588,352,352
1539984514,371,371
1539986543,369,369
1539988353,365,365
1539990298,364,364
1539992202,365,365
1539994115,364,364
1539996029,362,362
1539997956,366,366
1539999898,353,353
1540001797,355,355
1540003711,352,352
1540005637,355,355
1540007544,353,353
1540009483,355,355
1540011390,354,354
1540013301,354,354
1540015295,356,356
1540017196,353,353
1540019095,358,358
1540020990,362,362
1540022921,360,360
1540024852,359,359
1540026777,358,358
1540028675,363,363
1540030615,360,360
1540032510,359,359
1540034432,359,359
1540036356,360,360
1540038281,358,358
1540040202,360,360
1540042120,354,354
1540044094,349,349
1540045962,349,349
1540047887,351,351
1540049807,354,354
1540051771,356,356
1540053638,355,355
1540055576,356,356
1540057483,358,358
1540059400,353,353
1540061317,348,348
1540063231,350,350
1540065180,346,346
1540067167,345,345
1540068997,348,348
1540070915,347,347
1540072928,348,348
1540074758,351,351
1540076727,307,307
1540078602,306,306
1540080531,306,306
1540082456,308,308
1540084359,305,305
1540086276,301,301
1540088208,300,300
1540090112,301,301
1540092053,298,298
1540095878,302,302
1540097815,311,311
1540099721,312,312
1540101720,312,312
1540103582,312,312
1540105754,305,305
1540107874,301,301
1540109808,304,304
1540113874,303,303
1540115809,3378,3378
1540117708,4257,4257
1540119695,4258,4258
1540121561,4258,4258
1540123503,4262,4262
1540125390,4269,4269
1540127387,4267,4267
1540129244,4264,4264
1540133068,4263,4263
1540135219,4264,4264
1540137146,4265,4265
1540139342,4267,4267
1540143159,4266,4266
1540145111,4265,4265
1540147022,4266,4266
1540148938,4263,4263
1540150845,4260,4260
1540152775,4262,4262
1540154669,4261,4261
1540156614,4260,4260
1540160444,4256,4256
1540162376,4255,4255
1540164279,4256,4256
1540166184,4256,4256
1540168124,4257,4257
1540170102,4258,4258
1540171964,4260,4260
1540174067,4261,4261
1540176037,4262,4262
1540177939,4263,4263
1540179868,4262,4262
1540181778,4263,4263
1540183697,4265,4265
1540185882,4266,4266
1540187792,4267,4267
1540189708,4271,4271
1540191696,4269,4269
1540193555,4271,4271
1540195495,4268,4268
1540197387,4276,4276
1540199395,4275,4275
1540201258,3879,3879
1540203166,3491,3491
1540205062,3497,3497
1540207223,3493,3493
1540209164,3393,3393
1540211089,616,616
1540213280,344,344
1540215406,350,350
1540217316,356,356
1540219232,361,361
1540221166,361,361
1540223077,366,366
1540225001,368,368
1540226947,367,367
1540228839,375,375
1540230754,377,377
1540232681,380,380
1540234617,381,381
1540236507,387,387
1540238483,390,390
1540240360,406,406
1540242295,407,407
1540244217,422,422
1540246130,424,424
1540248031,431,431
1540250191,440,440
1540252107,450,450
1540254031,453,453
1540255968,457,457
1540257867,454,454
1540259811,458,458
1540261709,465,465
1540263690,471,471
1540265565,475,475
1540267489,472,472
1540269421,474,474
1540271324,470,470
1540273249,474,474
1540275180,479,479
1540277662,480,480
1540279479,480,480
1540281525,491,491
1540283584,489,489
1540285479,489,489
1540287393,489,489
1540289334,494,494
1540291226,488,488
1540293158,494,494
1540295078,490,490
1540297016,491,491
1540298912,489,489
1540300826,492,492
1540302753,489,489
1540304688,487,487
1540306609,481,481
1540308539,479,479
1540310499,483,483
1540312360,486,486
1540314532,480,480
1540316442,486,486
1540318373,477,477
1540320272,480,480
1540322212,483,483
1540324128,477,477
1540326025,475,475
1540327973,466,466
1540329872,460,460
1540331791,457,457
1540333706,453,453
1540335720,442,442
1540337575,434,434
1540339494,431,431
1540341412,424,424
1540343332,423,423
1540345523,413,413
1540347419,411,411
1540349312,404,404
1540351225,399,399
1540353142,393,393
1540355077,390,390
1540357015,392,392
1540358943,387,387
1540361092,385,385
1540363020,376,376
1540365156,369,369
1540367098,369,369
1540369253,362,362
1540371154,381,381
1540373072,403,403
1540375019,414,414
1540377059,410,410
1540379097,408,408
1540381232,403,403
1540383237,401,401
1540385083,392,392
1540387028,390,390
1540389161,392,392
1540391063,388,388
1540393014,391,391
1540394910,389,389
1540396916,384,384
1540398757,375,375
1540400747,373,373
1540402601,368,368
1540404523,368,368
1540406434,364,364
1540408351,369,369
1540410289,368,368
1540412204,369,369
1540414109,365,365
1540416038,405,405
1540417967,404,404
1540420015,405,405
1540422123,405,405
1540423946,405,405
1540426051,414,414
1540428032,417,417
1540429946,419,419
1540431896,422,422
1540433806,425,425
1540435969,427,427
1540437888,425,425
1540439808,425,425
1540441957,422,422
1540443898,431,431
1540446055,432,432
1540447978,437,437
1540449899,444,444
1540451816,447,447
1540453723,466,466
1540455665,491,491
1540457569,482,482
1540459491,455,455
1540461416,636,636
