DateTime,AddedIPs,RemovedIPs
1539490845,42,23
1539492753,36,29
1539494683,38,26
1539496620,37,26
1539498528,48,23
1539500507,39,29
1539502368,44,23
1539504533,55,36
1539506450,32,18
1539508346,38,21
1539510287,45,7
1539512219,38,20
1539514125,37,38
1539516062,41,40
1539517970,52,47
1539519900,36,38
1539521802,45,53
1539523717,34,40
1539525699,29,33
1539527574,40,30
1539529527,34,34
1539531408,30,37
1539533354,51,46
1539535248,48,36
1539537151,33,31
1539539093,42,33
1539541019,47,41
1539542924,29,23
1539544841,38,45
1539546764,33,42
1539548682,36,41
1539550601,31,32
1539552519,34,44
1539554531,39,40
1539556426,36,45
1539558791,46,53
1539560707,28,36
1539562612,49,37
1539564527,32,34
1539566443,33,42
1539568395,36,38
1539570403,37,40
1539572218,37,50
1539574119,36,34
1539576101,30,34
1539577968,26,51
1539579897,27,34
1539581786,24,36
1539583732,47,44
1539585648,22,42
1539587553,32,37
1539589485,21,45
1539591558,37,46
1539593570,49,36
1539595475,34,47
1539597392,31,34
1539599314,34,42
1539601303,37,41
1539603159,41,45
1539605132,24,45
1539606996,35,43
1539608935,39,39
1539610824,33,30
1539612770,27,34
1539614668,26,39
1539616844,38,34
1539618760,35,43
1539620676,30,50
1539622621,21,47
1539624523,25,38
1539626485,33,42
1539628604,40,44
1539630531,47,33
1539632441,42,31
1539634351,40,38
1539636304,58,38
1539638185,48,36
1539640115,38,34
1539642269,56,45
1539644216,45,29
1539646106,38,36
1539648034,40,42
1539649965,44,36
1539651875,38,29
1539653800,35,38
1539655716,44,35
1539657626,18,45
1539659573,36,38
1539661479,55,30
1539663406,46,34
1539665306,47,24
1539667229,34,28
1539669148,42,42
1539671094,29,32
1539672990,29,29
1539674909,42,32
1539676897,38,23
1539678881,40,28
1539680684,34,46
1539682579,36,30
1539684535,38,32
1539686415,38,40
1539688369,51,35
1539690266,43,39
1539692228,38,26
1539694125,33,35
1539696041,38,44
1539697956,31,26
1539699885,34,27
1539702096,39,37
1539703970,44,31
1539706064,41,39
1539708284,45,32
1539710195,56,23
1539712355,34,32
1539714270,39,33
1539716201,54,38
1539718105,40,39
1539720118,43,38
1539721971,42,59
1539724120,31,52
1539726050,44,40
1539727963,48,37
1539730118,45,47
1539732033,36,48
1539733963,42,38
1539735894,35,44
1539737783,44,41
1539739706,50,38
1539741707,39,40
1539743551,46,32
1539745509,44,30
1539747380,35,56
1539749312,64,40
1539751252,56,47
