DateTime,AddedIPs,RemovedIPs
1539368914,0,3
1539370904,0,3
1539372762,4,1
1539374718,1,2
1539376593,4,1
1539378529,2,1
1539380441,4,1
1539382359,1,1
1539384803,5,4
1539386941,4,4
1539388845,0,4
1539390788,1,0
1539392671,5,3
1539394608,3,1
1539396566,0,3
1539398452,1,3
1539400352,3,1
1539402284,2,1
1539404195,4,0
1539406102,1,1
1539408047,0,1
1539409977,2,3
1539411909,2,3
1539413813,0,3
1539415697,1,3
1539417706,2,0
1539419576,1,0
1539421475,1,2
1539423379,0,1
1539425332,1,1
1539427253,1,2
1539429153,0,2
1539431087,1,0
1539433019,1,0
1539434907,6,0
1539436849,2,0
1539438768,1,0
1539440784,2,1
1539442588,1,1
1539444770,3,0
1539446689,1,0
1539448612,1,0
1539450539,2,0
1539452444,2,2
1539454365,1,1
1539456279,1,1
1539460133,1,0
1539462030,1,3
1539463971,3,1
1539465901,2,2
1539467785,1,2
1539469723,3,0
1539471710,0,8
1539473591,2,1
1539477424,0,1
1539479346,0,2
1539483157,3,2
1539485083,1,2
1539487046,13,1
1539488902,1,1
1539490846,0,3
1539492754,0,1
1539494684,3,0
1539496621,1,2
1539500508,1,1
1539502369,3,0
1539504534,4,1
1539506451,0,1
1539508347,1,0
1539514126,1,2
1539516063,1,1
1539517971,3,0
1539519901,6,1
1539521803,3,3
1539523718,1,0
1539525701,3,3
1539527575,4,3
1539529528,2,0
1539531409,4,0
1539533355,1,0
1539535250,3,0
1539537152,3,0
1539539095,2,0
1539541021,1,1
1539542925,1,0
1539544849,1,1
1539546765,3,0
1539548683,0,1
1539550602,1,0
1539552520,0,1
1539556428,1,1
1539558792,2,1
1539560714,1,2
1539562614,1,1
1539564528,1,0
1539566444,1,2
1539568396,0,1
1539570404,0,1
1539572219,0,1
1539574120,0,12
1539576102,2,0
1539577969,1,2
1539581787,2,3
1539583733,1,0
1539589486,0,1
1539591559,1,2
1539593571,0,1
1539595476,2,0
1539597393,1,1
1539599315,10,0
1539601304,0,1
1539603160,0,2
1539605136,0,2
1539606997,3,3
1539608936,1,1
1539610825,1,3
1539612771,2,2
1539614669,1,3
1539616844,1,3
1539618760,0,2
1539620676,1,2
1539622623,2,3
1539624524,0,6
1539626486,0,5
1539628605,0,3
1539630532,0,2
1539632442,0,1
1539634352,1,4
1539638186,0,2
1539640116,0,1
1539642270,1,0
1539644217,0,2
1539646107,1,4
1539648035,4,4
1539649966,1,4
1539651876,0,3
1539655717,0,1
1539657627,0,1
1539659574,1,2
1539661480,3,1
1539663416,2,4
1539665307,0,1
1539667230,1,2
1539669149,0,3
1539671095,0,1
1539672991,0,1
1539674910,1,2
1539676898,1,3
1539678885,2,2
1539681157,2,7
1539683088,2,2
1539684988,3,6
1539686918,2,4
1539688828,2,0
1539690740,1,1
1539692684,2,3
1539694594,2,0
1539696505,1,3
1539698482,2,0
1539700347,0,2
1539702388,1,2
1539704424,0,3
1539706638,0,2
1539708753,2,1
1539710672,1,1
1539712883,1,0
1539714739,5,2
1539716724,112,0
1539718590,187,0
1539720519,240,1
1539722431,158,0
1539724608,2,0
1539726498,1,1
1539728417,1,1
1539730598,2,0
1539732497,2,0
1539734440,0,6
1539736345,1,0
1539738288,1,0
1539740178,3,1
1539742124,1,0
1539744020,2,0
1539745949,3,0
1539747870,1,2
1539749807,3,0
1539753615,0,1
1539755558,1,0
1539757496,2,0
1539764211,6,2
1539766347,1,4
1539768263,0,1
1539770215,1,3
1539772099,2,3
1539774075,3,0
1539775949,4,2
1539777887,3,1
1539779795,2,1
1539781726,2,1
1539783619,3,3
1539785560,3,1
1539787472,2,0
1539789513,3,0
1539791563,2,1
1539793469,3,1
1539795395,0,1
1539797308,1,1
1539800199,4,1
1539802100,5,37
1539804021,3,160
1539805948,0,232
1539807859,3,224
1539810086,0,46
1539811955,0,1
1539813875,1,0
1539815811,0,2
1539817733,1,2
1539819635,1,0
1539821569,2,1
1539823465,2,2
1539825559,1,1
1539827535,2,1
1539829495,3,3
1539831383,6,0
1539833298,3,1
1539835323,1,0
1539837155,0,1
1539839071,2,1
1539841257,1,0
1539843166,2,0
1539845092,3,1
1539847006,2,0
1539848919,4,1
1539850838,1,2
1539852769,2,1
1539854675,2,0
1539856597,1,1
1539858512,1,1
1539860486,16,1
1539866201,0,1
1539868124,3,0
1539870032,1,1
1539871962,0,4
1539873882,1,1
1539875797,1,0
1539877712,1,2
1539879650,0,1
1539881562,3,0
1539883482,1,2
1539885385,0,3
1539887567,0,2
1539889511,3,2
1539891386,2,1
1539893314,1,0
1539895220,1,2
1539897171,0,1
1539899069,0,1
1539902929,1,0
1539904853,1,0
1539906781,0,2
1539908693,1,2
1539910587,0,1
1539912532,1,0
1539914538,0,1
1539916375,1,0
1539918274,1,1
1539920181,2,2
1539924045,1,1
1539927871,0,3
1539929821,2,1
1539931730,0,3
1539933641,2,4
1539935577,0,2
1539937482,1,2
1539939425,0,1
1539941324,0,3
1539943288,0,1
1539945156,0,3
1539947134,2,14
1539949219,0,2
1539951402,1,2
1539953316,1,0
1539955224,2,1
1539959069,0,4
1539961004,1,1
1539962903,0,1
1539965140,0,2
1539966996,1,2
1539968899,0,3
1539971065,0,2
1539972991,1,1
1539974919,0,2
1539976833,0,3
1539978745,1,0
1539980692,0,3
1539982589,0,3
1539984515,1,1
1539986544,3,0
1539988353,0,2
1539990299,1,2
1539992203,2,3
1539994116,0,1
1539996030,1,3
1539997957,1,4
1539999899,1,1
1540001798,2,2
1540003712,0,4
1540005637,0,5
1540007545,0,4
1540009484,1,3
1540011390,0,1
1540013302,2,2
1540015296,0,1
1540017197,2,2
1540019096,3,0
1540020991,6,3
1540022922,1,2
1540024853,1,1
1540026778,0,1
1540030615,2,0
1540032511,4,1
1540034432,2,1
1540036357,1,0
1540038281,2,0
1540040202,0,2
1540042120,3,0
1540044095,1,0
1540045963,1,0
1540049808,2,0
1540051772,3,1
1540055576,0,1
1540059401,5,1
1540061318,3,0
1540063232,3,0
1540065181,1,0
1540067167,3,0
1540068998,5,0
1540070915,1,1
1540072928,2,2
1540074758,1,0
1540076728,0,1
1540078602,1,2
1540080532,3,1
1540082457,0,1
1540084360,0,2
1540086276,2,2
1540088208,0,1
1540090113,7,0
1540093959,1,0
1540095878,1,0
1540097816,2,0
1540099722,3,2
1540101720,0,1
1540103583,0,2
1540105755,5,3
1540107875,0,2
1540109808,1,0
1540111713,2,0
1540115809,4,1
1540119696,0,1
1540121561,1,1
1540123504,1,0
1540125390,0,1
1540127388,1,1
1540129245,1,0
1540131174,0,2
1540133069,1,0
1540135221,0,3
1540137147,2,1
1540141291,2,0
1540145113,1,1
1540147023,1,2
1540152776,0,1
1540154670,1,2
1540156615,1,2
1540158500,3,3
1540162376,4,1
1540164280,3,0
1540166184,1,0
1540170103,0,1
1540171965,4,0
1540174069,4,0
1540176038,0,1
1540177948,2,1
1540181779,1,1
1540183698,0,1
1540185883,1,3
1540189709,2,1
1540191696,0,1
1540193555,0,4
1540195496,2,0
1540197388,0,2
1540201258,4,4
1540203167,1,0
1540205063,2,0
1540215407,5,2
1540217317,2,0
1540219232,1,2
1540221167,0,1
1540223078,1,0
1540226948,3,2
1540228840,0,3
1540230755,3,1
1540232681,1,2
1540234617,1,2
1540236508,3,0
1540238484,3,0
1540240360,1,0
1540242296,0,2
1540244218,1,0
1540246132,0,1
1540248032,1,1
1540250191,1,3
1540252108,1,0
1540257867,1,0
1540261709,0,1
1540263691,1,0
1540265565,0,1
1540269422,0,1
1540271325,1,0
1540273250,1,0
1540277663,1,0
1540279479,1,0
1540281526,1,2
1540283585,1,1
1540285480,0,1
1540287394,2,4
1540289335,1,2
1540291227,0,2
1540293158,1,1
1540298912,0,1
1540300827,0,1
1540302753,0,3
1540304689,2,0
1540306609,1,2
1540308540,0,6
1540312361,1,1
1540314532,1,6
1540318374,2,3
1540320273,1,2
1540322213,0,3
1540324129,1,2
1540326026,1,7
1540327974,0,1
1540329873,0,4
1540331791,0,2
1540333707,2,2
1540335721,1,4
1540341413,0,4
1540343333,2,2
1540345525,3,1
1540349312,0,4
1540351226,1,1
1540353143,1,2
1540355078,0,3
1540358944,1,1
1540363020,3,1
1540365157,0,1
1540367099,5,2
1540369254,0,1
1540371155,4,2
1540373073,0,2
1540375020,2,1
1540377059,3,1
1540379098,0,1
1540381232,1,2
1540383238,2,0
1540385084,0,1
1540387029,0,2
1540389162,3,1
1540391064,0,1
1540393014,0,1
1540394910,3,0
1540396916,1,2
1540398758,0,1
1540400747,2,1
1540404524,1,1
1540406435,4,0
1540408352,1,1
1540410290,2,1
1540412205,1,2
1540414110,1,0
1540416039,2,1
1540417968,2,0
1540420015,2,3
1540422123,1,1
1540428033,0,1
1540429946,0,2
1540431897,3,5
1540435970,3,0
1540437889,1,0
1540439809,2,2
1540441958,2,0
1540443899,2,0
1540446056,2,0
1540447979,1,0
1540449900,2,2
1540451817,1,0
1540453724,0,1
1540457570,0,1
1540461417,0,1
