DateTime,Entries,UniqueIPs
1539368914,83,83
1539370904,80,80
1539372762,83,83
1539374718,82,82
1539376593,85,85
1539378529,86,86
1539380441,89,89
1539382359,89,89
1539384803,90,90
1539386941,90,90
1539388845,86,86
1539390788,87,87
1539392671,89,89
1539394608,91,91
1539396566,88,88
1539398452,86,86
1539400352,88,88
1539402284,89,89
1539404195,93,93
1539406102,93,93
1539408047,92,92
1539409977,91,91
1539411909,90,90
1539413813,87,87
1539415697,85,85
1539417706,87,87
1539419576,88,88
1539421475,87,87
1539423379,86,86
1539425332,86,86
1539427253,85,85
1539429153,83,83
1539431087,84,84
1539433019,85,85
1539434907,91,91
1539436849,93,93
1539438768,94,94
1539440784,95,95
1539442588,95,95
1539444770,98,98
1539446689,99,99
1539448612,100,100
1539450539,102,102
1539452444,102,102
1539454365,102,102
1539456279,102,102
1539460133,103,103
1539462030,101,101
1539463971,103,103
1539465901,103,103
1539467785,102,102
1539469723,105,105
1539471710,97,97
1539473591,98,98
1539477424,97,97
1539479346,95,95
1539483157,96,96
1539485083,95,95
1539487046,107,107
1539488902,107,107
1539490846,104,104
1539492754,103,103
1539494684,106,106
1539496621,105,105
1539500508,105,105
1539502369,108,108
1539504534,111,111
1539506451,110,110
1539508347,111,111
1539514126,110,110
1539516063,110,110
1539517971,113,113
1539519901,118,118
1539521803,118,118
1539523718,119,119
1539525701,119,119
1539527575,120,120
1539529528,122,122
1539531409,126,126
1539533355,127,127
1539535250,130,130
1539537152,133,133
1539539095,135,135
1539541021,135,135
1539542925,136,136
1539544849,136,136
1539546765,139,139
1539548683,138,138
1539550602,139,139
1539552520,138,138
1539556428,138,138
1539558792,139,139
1539560714,138,138
1539562614,138,138
1539564528,139,139
1539566444,138,138
1539568396,137,137
1539570404,136,136
1539572219,135,135
1539574120,123,123
1539576102,125,125
1539577969,124,124
1539581787,123,123
1539583733,124,124
1539589486,123,123
1539591559,122,122
1539593571,121,121
1539595476,123,123
1539597393,123,123
1539599315,133,133
1539601304,132,132
1539603160,130,130
1539605136,128,128
1539606997,128,128
1539608936,128,128
1539610825,126,126
1539612771,126,126
1539614669,124,124
1539616844,122,122
1539618760,120,120
1539620676,119,119
1539622623,118,118
1539624524,112,112
1539626486,107,107
1539628605,104,104
1539630532,102,102
1539632442,101,101
1539634352,98,98
1539638186,96,96
1539640116,95,95
1539642270,96,96
1539644217,94,94
1539646107,91,91
1539648035,91,91
1539649966,88,88
1539651876,85,85
1539655717,84,84
1539657627,83,83
1539659574,82,82
1539661480,84,84
1539663416,82,82
1539665307,81,81
1539667230,80,80
1539669149,77,77
1539671095,76,76
1539672991,75,75
1539674910,74,74
1539676898,72,72
1539678885,72,72
1539681157,67,67
1539683088,67,67
1539684988,64,64
1539686918,62,62
1539688828,64,64
1539690740,64,64
1539692684,63,63
1539694594,65,65
1539696505,63,63
1539698482,65,65
1539700347,63,63
1539702388,62,62
1539704424,59,59
1539706638,57,57
1539708753,58,58
1539710672,58,58
1539712883,59,59
1539714739,62,62
1539716724,174,174
1539718590,361,361
1539720519,600,600
1539722431,758,758
1539724608,760,760
1539726498,760,760
1539728417,760,760
1539730598,762,762
1539732497,764,764
1539734440,758,758
1539736345,759,759
1539738288,760,760
1539740178,762,762
1539742124,763,763
1539744020,765,765
1539745949,768,768
1539747870,767,767
1539749807,770,770
1539753615,769,769
1539755558,770,770
1539757496,772,772
1539764211,776,776
1539766347,773,773
1539768263,772,772
1539770215,770,770
1539772099,769,769
1539774075,772,772
1539775949,774,774
1539777887,776,776
1539779795,777,777
1539781726,778,778
1539783619,778,778
1539785560,780,780
1539787472,782,782
1539789513,785,785
1539791563,786,786
1539793469,788,788
1539795395,787,787
1539797308,787,787
1539800199,790,790
1539802100,758,758
1539804021,601,601
1539805948,369,369
1539807859,148,148
1539810086,102,102
1539811955,101,101
1539813875,102,102
1539815811,100,100
1539817733,99,99
1539819635,100,100
1539821569,101,101
1539823465,101,101
1539825559,101,101
1539827535,102,102
1539829495,102,102
1539831383,108,108
