DateTime,Entries,UniqueIPs
1539450539,82,82
1539452445,81,81
1539454366,90,90
1539456279,96,96
1539458210,97,97
1539460134,97,97
1539462030,97,97
1539463971,93,93
1539465902,90,90
1539467785,91,91
1539469724,100,100
1539471710,99,99
1539473592,100,100
1539475477,103,103
1539477424,105,105
1539479347,112,112
1539481250,114,114
1539483157,113,113
1539485083,108,108
1539487047,107,107
1539488902,108,108
1539490847,110,110
1539492754,111,111
1539494685,110,110
1539496621,111,111
1539498530,111,111
1539500509,116,116
1539502369,115,115
1539504535,118,118
1539508347,118,118
1539510288,120,120
1539514126,118,118
1539516065,114,114
1539517971,114,114
1539519901,115,115
1539521803,116,116
1539523719,115,115
1539525702,116,116
1539527576,115,115
1539529529,113,113
1539531409,113,113
1539533355,103,103
1539535250,105,105
1539537153,106,106
1539541021,96,96
1539542925,94,94
1539544849,92,92
1539546766,89,89
1539548684,88,88
1539550602,91,91
1539552520,97,97
1539554533,98,98
1539556428,89,89
1539558793,89,89
1539560715,85,85
1539562614,85,85
1539564529,82,82
1539566445,80,80
1539568397,79,79
1539570404,79,79
1539572219,79,79
1539574120,77,77
1539576102,78,78
1539577970,76,76
1539579898,77,77
1539581787,86,86
1539583734,88,88
1539585649,86,86
1539587554,83,83
1539589486,84,84
1539591559,85,85
1539593571,86,86
1539595477,85,85
1539597393,83,83
1539599315,84,84
1539601305,85,85
1539603161,84,84
1539605136,86,86
1539606997,86,86
1539608936,86,86
1539610826,87,87
1539612771,86,86
1539614669,86,86
1539616845,88,88
1539618761,86,86
1539620677,86,86
1539622623,83,83
1539624524,82,82
1539626487,83,83
1539628605,78,78
1539630532,79,79
1539634353,76,76
1539636305,76,76
1539638187,74,74
1539640117,72,72
1539642270,76,76
1539646108,78,78
1539648035,83,83
1539649966,83,83
1539651880,82,82
1539653801,80,80
1539655717,79,79
1539657628,83,83
1539659575,84,84
1539661480,85,85
1539663416,83,83
1539665307,84,84
1539667230,84,84
1539669149,72,72
1539671095,72,72
1539673000,73,73
1539674910,72,72
1539676899,70,70
1539678886,69,69
1539681158,70,70
1539683089,72,72
1539684988,75,75
1539686919,75,75
1539688829,73,73
1539690741,70,70
1539692684,72,72
1539694594,71,71
1539696506,76,76
1539698484,76,76
1539700347,75,75
1539702390,73,73
1539704424,72,72
1539706639,74,74
1539708754,73,73
1539712884,75,75
1539714740,79,79
1539716725,81,81
1539718590,81,81
1539720520,84,84
1539722431,84,84
1539724609,85,85
1539726498,87,87
1539728417,83,83
1539730598,87,87
1539732498,87,87
1539734441,83,83
1539736345,84,84
1539738289,88,88
1539740178,92,92
1539742124,94,94
1539744021,93,93
1539745949,95,95
1539747870,97,97
1539749807,99,99
1539751714,100,100
1539753615,104,104
1539755559,105,105
1539757496,108,108
1539759378,108,108
1539761317,111,111
1539764211,110,110
1539766347,111,111
1539768264,112,112
1539770216,110,110
1539772100,110,110
1539777888,109,109
1539779795,109,109
1539781726,108,108
1539783619,105,105
1539785560,107,107
1539789513,108,108
1539791564,113,113
1539793470,113,113
1539795395,115,115
1539797309,117,117
1539800199,116,116
1539802100,115,115
1539804021,114,114
1539805948,113,113
1539807860,111,111
1539810091,106,106
1539811955,107,107
1539813875,108,108
1539815811,106,106
1539817733,106,106
1539819635,107,107
1539821569,110,110
1539823465,106,106
1539825559,103,103
1539827536,100,100
1539829495,96,96
1539831383,92,92
1539833299,91,91
1539835323,87,87
1539837155,85,85
1539839071,85,85
1539841257,82,82
1539843166,80,80
1539845092,79,79
1539847007,80,80
1539848919,77,77
1539850838,75,75
1539852770,80,80
1539854675,79,79
1539856607,80,80
1539858513,77,77
1539860486,78,78
1539862363,81,81
1539864306,82,82
1539866201,83,83
1539868124,84,84
1539870033,82,82
1539871962,81,81
1539873882,82,82
1539875797,80,80
1539877713,75,75
1539879651,73,73
1539881562,71,71
1539883482,70,70
