DateTime,Entries,UniqueIPs
1539487047,432,432
1539488903,433,433
1539490848,436,436
1539492754,439,439
1539494685,435,435
1539496622,434,434
1539498530,433,433
1539500510,432,432
1539502370,428,428
1539504536,432,432
1539506452,437,437
1539508347,432,432
1539510289,434,434
1539512221,437,437
1539514127,448,448
1539516066,446,446
1539517971,466,466
1539519902,460,460
1539521804,457,457
1539523719,458,458
1539525702,468,468
1539527576,474,474
1539529530,481,481
1539531410,502,502
1539533355,497,497
1539535251,507,507
1539537153,510,510
1539539095,516,516
1539541021,515,515
1539542926,509,509
1539544850,506,506
1539546767,503,503
1539548684,496,496
1539550603,494,494
1539552520,492,492
1539554533,494,494
1539556429,489,489
1539558793,482,482
1539560716,483,483
1539562615,475,475
1539564529,475,475
1539566445,476,476
1539568397,484,484
1539570405,483,483
1539572220,481,481
1539574121,468,468
1539576103,465,465
1539577970,464,464
1539579899,473,473
1539581788,473,473
1539583735,469,469
1539585650,463,463
1539587555,470,470
1539589487,474,474
1539591560,480,480
1539593572,483,483
1539595477,477,477
1539597394,472,472
1539599316,473,473
1539601305,467,467
1539603161,468,468
1539605137,448,448
1539606998,445,445
1539608936,440,440
1539610826,442,442
1539612772,443,443
1539614670,436,436
1539616846,427,427
1539618761,418,418
1539620677,415,415
1539622624,411,411
1539624525,414,414
1539626488,413,413
1539628606,420,420
1539630532,432,432
1539632443,446,446
1539634353,450,450
1539636306,445,445
1539638187,443,443
1539640117,445,445
1539642271,450,450
1539644218,453,453
1539646108,452,452
1539648035,447,447
1539649967,451,451
1539651882,453,453
1539653801,446,446
1539655717,445,445
1539657628,444,444
1539659575,440,440
1539661480,441,441
1539663417,437,437
1539665308,442,442
1539667231,435,435
1539669149,438,438
1539671096,440,440
1539673000,450,450
1539674911,435,435
1539676900,436,436
1539678886,434,434
1539681158,434,434
1539683089,453,453
1539684989,461,461
1539686919,459,459
1539688829,457,457
1539690741,456,456
1539692685,464,464
1539694594,470,470
1539696506,468,468
1539698485,454,454
1539700348,461,461
1539702391,468,468
1539704425,470,470
1539706639,461,461
1539708754,463,463
1539710672,463,463
1539712885,466,466
1539714740,460,460
1539716726,454,454
1539718591,439,439
1539720520,434,434
1539722431,438,438
1539724610,438,438
1539726499,446,446
1539728418,436,436
1539730599,440,440
1539732498,447,447
1539734445,448,448
1539736346,446,446
1539738290,444,444
1539740179,442,442
1539742124,440,440
1539744021,441,441
1539745950,440,440
