DateTime,AddedIPs,RemovedIPs
1517902344,0,1
1517924187,0,1
1518256156,1,1
1518278483,1,1
1518344685,1,0
1518366767,0,1
1518388829,14,0
1518433025,1,0
1518851330,0,1
1518983541,0,14
1519027479,0,1
1519137713,0,1
1519159720,1,0
1519203715,1,0
1519225747,1,0
1519247798,1,0
1519269893,1,0
1519380290,1,0
1519424198,15,0
1519513389,1,0
1519601552,0,1
1519756559,0,1
1519822881,0,1
1519844919,0,1
1519867044,0,1
1519999867,0,1
1520022039,0,1
1520110363,0,1
1520242360,1,0
1520417827,1,0
1520505873,0,1
1520616280,1,0
1520704349,1,14
1520837071,14,1
1520859082,2,0
1521323070,0,1
1521421728,0,14
1521531628,0,1
1521641661,1,0
1521663640,14,0
1521685722,1,0
1521972257,1,0
1522149166,0,1
1522193080,1,0
1522282530,0,15
1522304438,0,2
1522326761,0,1
1522790444,0,1
1522812606,0,1
1523307098,0,1
1523333864,1,0
1523423121,1,0
1523942221,0,0
1524118824,0,0
1524184827,1,0
1524913768,1,0
1524979970,1,1
1525156643,1,0
1525532446,1,0
1525598465,0,1
1525752770,0,1
1525797418,1,0
1526018215,0,5
1526332115,18,0
1526442510,1,0
1526486309,1,0
1526530589,0,1
1526574533,1,0
1526662598,0,14
1526750695,10,1
1526948952,0,1
1527015171,13,0
1527037012,0,1
1527103232,0,1
1527278916,0,0
1527300914,0,0
1527322906,0,0
1527344850,0,0
1527389630,0,1
1527521809,0,8
1527543855,1,0
1527675657,0,1
1527742124,4,0
1527897164,0,0
1527921143,0,0
1527943799,0,0
1527965973,0,0
1527988979,0,0
1528055339,0,14
1528110270,1,0
1528154187,0,1
1528220439,0,0
1528311719,0,0
1528555468,0,4
1528821617,14,0
1528887693,1,0
1529316780,0,1
1529426899,0,14
1529690903,0,1
1529756442,1,0
1529844406,1,0
1530042619,22,0
1530174761,1,0
1530396497,1,0
1530440419,0,1
1530484339,0,1
1530550582,1,0
1530660262,0,8
1530792757,0,1
1530968909,1,0
1531101132,0,1
1531144885,0,1
1531166913,0,14
1531211077,1,0
1531531094,59079,0
1531872991,0,58688
1531895068,2,12
1531916916,208,26
1531939065,2,17
1531961334,172,18
1531983346,3,9
1532005473,9,16
1532027469,9,21
1532049420,4,8
1532071289,4,5
1532093313,3,13
1532115399,3,8
1532137452,4,5
1532159432,2,4
1532181377,5,3
1532203462,3,3
1532225324,0,10
1532247406,3,4
1532269491,1,6
1532291557,3,4
1532313644,2,5
1532335993,6,3
1532358032,3,4
1532380155,0,5
1532402326,1,10
1532424275,2,4
1532446357,6,11
1532468515,4,6
1532490509,3,2
1532512384,4,4
1532534329,3,4
1532556257,3,3
1532578128,3,177
1532600440,5,0
1532622524,5,6
1532644589,2,6
1532666433,0,2
1532688273,0,4
1532710337,2,3
1532732431,2,4
1532754614,4,3
1532776589,2,5
1532798650,3,4
1532820509,1,1
1532842603,1,1
1532864665,0,5
1532886533,4,4
1532908695,3,4
1532930928,0,12
1532952996,3,5
1532975078,4,3
1532997157,4,2
1533019237,3,3
1533041080,4,4
1533063160,1,3
1533085245,2,207
1533107300,1,7
1533129220,3,5
1533151225,5,5
1533173074,1,4
1533195173,2,4
