DateTime,AddedIPs,RemovedIPs
1539488904,9,10
1539490850,11,8
1539492755,5,10
1539494686,5,15
1539496623,17,14
1539498531,15,2
1539500511,12,17
1539502371,11,8
1539504537,11,6
1539506453,11,6
1539508348,13,3
1539510290,8,6
1539512222,18,15
1539514127,8,13
1539516067,16,9
1539517972,10,10
1539519903,9,6
1539521805,6,8
1539523720,11,10
1539525703,21,15
1539527577,10,9
1539529530,8,7
1539531411,7,11
1539533356,7,12
1539535252,6,6
1539537154,9,8
1539539096,17,12
1539541022,7,10
1539542927,16,10
1539544851,14,4
1539546768,6,9
1539548685,10,14
1539550604,9,16
1539552521,7,12
1539554534,8,14
1539556430,15,11
1539558794,7,14
1539560717,11,9
1539562618,10,7
1539564530,5,14
1539566446,7,8
1539568398,14,8
1539570406,11,13
1539572220,8,6
1539574122,7,10
1539576104,12,12
1539577971,8,8
1539579900,13,5
1539581789,15,10
1539583735,5,20
1539585651,11,11
1539587556,8,13
1539589488,12,7
1539591561,16,10
1539593573,10,11
1539595478,9,13
1539597395,15,11
1539599317,5,13
1539601307,9,12
1539603162,8,10
1539605138,6,14
1539606999,10,5
1539608937,8,11
1539610834,8,14
1539612773,20,15
1539614671,10,8
1539616847,13,10
1539618762,10,10
1539620678,6,5
1539622625,13,7
1539624526,6,11
1539626489,3,17
1539628607,10,11
1539630533,20,19
1539632444,9,6
1539634354,5,11
1539636307,5,6
1539638188,10,9
1539640118,4,3
1539642272,14,16
1539644219,13,7
1539646109,11,8
1539648037,10,11
1539649968,18,9
1539651884,10,4
1539653802,10,9
1539655718,13,17
1539657629,17,7
1539659576,4,9
1539661481,8,12
1539663418,5,10
1539665309,8,8
1539667232,9,18
1539669150,8,9
1539671097,15,6
1539673001,13,11
1539674912,13,8
1539676902,11,16
1539678887,12,14
1539681160,14,11
1539683090,10,9
1539684990,7,11
1539686920,11,8
1539688830,5,6
1539690742,11,9
1539692685,15,7
1539694595,6,12
1539696507,12,3
1539698487,12,13
1539700348,7,16
1539702392,17,13
1539704426,8,7
1539706640,9,9
1539708755,14,12
1539710673,13,5
1539712886,20,5
1539714741,9,7
1539716727,20,20
1539718592,9,10
1539720521,14,7
1539722432,11,3
1539724611,14,9
1539726500,14,4
1539728419,12,14
1539730600,16,13
1539732500,8,11
1539734450,12,11
1539736347,11,17
1539738292,14,13
1539740179,17,10
1539742125,12,12
1539744022,12,17
1539745951,5,5
1539747872,12,7
1539749809,14,5
1539751716,19,8
1539753618,9,10
1539755560,28,8
1539757498,30,16
1539759379,13,14
1539761318,10,13
1539763270,14,10
1539765160,8,14
1539767063,13,12
1539768970,11,10
1539770911,16,9
1539773065,14,8
1539774991,14,5
1539776900,15,9
1539778837,3,16
1539780763,13,6
1539782679,12,11
1539784585,7,10
1539786499,11,8
1539789515,12,22
1539791565,17,6
1539793471,13,11
1539795397,13,13
1539797311,10,13
1539800200,19,24
1539802102,11,13
1539804023,7,16
1539805950,19,15
1539807861,16,14
1539810096,20,13
1539811957,10,12
1539813888,7,17
1539815813,8,10
1539817735,11,12
1539819637,4,9
1539821571,9,11
1539823467,7,13
1539825560,9,13
1539827537,10,19
1539829496,6,11
1539831385,7,9
1539833300,18,10
1539835325,21,15
1539837157,5,16
1539839072,10,13
1539841258,12,19
1539843168,5,25
1539845094,12,20
1539847008,10,16
1539848920,9,13
1539850840,25,9
1539852771,30,13
1539854676,16,9
1539856608,8,13
1539858514,14,13
1539860488,11,16
1539862364,13,14
1539864309,10,9
1539866203,9,7
1539868126,4,16
1539870034,18,7
1539871964,16,13
1539873883,9,10
1539875799,8,5
1539877714,12,14
1539879652,15,16
1539881563,7,13
1539883483,10,8
1539885387,13,14
1539887569,6,16
1539889513,9,7
1539891388,8,9
1539893316,10,25
1539895222,12,13
1539897172,11,14
1539899070,8,8
1539901004,9,7
1539902941,9,14
1539904855,10,5
1539906783,15,6
1539908694,18,7
1539910590,10,8
1539912534,11,9
1539914540,9,7
1539916376,9,5
1539918276,7,9
1539920182,12,16
1539922119,9,16
1539924047,10,10
1539925976,11,10
1539927873,10,12
1539929823,11,5
1539931732,12,8
1539933643,17,11
1539935578,10,12
1539937483,16,27
1539939426,14,28
1539941325,7,14
1539943290,8,9
1539945157,20,15
1539947136,12,8
1539949221,13,13
1539951404,10,10
1539953318,14,8
1539955226,19,9
1539957181,12,19
1539959079,11,9
1539961015,16,8
1539962905,15,6
1539965142,19,15
1539966998,10,12
1539968901,15,9
1539971067,12,12
1539972993,10,12
1539974921,11,7
1539976835,14,9
1539978746,13,15
1539980693,13,8
1539982594,10,15
1539984517,9,2
1539986545,9,15
1539988363,18,8
1539990304,11,9
1539992204,20,12
1539994118,12,13
1539996032,16,15
1539997958,12,9
1539999900,11,13
1540001799,11,10
1540003714,13,6
1540005639,14,9
1540007546,12,10
1540009486,8,9
1540011392,10,9
1540013303,24,13
1540015298,14,10
1540017198,10,7
1540019098,15,16
1540020993,14,14
1540022923,6,11
1540024855,9,14
1540026780,9,12
1540028677,16,11
1540030617,12,16
1540032512,12,13
1540034434,15,13
1540036358,13,10
1540038283,10,11
1540040204,14,10
1540042122,7,22
1540044097,12,12
1540045965,11,10
1540047890,9,17
1540049810,11,16
1540051773,8,11
1540053641,13,12
1540055578,10,9
1540057486,15,16
1540059413,15,11
1540061319,14,15
1540063234,12,18
1540065183,12,16
1540067169,13,13
1540069000,3,10
1540070917,7,9
1540072930,5,10
1540074769,11,18
1540076730,13,11
1540078604,12,19
1540080534,7,11
1540082458,16,15
1540084361,6,12
1540086278,11,14
1540088210,10,10
1540090114,17,15
1540092056,10,12
1540093961,11,9
1540095880,15,8
1540097818,9,10
1540099723,9,21
1540101722,8,15
1540103585,14,11
1540105758,10,16
1540107877,10,13
1540109811,12,7
1540111715,10,12
1540113876,14,12
1540115811,9,16
1540117710,11,11
1540119698,11,13
1540121563,15,16
1540123506,16,11
1540125392,11,12
1540127390,7,12
1540129247,15,5
1540131176,13,10
1540133071,8,13
1540135223,13,8
1540137148,14,9
1540139344,17,10
1540141293,17,13
1540143161,15,13
1540145117,10,12
1540147025,5,16
1540148941,8,7
1540150847,12,13
1540152778,14,16
1540154681,8,8
1540156617,10,8
1540158502,11,4
1540160447,11,10
1540162378,13,11
1540164281,13,12
1540166187,11,10
1540168126,16,12
1540170105,9,11
1540171967,5,9
1540174071,15,12
1540176053,11,13
1540177950,8,10
1540179871,6,11
1540181780,13,16
1540183700,8,12
1540185885,11,12
1540187795,8,9
1540189711,16,15
1540191698,13,7
1540193557,16,7
1540195499,15,10
1540197389,11,12
1540199397,7,7
1540201260,9,9
1540203169,11,12
1540205064,11,12
1540207226,19,15
1540209166,10,18
1540211091,10,9
1540213283,8,13
1540215408,14,12
1540217318,16,15
1540219234,16,8
1540221168,13,11
1540223080,11,10
1540225003,13,16
1540226957,5,19
1540228842,9,12
1540230756,16,14
1540232683,12,9
1540234619,10,7
1540236510,12,12
1540238487,19,16
1540240362,15,5
1540242298,19,13
1540244222,15,8
1540246133,13,12
1540248034,5,13
1540250193,20,13
1540252110,14,15
1540254033,14,14
1540255970,6,11
1540257869,15,4
1540259814,18,11
1540261711,14,11
1540263694,13,10
1540265567,15,8
1540267494,12,10
1540269433,6,11
1540271327,17,6
1540273252,16,12
1540275183,12,15
1540277665,21,12
1540279481,23,19
1540281528,14,21
1540283587,23,10
1540285481,18,9
1540287396,17,9
1540289337,15,13
1540291228,6,10
1540293160,19,17
1540295080,14,11
1540297018,19,9
1540298924,11,9
1540300829,12,12
1540302755,10,16
1540304691,21,16
1540306611,14,13
1540308542,14,14
1540310502,12,13
1540312363,10,6
1540314534,17,5
1540316454,14,12
1540318376,16,16
1540320275,15,6
1540322214,16,13
1540324130,16,17
1540326027,18,16
1540327975,21,13
1540329875,9,15
1540331793,12,10
1540333708,23,7
1540335725,16,15
1540337578,10,20
1540339497,10,13
1540341414,9,13
1540343334,15,14
1540345529,8,17
1540347422,13,14
1540349314,15,11
1540351227,11,21
1540353144,10,12
1540355080,9,11
1540357018,7,9
1540358955,11,12
1540361097,16,17
