DateTime,AddedIPs,RemovedIPs
1531911716,0,1
1531913588,0,1
1531932763,0,1
1531940505,1,0
1531956068,0,1
1532025642,0,1
1532077950,1,0
1532081701,1,0
1532135801,1,0
1532156910,1,0
1532161504,1,0
1532165305,0,1
1532169144,0,1
1532176817,1,0
1532194266,1,0
1532222215,0,1
1532243579,0,1
1532249555,0,1
1532278767,0,1
1532301172,1,1
1532351546,1,0
1532374589,1,0
1532383992,1,0
1532387810,1,1
1532408954,1,0
1532438211,0,1
1532446111,1,0
1532461733,1,1
1532465583,1,0
1532469408,0,1
1532486753,0,1
1532496276,0,1
1532515739,1,0
1532521472,1,0
1532525305,1,0
1532531363,1,1
1532535411,1,0
1532537326,1,0
1532547029,0,1
1532550812,1,0
1532552686,0,1
1532562316,1,0
1532593055,1,0
1532602901,0,1
1532608660,0,1
1532612488,0,1
1532616598,0,1
1532622526,0,2
1532633605,1,0
1532637679,0,1
1532643388,1,0
1532648421,0,1
1532664102,1,0
1532679885,0,1
1532719008,0,1
1532731581,0,1
1532747348,0,1
1532787135,1,0
1532806602,1,0
1532841862,1,0
1532874767,0,1
1532878583,1,0
1532890345,1,0
1532894181,0,1
1532905748,1,0
1532929225,0,1
1532934983,1,0
1532960208,1,0
1532962120,1,0
1532964032,0,1
1532977479,0,1
1532990936,0,1
1533019719,0,1
1533049026,0,1
1533067171,1,0
1533079227,1,0
1533133978,0,1
1533153407,0,1
1533179817,0,1
1533243397,1,0
1533282250,1,0
1533330891,0,1
1533352142,1,0
1533369686,0,1
1533379217,1,0
1533439571,0,1
1533441379,1,0
1533466876,0,1
1533482685,1,0
1533526828,0,1
1533555642,1,0
1533561414,1,0
1533569081,0,1
1533597642,1,0
1533641307,1,1
1533647070,0,1
1533684354,0,1
1533688193,1,0
1533728923,0,1
1533746253,1,0
1533758210,1,0
1533775465,0,1
1533831418,0,1
1533843633,0,1
1533849965,1,0
1533911713,1,0
1533921319,1,0
1533931296,1,0
1533933176,2,0
1533936993,0,1
1533997010,0,1
1534008496,0,1
1534016185,0,1
1534018126,0,2
1534106234,1,0
1534189716,1,0
1534191610,0,1
1534228584,1,0
1534247788,1,0
1534267464,1,0
1534275166,0,1
1534315702,0,1
1534334939,0,1
1534352496,0,1
1534384520,1,0
1534450024,1,0
1534471503,0,1
1534493106,1,0
1534536105,0,1
1534557386,1,0
1534559566,2,0
1534573512,1,0
1534579302,0,1
1534621740,1,0
1534643811,0,1
1534645698,0,2
1534661075,0,1
1534682185,1,0
1534707862,0,1
1534715529,1,0
1534769364,0,1
1534799063,0,1
1534812812,1,0
1534816674,2,0
1534822590,1,0
1534849707,1,0
1534851611,1,0
1534879000,1,0
1534899159,1,1
1534902977,0,2
1534910663,0,1
1534935644,0,1
1534937555,0,1
1534961073,1,0
1534965148,0,1
1534984829,0,1
1535003794,1,0
1535046269,0,1
1535050108,1,0
1535054182,1,0
1535069813,1,0
1535088984,0,1
1535128091,1,0
1535137737,0,1
1535139648,1,0
1535141545,1,1
1535145864,1,0
1535153572,1,0
1535157619,0,1
1535161461,1,0
1535175191,1,0
1535182861,1,0
1535184766,1,0
1535215468,0,1
1535227471,0,2
1535231566,0,1
1535239230,1,1
1535246934,0,1
1535260603,1,1
1535270676,0,2
1535280274,1,0
1535315638,1,0
1535321340,1,0
1535323245,1,0
1535325173,0,1
1535338649,1,0
1535346298,0,1
1535355888,1,0
1535367409,0,1
1535378908,1,0
1535400374,0,1
1535407960,0,1
1535409890,0,1
1535412065,1,0
1535414023,1,0
1535417841,1,0
1535425968,0,1
1535443295,0,1
1535464614,0,1
1535499459,0,1
1535501343,0,1
1535503274,0,1
1535558503,1,0
1535604060,1,0
1535623303,1,0
1535630948,1,0
1535644908,0,1
1535648712,1,0
1535656392,1,0
1535662106,1,0
1535689475,0,1
1535693567,1,0
1535709164,0,1
1535717120,0,1
1535724786,1,0
1535734613,0,1
1535742304,0,1
1535746130,1,0
1535748035,0,1
1535749964,1,0
1535755722,1,0
1535780699,0,1
1535811419,0,1
1535832788,0,1
1535834682,0,1
1535840434,0,1
1535854821,1,0
1535905475,1,0
1535932898,1,0
1535938611,1,0
1535942684,0,1
1535966215,1,0
1535977726,1,0
1535991221,0,1
1536010379,1,0
1536018770,0,1
1536024540,0,1
1536030305,1,0
1536051885,0,1
1536055763,1,0
1536063437,0,1
1536069178,1,0
1536084530,1,0
1536086451,1,0
1536096452,0,1
1536117885,0,1
1536127493,1,0
1536129661,1,0
1536131568,1,0
1536141179,0,1
1536156094,0,1
1536169887,0,1
1536173817,0,1
1536213717,0,1
1536215614,1,0
1536217499,0,2
1536250396,1,0
1536279417,1,0
1536300548,0,1
1536302433,1,0
1536337268,0,1
1536366047,0,1
1536387170,0,1
1536420499,1,0
1536495876,1,0
1536507397,0,1
1536520815,1,0
1536562872,1,0
1536582045,0,1
1536607008,0,1
1536647197,0,1
1536697868,1,0
1536701561,1,0
1536707328,1,0
1536761110,1,0
1536780768,1,0
1536784582,0,1
1536788442,0,1
1536792262,1,0
1536794246,0,1
1536819174,2,0
1536836919,1,0
1536846786,0,1
1536867892,0,1
1536879709,0,1
1536895038,1,0
1536904605,0,1
1536906538,0,1
1536910631,1,0
1536922110,0,1
1536980517,0,1
1536990064,1,0
1536996525,0,1
1537008059,1,0
1537075749,0,1
1537091360,0,1
1537185163,1,0
1537195257,1,0
1537214509,1,0
1537242052,1,0
1537273014,0,1
1537281159,0,1
1537295792,1,0
1537301569,0,1
1537314993,1,0
1537328669,0,1
1537382696,0,1
1537398141,0,1
1537430200,1,0
1537515409,0,1
1537582371,1,0
1537659640,1,0
1537669285,0,1
1537744351,0,1
1537764992,1,0
1537801972,1,0
1537829310,1,0
1537840943,1,0
1537852354,0,1
1537854269,1,0
1537887157,0,1
1537891513,1,0
1537893411,1,0
1537916505,0,1
1537927974,0,1
1537939491,0,1
1537976451,0,2
1537993221,1,0
1538003825,1,0
1538030685,1,0
1538032642,1,0
1538036685,1,0
1538048204,1,0
1538057825,1,0
1538077501,1,0
1538079406,1,0
1538081328,0,1
1538090918,1,1
1538092934,1,0
1538118524,0,1
1538120679,0,1
1538122627,0,1
1538134124,0,1
1538145641,0,1
1538162922,0,1
1538164910,0,1
1538176764,0,2
1538188367,1,0
1538215344,1,0
1538223159,1,0
1538225100,1,0
1538248121,1,0
1538269287,1,0
1538271149,1,0
1538274980,0,1
1538301870,1,1
1538309799,1,1
1538311704,0,1
1538328995,1,0
1538334744,0,1
1538336668,1,0
1538346269,1,0
1538355902,0,1
1538357785,1,1
1538389270,0,1
1538395318,0,1
1538401015,1,0
1538416364,0,1
1538424125,0,1
1538431958,0,1
1538443489,0,1
1538459549,1,0
1538483093,1,0
1538486901,0,1
1538547206,0,1
1538576192,1,0
1538595386,1,1
1538597320,1,0
1538605233,2,0
1538655677,1,0
1538659486,1,0
1538682536,0,1
1538684457,0,1
1538686367,0,1
1538688283,1,0
1538690203,0,1
1538692135,0,1
1538703881,1,0
1538742532,0,1
1538773714,0,1
1538775655,0,1
1538787178,0,1
1538804912,1,0
1538816509,1,0
1538902139,0,1
1538929001,0,1
1538979894,1,0
1539018748,1,0
1539052105,1,0
1539057902,1,0
1539067727,0,1
1539105398,0,1
1539107333,1,0
1539115008,1,0
1539138040,0,1
1539141875,1,0
1539145727,0,1
1539161074,1,0
1539170675,1,0
1539194498,0,1
1539202132,2,1
1539219687,1,0
1539221595,1,0
1539227311,0,1
1539238843,1,0
1539246526,0,1
1539258033,0,1
1539283479,1,0
1539293086,1,0
1539306535,0,1
1539325722,0,1
1539337469,1,0
1539349349,0,2
1539365083,1,0
1539370907,0,2
1539378532,0,1
1539394611,1,0
1539444774,1,0
1539450542,0,1
1539477427,1,0
1539517973,1,0
1539523721,0,1
1539529532,0,1
1539564532,1,1
1539568399,1,0
1539599318,0,1
1539603163,0,1
1539614672,1,0
1539649970,0,1
1539653803,0,1
1539692687,1,0
1539700350,0,1
1539704427,1,0
1539710674,1,0
1539740181,1,0
1539778838,0,1
1539790602,0,1
1539796368,0,1
1539800202,2,0
1539807862,1,0
1539810097,1,0
1539825562,1,0
1539827538,0,1
1539829498,1,0
1539831386,1,0
1539847009,1,0
1539862366,1,0
1539887570,0,2
1539893317,0,1
1539897174,0,1
1539902942,1,0
1539910591,0,1
1539914542,0,1
1539918277,0,1
1539924049,1,0
1539933644,0,1
1539945159,1,0
1539949222,0,1
1539971068,1,0
1539980695,1,0
1539988364,0,1
1540009487,0,1
1540013304,1,0
1540017210,1,0
1540032514,0,1
1540057487,0,1
1540063236,1,0
1540067170,0,1
1540069001,1,0
1540076732,1,0
1540099725,0,1
1540103586,0,1
1540133072,1,0
1540150849,0,1
1540156619,1,0
1540162379,0,1
1540179872,1,0
1540183701,0,1
1540209168,1,0
1540219236,0,1
1540226959,1,0
1540244237,0,1
1540257870,1,0
1540265568,0,1
1540295081,0,1
1540312364,0,1
1540341415,0,1
1540347863,1,0
1540423950,1,0
1540435974,0,1
