DateTime,AddedIPs,RemovedIPs
1539207873,1,0
1539209793,0,1
1539213645,1,0
1539217486,0,1
1539219687,1,0
1539223493,0,1
1539225415,0,1
1539227311,1,0
1539229249,0,1
1539233067,1,0
1539235016,0,2
1539237043,1,0
1539238843,1,0
1539240771,2,1
1539242696,0,1
1539244589,1,1
1539246526,0,1
1539250373,0,1
1539252277,2,3
1539254207,3,1
1539258033,0,1
1539260187,0,2
1539264051,3,3
1539266169,0,1
1539268102,1,0
1539270108,1,1
1539271942,0,1
1539273929,0,1
1539275782,2,0
1539277723,2,0
1539279633,1,1
1539281577,0,1
1539283479,0,1
1539285397,0,1
1539289230,1,2
1539291164,2,0
1539293086,1,0
1539294981,0,1
1539296924,0,1
1539298915,1,0
1539300771,4,1
1539302697,1,0
1539304595,1,0
1539306535,1,1
1539308425,1,0
1539312290,1,0
1539314198,1,1
1539316125,2,0
1539318050,2,0
1539319974,0,1
1539321898,2,0
1539323789,1,1
1539325723,0,1
1539327697,1,2
1539331741,0,1
1539339411,0,2
1539341562,0,2
1539343460,2,0
1539345397,1,0
1539349350,0,1
1539353442,1,0
1539355500,0,1
1539357405,0,1
1539359314,1,0
1539363169,0,2
1539365083,0,1
1539368917,1,0
1539372765,1,0
1539374721,1,0
1539376598,0,2
1539378532,0,1
1539380444,0,1
1539382371,0,1
1539384806,1,1
1539386945,2,3
1539388848,1,1
1539392675,1,2
1539394611,0,1
1539398455,0,1
1539400357,0,1
1539402287,1,2
1539404198,0,1
1539406105,1,1
1539408052,2,2
1539409980,0,1
1539413816,0,1
1539415700,1,0
1539417709,1,0
1539421478,1,0
1539423382,1,0
1539429156,0,1
1539431090,3,2
1539433022,1,0
1539434914,1,0
1539436853,1,0
1539438771,1,0
1539440787,1,1
1539442591,0,1
1539444774,1,1
1539446694,0,1
1539448615,1,0
1539450542,1,0
1539454369,0,2
1539456282,2,0
1539458213,0,1
1539460136,1,1
1539463974,1,0
1539467788,1,0
1539469726,2,0
1539471714,0,1
1539473597,0,2
1539475483,0,1
1539479350,2,1
1539483160,1,0
1539487050,2,0
1539488905,1,1
1539490851,0,2
1539492757,1,0
1539494687,1,2
1539496624,0,1
1539498532,2,0
1539502372,0,1
1539504538,1,1
1539506454,0,1
1539508349,1,0
1539510300,0,1
1539514129,1,0
1539516068,1,3
1539517974,2,1
1539521806,0,1
1539523721,0,1
1539525705,0,1
1539527578,1,1
1539529532,0,1
1539531412,1,0
1539533358,3,0
1539535254,0,1
1539537156,1,1
1539539098,2,0
1539541024,1,0
1539542928,0,2
1539544852,1,0
1539546769,1,1
1539548687,2,0
1539550605,0,1
1539552523,1,0
1539554536,1,1
1539556431,0,1
1539560721,1,0
1539562619,2,0
1539566448,2,2
1539568400,1,1
1539570408,4,0
1539572242,1,1
1539574123,1,1
1539576115,0,1
1539579902,1,1
1539581791,0,1
1539585652,1,1
1539587558,2,0
1539589489,0,1
1539593575,1,0
1539595480,2,2
1539601319,0,2
