DateTime,AddedIPs,RemovedIPs
1495496201,16,10
1495583343,10,12
1495670523,6,61
1495757579,23,800
1495844947,16,20
1495932033,4,16
1496019176,6,18
1496106276,7,10
1496193401,6,257
1496280529,12,126
1496367710,5,15
1496454745,8,14
1496541881,6,743
1496629003,27,13
1496716168,14,5
1496803224,6,11
1496890348,9,376
1496977727,10,19
1497064886,1221,57
1497151984,6,13
1497239062,4,10
1497326232,13,10
1497413340,2,10
1497500445,1,38
1497587587,596,18
1497674687,13,11
1497761793,7,8
1497848901,8,21
1497936032,10,10
1498023189,26,8
1498110270,10,17
1498241325,8,14
1498328468,10,15
1498459225,9,28
1498546380,4,3
1498633718,5,7
1498720861,23,7
1498808045,107,7
1498895054,0,9
1498982183,3,47
1499069334,13,7
1499156464,7,6
1499287214,10,1040
1499374386,15,7
1499461752,16,8
1499548827,10,7
1499636005,6,1128
1499723071,7,7
1499810222,16,9
1499897312,18,8
1499984603,66,10
1500071796,26,5
1500159172,4,3
1500246275,6,925
1500333661,177,16
1500420833,8,9
1500507898,7,28
1500595002,7,39
1500682156,3,11
1500769255,5,5
1500856401,6,10
1500943483,4,10
1501030607,7,11
1501117706,10,7
1501204877,6,3
1501291964,7,22
1501379072,16,157
1501466258,12,5
1501553564,9,19
1501640931,34,13
1501728048,13,10
1501815409,8,8
1501902519,6,4
1501989665,10,10
1502076767,2,10
1502164144,6,9
1502251455,4,10
1502338738,4,7
1502425798,6,21
1502513074,11,79
1502600199,7,4
1502687335,11,4
1502774593,5,12
1502861794,4,8
1502948894,8,251
1503036145,5,14
1503123478,1315,11
1503210508,9,6
1503297660,7,8
1503385002,910,4
1503472113,7,42
1503559229,8,5
1503690017,27,53
1503777141,5,11
1503864262,3,5
1503952416,364,10
1504039450,3,9
1504126596,8,9
1504213714,67,23
1504300826,29,20
1504387929,5,11
1504475082,4,7
1504562324,3,5
1504649418,45,9
1504736650,10,6
1504823796,5,3
1504910799,6,4
1504998078,9,4
1505085144,4,27
1505172254,8,24
1505259384,7,7
1505346501,3,20
1505433640,1052,2
1505521147,3,8
1505608361,7,8
1505695459,6,1017
1505782589,7,6
1505869843,2,4
1505957062,6,938
1506044181,12,2
1506131324,11,1
1506218452,5,24
1506305529,17,14
1506392537,1,4
1506479553,14,7
1506566665,206,318
1506653772,3,4
1506740905,3,7
1506828018,31,91
1506915158,7,2
1507002490,2,5
1507089658,6,6
1507176833,8,8
1507264162,1853,9
1507351474,8,2
1507438577,8,5
1507525801,6,11
1507612819,1,10
1507700331,5,9
