DateTime,Entries,UniqueIPs
1539490852,798,798
1539492757,799,799
1539494688,791,791
1539496624,788,788
1539498533,789,789
1539500513,773,773
1539502372,772,772
1539504538,774,774
1539506454,770,770
1539508350,771,771
1539510301,1858,1858
1539512224,1865,1865
1539514129,1860,1860
1539516069,1855,1855
1539517983,1846,1846
1539519914,1839,1839
1539521806,1806,1806
1539523722,1810,1810
1539525705,1823,1823
1539527579,1822,1822
1539529532,1813,1813
1539531413,1812,1812
1539533359,1816,1816
1539535254,1821,1821
1539537156,1822,1822
1539539098,1832,1832
1539541024,1849,1849
1539542929,1846,1846
1539544852,1846,1846
1539546769,1849,1849
1539548687,1966,1966
1539550605,1979,1979
1539552523,1986,1986
1539554536,1983,1983
1539556431,1984,1984
1539558796,1973,1973
1539560722,1970,1970
1539562619,1971,1971
1539564532,1972,1972
1539566448,1973,1973
1539568401,1970,1970
1539570408,1975,1975
1539572242,1974,1974
1539574124,1981,1981
1539576115,1992,1992
1539577974,1997,1997
1539579902,2008,2008
1539581791,2004,2004
1539583738,1996,1996
1539585653,2001,2001
1539587558,3187,3187
1539589490,3186,3186
1539591563,3186,3186
1539593575,3185,3185
1539595480,3183,3183
1539597397,2157,2157
1539599319,2111,2111
1539601319,2117,2117
1539603164,2110,2110
1539605140,2112,2112
1539607001,2101,2101
1539608939,2107,2107
1539610836,2102,2102
1539612775,2093,2093
1539614673,2091,2091
1539616849,2089,2089
1539618765,2089,2089
1539620680,2083,2083
1539622627,2073,2073
1539624528,2062,2062
1539626492,2077,2077
1539628609,2080,2080
1539630535,2099,2099
1539632446,2115,2115
1539634366,2127,2127
1539636309,2028,2028
1539638190,2029,2029
1539640125,2039,2039
1539642274,2041,2041
1539644221,2047,2047
1539646111,2055,2055
1539648039,2067,2067
1539649971,2077,2077
1539651891,2075,2075
1539653804,2086,2086
1539655720,2079,2079
1539657631,2090,2090
1539659578,2087,2087
1539661483,2082,2082
1539663420,2083,2083
1539665311,2075,2075
1539667233,2077,2077
1539669152,2091,2091
1539671098,2093,2093
1539673003,984,984
1539674913,1018,1018
1539676903,1044,1044
1539678889,1066,1066
1539681162,1099,1099
1539683092,1120,1120
1539684992,1150,1150
1539686922,1165,1165
1539688832,1182,1182
1539690744,1195,1195
1539692687,1205,1205
1539694597,1226,1226
1539696509,1249,1249
1539698489,1270,1270
1539700350,1284,1284
1539702395,1330,1330
1539704428,1337,1337
1539706642,1920,1920
1539708757,1933,1933
1539710675,1946,1946
1539712888,1969,1969
1539714743,2851,2851
1539716729,2852,2852
1539718594,2851,2851
1539720524,2855,2855
1539722434,2858,2858
1539724613,2863,2863
1539726502,2857,2857
1539728421,2867,2867
1539730602,2878,2878
1539732502,2883,2883
1539734453,2888,2888
1539736348,2890,2890
1539738294,2889,2889
1539740181,2885,2885
1539742127,2888,2888
1539744024,2889,2889
1539745953,2894,2894
1539747874,2900,2900
1539749811,2905,2905
1539751718,2913,2913
1539753621,2922,2922
1539755562,2923,2923
1539757500,2931,2931
1539759381,2928,2928
1539761320,2923,2923
1539763292,2913,2913
1539765162,2905,2905
1539767066,2902,2902
1539768972,2904,2904
1539770913,2899,2899
1539773067,2899,2899
1539774992,2886,2886
1539776902,2885,2885
1539778839,2881,2881
1539780765,2876,2876
1539782681,2870,2870
1539784587,2857,2857
1539786501,2844,2844
1539788486,2823,2823
1539790603,2824,2824
1539792547,2254,2254
1539794419,2257,2257
1539796369,2243,2243
1539798268,2235,2235
1539800202,1248,1248
1539802104,1240,1240
1539804024,1235,1235
1539805951,1226,1226
1539807863,1249,1249
1539810098,1261,1261
1539811959,1281,1281
1539813895,1278,1278
1539815814,1282,1282
1539817736,1290,1290
1539819639,1301,1301
1539821572,1310,1310
1539823469,1315,1315
1539825571,1314,1314
1539827538,1301,1301
1539829498,1294,1294
1539831386,1296,1296
1539833302,1299,1299
1539835327,1288,1288
1539837158,1277,1277
1539839074,1276,1276
1539841260,1259,1259
1539843169,1251,1251
1539845096,1244,1244
1539847010,1240,1240
1539848922,1232,1232
1539850842,1230,1230
1539852783,1230,1230
1539854678,1217,1217
1539856610,1196,1196
1539858516,1196,1196
1539860490,1225,1225
1539862366,1237,1237
1539864310,1236,1236
1539866204,1234,1234
1539868128,1239,1239
1539870036,1244,1244
1539871966,1257,1257
1539873885,1260,1260
1539875802,1254,1254
1539877716,1263,1263
1539879653,1255,1255
1539881565,1254,1254
1539883485,1271,1271
1539885389,1275,1275
1539887571,1270,1270
1539889515,1270,1270
1539891399,1275,1275
1539893318,1293,1293
1539895224,1322,1322
1539897174,1324,1324
1539899072,1315,1315
1539901006,1310,1310
1539902943,1301,1301
1539904856,1295,1295
1539906786,1290,1290
1539908696,1284,1284
1539910591,1279,1279
1539912535,1290,1290
1539914544,1290,1290
1539916378,1284,1284
1539918278,1273,1273
1539920188,1271,1271
1539922128,1266,1266
1539924049,1260,1260
1539925979,1246,1246
1539927875,1239,1239
1539929825,1234,1234
1539931733,1240,1240
1539933644,1238,1238
1539935580,1229,1229
1539937485,1238,1238
1539939428,1248,1248
1539941327,1266,1266
1539943292,1307,1307
1539945159,1317,1317
1539947138,1322,1322
1539949223,1336,1336
1539951405,1345,1345
1539953320,1359,1359
1539955228,1371,1371
1539957182,1378,1378
1539959081,1378,1378
1539961017,1393,1393
1539962907,1392,1392
1539965144,1386,1386
1539967000,1412,1412
1539968902,1404,1404
1539971068,1404,1404
1539972995,1405,1405
1539974923,1406,1406
1539976836,1399,1399
1539978748,1409,1409
1539980695,1418,1418
1539982596,1408,1408
1539984519,1417,1417
1539986547,1428,1428
1539988365,1436,1436
1539990333,1449,1449
1539992207,1459,1459
1539994125,1465,1465
1539996034,1474,1474
1539997960,1480,1480
1539999903,1566,1566
1540001801,1717,1717
1540003715,1824,1824
1540005641,1894,1894
1540007548,1929,1929
1540009488,1971,1971
1540011394,2009,2009
1540013305,2049,2049
1540015300,2066,2066
1540017211,2072,2072
1540019100,2085,2085
1540020995,2090,2090
1540022925,2093,2093
1540024857,2086,2086
1540026782,2084,2084
1540028679,2066,2066
1540030619,2053,2053
1540032514,2043,2043
1540034436,2038,2038
1540036360,2030,2030
1540038285,2021,2021
1540040206,2002,2002
1540042124,1992,1992
1540044109,1988,1988
1540045966,1978,1978
1540047892,1983,1983
1540049812,1978,1978
1540051775,1979,1979
1540053643,1942,1942
1540055583,1942,1942
1540057488,1947,1947
1540059415,1944,1944
1540061322,1938,1938
1540063236,1944,1944
1540065185,1945,1945
1540067171,1946,1946
1540069011,1942,1942
1540070919,1944,1944
1540072932,1937,1937
1540074771,1919,1919
1540076732,1898,1898
1540078606,1879,1879
1540080536,1888,1888
1540082460,1878,1878
1540084363,1870,1870
1540086280,1778,1778
1540088212,1623,1623
1540090116,1510,1510
1540092057,1431,1431
1540093963,1388,1388
1540095882,1330,1330
1540097820,1297,1297
1540099725,1273,1273
1540101724,1287,1287
1540103587,1288,1288
1540105760,1286,1286
1540107878,1291,1291
1540109812,1287,1287
1540111717,1282,1282
1540113878,1282,1282
1540115813,2554,2554
1540117712,2573,2573
1540119700,2575,2575
1540121565,2574,2574
1540123509,2562,2562
1540125394,2563,2563
1540127393,2557,2557
1540129250,2558,2558
1540131178,2559,2559
1540133073,2558,2558
1540135225,2545,2545
1540137150,2538,2538
1540139346,2532,2532
1540141295,2528,2528
1540143163,2522,2522
1540145119,2521,2521
1540147026,2531,2531
1540148942,2528,2528
1540150849,2524,2524
1540152780,2534,2534
1540154683,2535,2535
1540156619,2539,2539
1540158504,2535,2535
1540160448,2534,2534
1540162380,2538,2538
1540164283,2540,2540
1540166188,2539,2539
1540168128,2545,2545
1540170107,2549,2549
1540171969,2548,2548
1540174073,2548,2548
1540176055,2554,2554
1540177952,2561,2561
1540179873,2566,2566
1540181782,2572,2572
1540183702,2562,2562
1540185887,2555,2555
1540187797,2540,2540
1540189713,2531,2531
1540191700,2527,2527
1540193560,2519,2519
1540195514,2514,2514
1540197391,2524,2524
1540199400,2528,2528
1540201262,2065,2065
1540203171,1731,1731
1540205066,1717,1717
1540207228,1714,1714
1540209168,1621,1621
1540211101,1116,1116
1540213285,1118,1118
1540215411,1111,1111
1540217321,1102,1102
1540219237,1091,1091
1540221170,1084,1084
1540223082,1085,1085
1540225005,1090,1090
1540226959,1087,1087
1540228844,1085,1085
1540230759,1092,1092
1540232685,1093,1093
1540234621,1089,1089
1540236512,1082,1082
1540238502,1084,1084
1540240364,1071,1071
1540242300,1058,1058
1540244238,1053,1053
1540246135,1044,1044
1540248036,1046,1046
1540250195,1037,1037
1540252112,1022,1022
1540254035,1017,1017
1540255972,1012,1012
1540257871,1010,1010
1540259815,1005,1005
1540261713,1003,1003
1540263697,1003,1003
1540265569,994,994
1540267497,994,994
1540269435,994,994
1540271329,984,984
1540273254,985,985
1540275184,985,985
1540277667,976,976
1540279483,969,969
1540281531,958,958
1540283589,949,949
1540285483,948,948
1540287398,946,946
1540289338,935,935
1540291230,928,928
1540293162,921,921
1540295082,912,912
1540297020,908,908
1540298926,900,900
1540300830,884,884
1540302757,887,887
1540304694,887,887
1540306613,886,886
1540308544,2276,2276
1540310504,2858,2858
1540312365,2866,2866
1540314535,2867,2867
1540316456,2868,2868
1540318378,2860,2860
1540320277,2860,2860
1540322216,2862,2862
1540324132,2863,2863
1540326029,2862,2862
1540327977,2867,2867
1540329877,2862,2862
1540331795,2862,2862
1540333710,2859,2859
1540335728,2861,2861
1540337580,2861,2861
1540339498,2864,2864
1540341416,2864,2864
1540343336,2850,2850
1540345533,2865,2865
1540347434,2864,2864
1540349316,2852,2852
1540351229,2849,2849
1540353146,2841,2841
1540355091,2844,2844
1540357019,2854,2854
1540358956,2851,2851
1540361100,2854,2854
1540363024,2873,2873
1540365160,2884,2884
1540367103,2890,2890
1540369257,2898,2898
1540371158,2896,2896
1540373076,2896,2896
1540375024,2900,2900
1540377063,2914,2914
1540379135,2916,2916
1540381236,2914,2914
1540383242,2914,2914
1540385087,2916,2916
1540387033,2917,2917
1540389166,2916,2916
1540391068,2919,2919
1540393026,2923,2923
1540394914,2740,2740
1540396920,2916,2916
1540398761,2908,2908
1540400751,2907,2907
1540402605,2957,2957
1540404528,3014,3014
1540406439,3059,3059
1540408355,3099,3099
1540410297,3115,3115
1540412208,3127,3127
1540414114,3132,3132
1540416043,4106,4106
1540417972,4122,4122
1540420019,4121,4121
1540422128,4127,4127
1540423951,4135,4135
1540426057,4139,4139
1540428037,4147,4147
1540429950,4152,4152
1540431900,4158,4158
1540433820,4158,4158
1540435975,4153,4153
1540437893,4166,4166
1540439813,4171,4171
1540441962,4175,4175
1540443903,4187,4187
1540446060,4183,4183
1540447983,4176,4176
1540449904,4148,4148
1540451821,4150,4150
1540453728,4148,4148
1540455670,4146,4146
1540457574,4141,4141
1540459496,4139,4139
1540461421,4186,4186
