DateTime,AddedIPs,RemovedIPs
1527015174,2,0
1527037014,0,1570
1527103234,68,0
1527169203,0,155
1527191087,1,1542
1527213136,0,2
1527257038,1,0
1527278919,0,1
1527300920,0,0
1527322911,0,0
1527344854,0,0
1527389638,1,2
1527433701,1,0
1527499960,1,0
1527521811,0,9
1527565700,0,1
1527631721,1,0
1527653787,84,0
1527675659,2,0
1527697691,0,101
1527720172,101,0
1527742127,0,1
1527809489,0,1
1527897167,0,0
1527921148,0,0
1527943803,0,0
1527965978,0,1
1528011149,0,0
1528033223,1,0
1528055343,0,1
1528099296,0,8
1528121297,8,1
1528143149,0,1
1528165221,1,0
1528209155,1,0
1528231240,0,1
1528253302,0,80
1528297291,0,2
1528320512,0,120
1528342596,2,0
1528474367,2,1
1528518492,2,1
1528540360,46,0
1528562427,0,3
1528584403,1,0
1528628224,1,0
1528650096,0,1
1528716013,0,1
1528760059,0,1
1528825716,2,0
1528935402,0,1
1528957452,1,1
1528979298,1,0
1529001158,0,1
1529023229,2,0
1529133370,0,2
1529155231,2,14
1529222512,0,25
1529244520,546,6
1529354187,0,21
1529376030,0,1
1529419936,3,0
1529441789,2,0
1529507790,0,2
1529529875,1,0
1529551953,1,0
1529574023,1670,0
1529640061,0,1
1529794714,0,1
1529816673,0,1
1529838760,1,467
1529904746,2,0
1529926815,8,0
1530047791,0,1
1530113543,1,0
1530157487,1,0
1530179554,0,1742
1530223317,0,1
1530245554,1,0
1530289712,17,0
1530311562,1,1
1530333609,1,0
1530355458,112,0
1530444550,1,1
1530510749,0,1
1530620907,2,0
1530642756,2,0
1530775279,1,0
1530841507,0,1
1530863558,2,0
1530907726,1,0
1530929802,0,1
1530951852,0,44
1530973961,0,67
1530996017,1,0
1531039959,1,1
1531062102,2,1
1531084352,1,0
1531106443,0,1
1531128296,1,0
1531238796,0,2
1531304671,37,0
1531370685,0,1
1531414893,1,0
1531437157,0,1
1531459015,0,1
1531481053,0,16
1531525225,19073,0
1531547370,247302,0
1531735097,1,0
1531867939,0,250586
1531890037,18,62
1531912148,17,3466
1531934208,25,55
1531956069,54,67
1531977931,36,58
1532000206,37,44
1532022279,27,69
1532044395,36,59
1532066461,21,54
1532088519,29,51
1532110589,28,51
1532132440,27,49
1532154497,27,22
1532176353,23,28
1532198485,18,34
1532220516,27,25
1532242590,20,31
1532264496,15,37
1532286584,14,39
1532308505,18,43
1532330436,14,43
1532352279,20,46
1532374360,40,3159
1532396421,46,41
1532418283,36,35
1532440135,23,27
1532462192,864,23
1532484294,33,30
1532506352,19,21
1532528444,28,26
1532550493,188,32
1532572500,25,31
1532594422,30,18
1532616599,28,23
1532638453,12,18
1532660496,17,26
1532682760,11,17
1532704612,12,19
1532726702,22,23
1532748755,15,19
1532770850,10,20
1532792695,11,18
1532814792,9,33
1532836843,24,14
1532858942,13,16
1532880990,68,18
1532902843,12,17
1532925167,8,22
1532947352,15,6253
1532969296,12,311
1532991409,26,57
1533013547,14,28
1533035538,22,36
1533057383,34,39
1533079228,29,31
1533101310,23,42
1533124337,6387,23
1533146180,22,1089
1533168321,52,29
1533190350,25,37
1533212203,24,30
1533234297,19,23
1533256352,27,16
1533278424,12,18
1533300521,28,16
1533322381,34,18
1533344426,25,10
1533366276,18,21
1533388664,32,14
1533410661,24,15
1533432515,42,12
1533454976,28,14
1533476916,21,21
1533498978,20,21
1533521112,10,18
1533543145,34,14
1533565257,29,163
1533587333,32,27
1533609230,31,11
1533631471,21,10
1533653532,13,23
1533675380,20,23
1533697297,19,23
1533719328,23,23
1533741382,19,24
1533763466,35,25
1533785545,30,39
1533807640,24,19
1533829489,23,19
1533851532,23,16
1533873412,14,18
1533895458,24,20
1533917510,11907,20
1533939380,161,19
1533961232,12,15
1533983082,13,16
1534005162,2767,18
1534027228,13,30
1534049074,17,33
1534071165,10,22
1534093286,13,19
1534115544,18,21
1534137678,9,39
1534159717,10,16
1534181810,8,24
1534203797,11,20
1534225854,15,22
1534247790,18,15
1534269872,9,15
1534291962,8,20
1534313806,7,14
1534335871,13,14
1534357952,813,18
1534380775,14,13
1534403211,17,14
1534425165,21,26
1534447222,10,10
1534469253,9,16
1534491185,85,20
1534513215,14,7571
1534535093,26,3872
1534557158,22,88
1534579303,12,14
1534601324,19,14
1534623276,19,3105
1534645228,10,11
1534667326,15,10
1534689382,13,12
1534711550,19,21
1534733560,16,18
1534755694,10,10
1534777598,8,6496
1534799553,24,151
1534821637,38,38
1534843478,3704,12
1534865554,4819,12
1534887403,18,13
1534909463,14,13
1534931311,21,13
1534953404,14,12
1534975501,13,11
