DateTime,Entries,UniqueIPs
1513279481,13,13
1513323630,14,14
1513389887,13,13
1513456136,14,14
1513521877,13,13
1513543967,12,12
1513565813,12,12
1513588165,10,10
1513610011,9,9
1513654110,7,7
1513697885,8,8
1513741978,9,9
1513786416,9,9
1513830527,8,8
1513897359,8,8
1513919313,8,8
1513941427,9,9
1513985820,10,10
1514029936,11,11
1514051852,12,12
1514073727,12,12
1514139875,13,13
1514183901,12,12
1514249934,11,11
1514271888,13,13
1514315806,12,12
1514359758,11,11
1514382057,11,11
1514448094,12,12
1514491963,13,13
1514514032,12,12
1514557802,11,11
1514579813,11,11
1514602022,12,12
1514623964,12,12
1514646167,13,13
1514668042,11,11
1514712104,10,10
1514734292,11,11
1514756241,10,10
1514800220,11,11
1514866377,10,10
1514998609,9,9
1515133552,9,9
1515200058,9,9
1515222403,7,7
1515244615,6,6
1515354539,5,5
1515398696,4,4
1515420755,5,5
1515464928,6,6
1515509161,9,9
1515553468,10,10
1515620061,9,9
1515708116,10,10
1515752088,11,11
1515774311,12,12
1515796618,13,13
1515818697,13,13
1515862694,14,14
1515884877,15,15
1515929121,16,16
1515973762,17,17
1516017895,16,16
1516061827,16,16
1516105970,13,13
1516150120,14,14
1516171963,13,13
1516193896,14,14
1516237785,13,13
1516259821,15,15
1516326067,16,16
1516348043,17,17
1516370489,16,16
1516392630,15,15
1516459050,14,14
1516503160,11,11
1516525280,10,10
1516569399,9,9
1516679307,7,7
1516701189,8,8
1516734549,9,9
1516756615,8,8
1516778721,9,9
1516822609,10,10
1516844658,12,12
1516866540,12,12
1516932996,11,11
1516955074,10,10
1516977357,12,12
1516999232,11,11
1517109969,12,12
1517176133,13,13
1517198268,12,12
1517309083,12,12
1517330926,12,12
1517375078,11,11
1517397142,11,11
1517419150,10,10
1517441392,8,8
1517463625,7,7
1517507935,8,8
1517574050,7,7
1517596205,8,8
1517684479,10,10
1517728592,10,10
1517772519,10,10
1517904765,10,10
1517926828,10,10
1517992843,9,9
1518014687,10,10
1518102754,10,10
1518146822,11,11
1518168755,11,11
1518212981,12,12
1518234977,13,13
1518256879,15,15
1518278912,16,16
1518301249,16,16
1518323310,16,16
1518389593,16,16
1518478969,18,18
1518500925,17,17
1518544879,17,17
1518567809,16,16
1518611562,17,17
1518633404,16,16
1518721726,16,16
1518765864,14,14
1518809865,12,12
1518854308,11,11
1518876506,10,10
1518898483,9,9
1518942269,9,9
1518986936,8,8
1519008971,7,7
1519097070,5,5
1519118915,6,6
1519140787,5,5
1519184727,5,5
1519206749,6,6
1519228606,6,6
1519250484,7,7
1519272751,8,8
1519339342,7,7
1519538475,7,7
1519648473,8,8
1519714898,8,8
1519802685,7,7
1519824756,5,5
1519846831,4,4
1519868925,3,3
1519957232,4,4
1520133152,3,3
1520177058,4,4
1520198914,5,5
1520243076,4,4
1520298540,7,7
1520320606,6,6
1520342753,7,7
1520452616,8,8
1520540912,9,9
1520562793,9,9
1520695292,10,10
1520717569,11,11
1520761455,12,12
1520783558,11,11
1520805682,10,10
1520828071,11,11
1520872765,10,10
1520894928,9,9
1520916986,10,10
1521049236,9,9
1521136872,8,8
1521158918,7,7
1521291384,6,6
1521335325,5,5
1521379482,4,4
1521401712,3,3
1521423645,2,2
1521512657,1,1
1521619971,1,1
1521664107,2,2
1522159721,3,3
1522204418,0,0
1528078397,1,1
1528297961,1,1
1528320513,1,1
1528320513,1,1
1528320513,1,1
1528320513,1,1
1528606348,2,2
1528693955,1,1
1529200411,0,0
1529563084,1,1
1530158515,0,0
1531183945,1,1
1531249731,2,2
1531425686,3,3
1531535849,332962,332962
1531867166,52,52
1531889099,51,51
1531911157,50,50
1531933249,48,48
1531955319,50,50
1531977436,47,47
1531999724,45,45
1532021804,44,44
1532065955,40,40
1532088115,39,39
1532110143,33,33
1532131986,30,30
1532154041,29,29
1532175901,29,29
1532198058,30,30
1532220324,29,29
1532242338,30,30
1532264497,32,32
1532286588,30,30
1532308506,32,32
1532330436,31,31
1532352279,31,31
1532374360,33,33
1532418284,36,36
1532440139,34,34
1532462193,34,34
1532484294,36,36
1532528444,37,37
1532550493,36,36
1532572500,33,33
1532594426,32,32
1532616600,35,35
1532638453,34,34
1532660498,34,34
1532704612,32,32
1532726703,30,30
1532748756,31,31
1532770850,28,28
