DateTime,AddedIPs,RemovedIPs
1512778558,0,1
1512865736,0,1
1513048168,2,0
1515665311,0,1
1516973842,1,0
1517671504,1,0
1518107325,0,1
1518281529,1,0
1518455741,1,0
1519589086,0,1
1520199633,0,1
1520635563,1,0
1522248277,0,1
1522814926,0,1
1528614771,1,1
1531142442,0,1
1531527177,55084,0
1531614576,22,0
1531877089,0,55027
1531964199,3,4
1532051342,1,2
1532138428,2,3
1532225618,0,3
1532312680,0,5
1532487149,3,3
1532574294,2,2
1532661393,2,3
1532748757,1,5
1532835876,2,0
1532923231,0,2
1533010605,1,4
1533097710,3,4
1533184810,1,5
1533271982,0,3
1533359074,1,2
1533446203,0,2
1533533295,1,2
1533620415,3,2
1533707540,1,1
1533794689,2,1
1533881807,1,3
1533968893,2,2
1534055932,1,2
1534143131,2,4
1534230558,0,2
1534317638,0,1
1534404996,0,1
1534492221,2,1
1534579305,1,3
1534666343,1,1
1534753467,1,2
1534840835,2,0
1534927969,1,0
1535015073,1,1
1535102440,1,2
1535189568,1,4
1535276652,0,1
1535363788,0,1
1535451167,0,2
1535538256,2,0
1535625378,0,1
1535712504,1,2
1535799888,2,1
1535887002,2,0
1535974356,1,2
1536061474,1,0
1536148886,1,3
1536235951,1,1
1536323063,2,2
1536410437,1,1
1536497530,2,3
1536671775,3,2
1536759164,2,2
1536846294,3,0
1536933396,2,0
1537020515,1,0
1537107629,1,1
1537195260,1,0
1537282350,0,2
1537369506,1,2
1537456578,3,1
1537544059,0,2
1537718685,2,1
1537805826,0,1
1537980308,1,0
1538067382,1,0
1538154760,0,2
1538241861,1,1
1538328997,0,2
1538416366,0,1
1538503725,0,1
1538591079,2,0
1538678193,1,1
1538852720,1,1
1538939805,0,3
1539027159,3,2
1539114511,0,2
1539201672,3,2
1539288740,1,2
1539375854,1,2
1539462993,1,2
1539550112,0,1
1539637477,2,1
1539724614,0,1
1539811960,3,1
1539899073,1,0
1539986549,0,1
1540073794,2,2
1540160902,2,0
1540335158,1,2
