DateTime,AddedIPs,RemovedIPs
1539488906,3,5
1539490865,2,2
1539492758,2,2
1539494688,4,5
1539496625,1,2
1539498533,3,3
1539500514,0,1
1539502373,3,1
1539504539,3,6
1539506455,1,1
1539508350,0,1
1539510301,3,3
1539512225,2,1
1539514130,5,1
1539516073,3,5
1539517984,3,3
1539519914,5,1
1539521807,0,4
1539523722,4,4
1539525706,16,2
1539527579,2,1
1539529533,2,2
1539531413,3,1
1539533359,2,5
1539535255,3,1
1539537157,2,3
1539539099,3,3
1539541025,4,3
1539542929,1,3
1539544853,0,5
1539546770,2,0
1539548688,3,2
1539550606,1,1
1539552524,5,2
1539554537,0,1
1539556432,0,4
1539558796,1,7
1539560727,1,1
1539562620,5,2
1539564533,4,0
1539566449,1,5
1539570409,2,1
1539572243,1,4
1539574124,3,5
1539576116,6,3
1539577975,3,2
1539579903,5,3
1539581792,1,3
1539583739,1,2
1539585654,0,1
1539587559,4,0
1539589500,1,4
1539591564,1,2
1539593576,0,1
1539595481,2,1
1539597397,2,2
1539599320,3,3
1539601320,4,6
1539603165,4,2
1539605141,0,6
1539607001,4,1
1539608940,2,1
1539610836,2,18
1539612775,0,3
1539614674,4,1
1539616850,0,2
1539618766,4,3
1539620681,2,2
1539622627,2,2
1539624528,2,2
1539626492,4,4
1539628609,7,2
1539630536,2,0
1539632447,2,3
1539634367,3,0
1539636310,4,3
1539638191,1,0
1539640125,5,6
1539642275,3,0
1539644222,2,0
1539646112,5,2
1539648040,3,3
1539649971,13,5
1539651894,2,1
1539653804,1,0
1539655721,7,0
1539657641,4,3
1539659578,2,2
1539661484,3,6
1539663420,3,3
1539665312,5,4
1539667234,4,3
1539669153,3,1
1539671099,4,0
1539673004,3,0
1539674914,7,1
1539676904,12,1
1539678889,6,0
1539681163,18,2
1539683092,12,0
1539684993,7,4
1539686923,10,5
1539688833,7,5
1539690745,3,1
1539692688,6,5
1539694598,8,2
1539696510,10,2
1539698490,5,2
1539700351,8,2
1539702395,8,0
1539704428,10,4
1539706642,8,2
1539708758,12,2
1539710676,7,1
1539712889,8,4
1539714744,8,6
1539716730,12,1
1539718594,10,2
1539720525,13,3
1539722435,4,4
1539724614,11,1
1539726512,8,6
1539728421,9,1
1539730603,4,4
1539732503,1,4
1539734454,11,4
1539736349,7,13
1539738296,4,2
1539740182,5,1
1539742128,6,7
1539744024,4,4
1539745953,3,3
1539747874,11,3
1539749811,9,2
1539751720,10,5
1539753621,5,3
1539755563,5,3
1539757500,4,7
1539759382,13,3
1539761321,10,7
1539763292,4,11
1539765163,6,7
1539767067,9,14
1539768973,2,11
1539770914,3,7
1539773068,9,12
1539774993,3,7
1539776903,3,2
1539778840,13,4
1539780765,7,7
1539782682,7,12
1539784587,7,5
1539786501,4,4
1539788487,3,6
1539790604,8,6
1539792548,1,6
1539794420,5,14
1539796370,3,3
1539798268,7,12
1539800203,2,6
1539802104,3,5
1539804025,4,16
1539805952,1,7
1539807864,4,11
1539810099,5,9
1539811961,5,8
1539813896,6,10
1539815815,4,9
1539817738,4,1
1539819640,11,6
1539821573,9,10
1539823469,4,8
1539825572,9,6
1539827539,7,6
1539829499,8,4
1539831387,5,3
1539833302,9,4
1539835327,5,10
1539837159,7,8
1539839075,13,6
1539841261,10,8
1539843170,4,1
1539845096,2,7
1539847011,7,15
1539848923,6,3
1539850843,1,8
1539852784,7,7
1539854679,3,5
1539856610,4,2
1539858517,4,10
1539860491,12,4
1539862368,10,4
1539864312,7,9
1539866205,3,8
1539868129,5,8
1539870037,6,4
1539871966,4,3
1539873886,5,4
1539875803,7,5
1539877716,6,3
1539879654,5,2
1539881566,3,6
1539883485,5,4
1539885389,5,4
1539887571,4,5
1539889516,1,6
1539891400,7,1
1539893319,5,3
1539895225,2,3
1539897175,7,7
1539899073,14,9
1539901007,8,5
1539902944,3,3
1539904857,6,4
1539906787,22,14
1539908697,3,7
1539910592,4,5
1539912536,3,7
1539914544,7,6
1539916379,5,9
1539918279,3,9
1539920189,5,5
1539922129,6,3
1539924050,1,5
1539925979,4,14
1539927875,8,12
1539929826,3,1
1539931744,1,2
1539933645,2,5
1539935581,3,7
1539937486,4,2
1539939429,2,5
1539941328,5,6
1539943293,8,4
1539945160,14,2
1539947139,5,12
1539949223,12,12
1539951406,3,6
1539953320,11,5
1539955228,7,6
1539957183,8,2
1539959081,8,8
1539961018,4,2
1539962907,10,8
1539965144,14,6
1539967001,9,3
1539968903,5,3
1539971069,9,3
1539972997,6,6
1539974924,2,2
1539976837,2,5
1539978749,9,5
1539980696,8,4
1539982596,4,4
1539984519,6,18
1539986549,4,5
1539988365,10,5
1539990334,6,3
1539992207,7,3
1539994126,8,23
1539996035,7,5
1539997961,11,6
1539999904,6,4
1540001802,5,5
1540003716,8,6
1540005642,11,4
1540007549,6,6
1540009489,2,4
1540011394,5,4
1540013306,12,1
1540015301,13,10
1540017213,4,3
1540019101,1,2
1540020996,10,2
1540022926,6,5
1540024858,3,1
1540026782,7,3
1540028680,5,4
1540030620,8,17
1540032515,13,8
1540034436,4,5
1540036361,17,9
1540038285,19,5
1540040207,10,9
1540042125,4,7
1540044111,6,11
1540045967,3,6
1540047892,5,7
1540049813,14,12
1540051776,3,10
1540053644,7,9
1540055583,9,6
1540057488,7,6
1540059415,6,7
1540061323,9,2
1540063243,4,2
1540065186,4,12
1540067172,8,7
1540069012,8,4
1540070920,5,5
1540072933,7,4
1540074772,6,9
1540076733,8,5
1540078606,8,6
1540080537,5,8
1540082461,7,6
1540084364,1,12
1540086280,7,5
1540088213,5,6
1540090126,2,9
1540092058,6,10
1540093963,3,4
1540095883,3,3
