DateTime,Entries,UniqueIPs
1512342274,7,7
1513039971,8,8
1513127093,7,7
1513214333,8,8
1513563159,7,7
1513650276,6,6
1513911885,5,5
1514697058,4,4
1515875205,3,3
1516660394,2,2
1516747491,3,3
1516835047,4,4
1519275815,3,3
1519537256,2,2
1519711405,1,1
1522546105,0,0
1526353317,1,1
1527225426,1,1
1527225426,1,1
1527225426,1,1
1527225426,1,1
1527225426,1,1
1527225426,1,1
1527225426,1,1
1527225426,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527312708,1,1
1527400200,1,1
1527749095,2,2
1527836209,3,3
1527836209,3,3
1527836209,3,3
1527836209,3,3
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1527923342,4,4
1528271782,4,4
1528271782,4,4
1528271782,4,4
1528271782,4,4
1528271782,4,4
1529578605,5,5
1530406638,4,4
1530667962,5,5
1531539222,55740,55740
1531626510,55741,55741
1531800931,55742,55742
1531888100,3409,3409
1531975508,3359,3359
1532062625,3257,3257
1532149740,3202,3202
1532237187,3111,3111
1532324202,3060,3060
1532411302,2998,2998
1532498504,2938,2938
1532585814,2866,2866
1532672913,2742,2742
1532760272,2623,2623
1532847423,2523,2523
1532934776,2413,2413
1533022122,2323,2323
1533109226,2252,2252
1533196592,2156,2156
1533284069,2055,2055
1533371293,1964,1964
1533458752,1931,1931
1533545782,1853,1853
1533632906,1779,1779
1533720010,1727,1727
1533807269,1680,1680
1533894292,1632,1632
1533981383,1568,1568
1534068527,1520,1520
1534155632,1478,1478
1534242762,1427,1427
1534329877,1390,1390
1534416996,1332,1332
1534504161,1295,1295
1534591246,1279,1279
1534678404,1279,1279
1534765572,1253,1253
1534852621,1237,1237
1534939725,1214,1214
1535026864,1176,1176
1535113971,1155,1155
1535201203,1144,1144
1535288569,1131,1131
1535375746,1110,1110
1535463183,1094,1094
1535550266,1099,1099
1535637450,1105,1105
1535724790,1115,1115
1535811917,1123,1123
1535899259,1145,1145
1535986365,1185,1185
1536073753,1215,1215
1536160840,1231,1231
1536248242,1238,1238
1536335308,1249,1249
1536422520,1248,1248
1536509809,1233,1233
1536596951,1224,1224
1536684035,1220,1220
1536771174,1230,1230
1536858337,1223,1223
1536945423,1230,1230
1537032771,1239,1239
1537119904,1242,1242
1537206987,1233,1233
1537294369,1218,1218
1537381470,1208,1208
1537468856,1212,1212
1537555985,1226,1226
1537643063,1228,1228
1537730236,1224,1224
1537817313,1219,1219
1537904432,1218,1218
1537991851,1222,1222
1538078942,1226,1226
1538166299,1221,1221
1538253407,1219,1219
1538340526,1201,1201
1538427973,1171,1171
1538515020,1102,1102
1538602100,1027,1027
1538689261,956,956
1538776616,919,919
1538863752,897,897
1538950861,867,867
1539037964,858,858
1539125111,850,850
1539212189,853,853
1539299317,855,855
1539386464,848,848
1539473604,837,837
1539560728,817,817
1539647790,802,802
1539734946,806,806
1539822053,807,807
1539909158,815,815
1539996531,822,822
1540083894,816,816
1540171002,799,799
1540258384,777,777
1540345536,761,761
1540432919,750,750
