DateTime,Entries,UniqueIPs
1539195390,99,99
1539199254,100,100
1539201138,104,104
1539203076,106,106
1539206893,108,108
1539208893,110,110
1539210741,110,110
1539212656,105,105
1539214591,106,106
1539216526,106,106
1539218412,107,107
1539220595,105,105
1539222492,102,102
1539224423,106,106
1539226361,104,104
1539228258,104,104
1539230170,101,101
1539232117,99,99
1539234086,100,100
1539235966,102,102
1539237890,99,99
1539239821,96,96
1539241830,90,90
1539243640,91,91
1539245546,89,89
1539247465,87,87
1539249387,88,88
1539251297,88,88
1539253245,87,87
1539255150,87,87
1539257052,81,81
1539258998,85,85
1539261147,87,87
1539263076,87,87
1539264972,86,86
1539266906,86,86
1539268837,84,84
1539270748,84,84
1539272659,84,84
1539274848,85,85
1539276736,85,85
1539278658,87,87
1539280594,85,85
1539282502,83,83
1539284485,84,84
1539286349,84,84
1539288272,83,83
1539290176,83,83
1539292122,83,83
1539294041,83,83
1539295939,79,79
1539299798,79,79
1539301727,74,74
1539303723,70,70
1539305564,69,69
1539307472,69,69
1539309399,66,66
1539311320,65,65
1539313273,64,64
1539315137,63,63
1539318982,63,63
1539320931,63,63
1539322834,62,62
1539324749,65,65
1539326682,66,66
1539328610,68,68
1539330742,66,66
1539332688,67,67
1539334593,67,67
1539336495,66,66
1539338487,66,66
1539340379,65,65
1539342263,66,66
1539344184,63,63
1539346122,62,62
1539348053,59,59
1539349942,55,55
1539351895,54,54
1539353802,52,52
1539355975,50,50
1539357874,46,46
1539359811,47,47
1539361718,46,46
1539364610,43,43
1539366493,42,42
1539370360,43,43
1539372295,42,42
1539374169,44,44
1539376113,44,44
1539378082,43,43
1539379957,40,40
1539381880,42,42
1539383772,45,45
1539385970,42,42
1539387855,43,43
1539391695,46,46
1539393639,45,45
1539395566,45,45
1539397473,43,43
1539399375,42,42
1539401313,40,40
1539403300,39,39
1539405170,38,38
1539407081,37,37
1539409003,36,36
1539410922,34,34
1539412835,34,34
1539414762,33,33
1539416782,31,31
1539418599,30,30
1539420496,38,38
1539424339,39,39
1539426274,41,41
1539428170,39,39
1539430111,40,40
1539432105,42,42
1539433956,43,43
1539436033,42,42
1539438010,43,43
1539440206,44,44
1539442131,45,45
1539444267,46,46
1539446201,46,46
1539448147,47,47
1539450071,46,46
1539453906,47,47
1539455800,47,47
1539457705,45,45
1539459621,44,44
1539461552,43,43
1539463464,45,45
1539465397,46,46
1539467326,47,47
1539469227,45,45
1539471147,44,44
1539473072,44,44
1539476905,43,43
1539478873,43,43
1539480747,42,42
1539484581,44,44
1539496103,47,47
1539498055,47,47
1539499958,46,46
1539501869,45,45
1539505950,37,37
1539509781,35,35
1539511705,35,35
1539513627,34,34
1539517485,34,34
1539519398,35,35
1539521304,35,35
1539525142,34,34
1539527065,34,34
1539529534,33,33
1539531414,32,32
1539533360,31,31
1539535255,30,30
1539539099,29,29
1539542930,27,27
1539546770,25,25
1539548688,24,24
1539550606,22,22
1539552524,21,21
1539554537,21,21
1539556432,20,20
1539558797,19,19
1539562620,18,18
1539564533,19,19
1539570409,18,18
1539572243,17,17
1539576116,19,19
1539581792,17,17
1539583739,16,16
1539585654,16,16
1539587559,17,17
1539591564,16,16
1539593576,17,17
1539599320,16,16
1539603165,16,16
1539605141,13,13
1539607002,13,13
1539608941,14,14
1539614674,13,13
1539616850,14,14
1539618767,13,13
1539624529,14,14
1539626493,16,16
1539632447,17,17
1539634367,18,18
1539638191,20,20
1539640126,20,20
1539642275,20,20
1539646112,22,22
1539648040,24,24
1539649972,23,23
1539651895,25,25
1539653805,27,27
1539657641,28,28
1539659579,29,29
1539661484,27,27
1539667234,28,28
1539671099,27,27
1539673004,28,28
1539674914,32,32
1539676904,33,33
1539678890,36,36
1539681163,36,36
1539683093,39,39
1539684994,41,41
1539686923,42,42
1539688833,42,42
1539692688,43,43
1539694598,44,44
1539696510,44,44
1539698490,46,46
1539700351,49,49
1539702396,50,50
1539704429,51,51
1539706643,53,53
1539708758,57,57
1539710676,58,58
1539712889,56,56
1539714744,57,57
1539718595,57,57
1539720525,58,58
1539722435,59,59
1539724615,65,65
1539726512,65,65
1539728423,65,65
1539730603,66,66
1539732503,64,64
1539734455,63,63
1539738296,60,60
1539740182,58,58
1539744025,57,57
1539745954,56,56
1539753622,55,55
1539757501,57,57
1539759382,60,60
1539761321,56,56
1539763293,56,56
1539765163,53,53
1539767068,55,55
1539768973,51,51
1539770914,50,50
1539773068,50,50
1539774993,49,49
1539776903,50,50
1539778840,50,50
1539780766,51,51
1539782682,50,50
1539784588,48,48
1539786502,45,45
1539788488,44,44
1539790604,42,42
1539792548,40,40
1539794420,38,38
1539796370,35,35
1539798269,34,34
1539800204,33,33
1539804025,32,32
1539807864,29,29
1539810100,23,23
1539811961,21,21
1539813896,19,19
1539817738,18,18
1539821573,17,17
1539839075,19,19
1539841261,21,21
1539843170,23,23
1539845097,21,21
1539847011,18,18
1539848923,19,19
1539852784,20,20
1539854679,21,21
1539856611,22,22
1539858517,23,23
1539862368,24,24
1539864313,21,21
1539866205,24,24
1539868129,25,25
1539870037,26,26
