DateTime,AddedIPs,RemovedIPs
1535190530,1,2
1535192447,1,0
1535194352,1,0
1535196289,0,1
1535198190,0,1
1535200098,0,1
1535202105,0,3
1535203965,0,1
1535207817,1,0
1535211644,0,1
1535213607,0,1
1535215475,1,0
1535217417,0,2
1535219812,0,1
1535221697,0,1
1535223582,1,0
1535225550,0,1
1535227474,0,3
1535231569,0,3
1535235419,1,0
1535243104,1,1
1535245000,0,1
1535246937,1,0
1535248907,1,0
1535250793,1,0
1535252820,1,1
1535256756,3,1
1535260605,0,1
1535262754,1,3
1535264681,0,2
1535266904,0,3
1535268753,1,1
1535270679,0,1
1535272607,0,1
1535274519,1,0
1535276446,0,1
1535280277,0,2
1535282221,1,0
1535286038,1,0
1535291802,1,0
1535295695,0,1
1535301397,0,1
1535309343,0,1
1535317514,1,0
1535321348,1,1
1535323247,2,0
1535325175,1,0
1535329010,0,1
1535330921,3,0
1535332850,0,1
1535334809,2,0
1535336668,0,2
1535338651,1,1
1535342530,0,3
1535344393,3,0
1535346300,2,0
1535348252,1,0
1535350145,0,1
1535352060,1,0
1535353994,2,0
1535355896,1,1
1535357826,2,0
1535359714,2,1
1535361656,1,0
1535363553,1,0
1535365508,1,0
1535367411,2,1
1535373180,0,1
1535375074,1,0
1535378912,0,1
1535380888,74,0
1535384690,1,0
1535386620,1,0
1535390471,1,0
1535396242,1,0
1535402205,1,0
1535404120,1,1
1535406073,1,1
1535407965,1,0
1535409892,0,2
1535412068,0,1
1535415899,1,0
1535417843,0,2
1535419732,1,1
1535421812,0,2
1535423799,1,0
1535425970,1,1
1535429829,3,2
1535431740,1,2
1535433649,4,2
1535437486,2,1
1535439413,3,0
1535441324,0,2
1535443298,0,1
1535445181,3,4
1535447108,1,1
1535449282,1,0
1535451168,0,1
1535453112,0,2
1535460784,0,1
1535466520,1,6
1535468501,1,68
1535470362,0,1
1535472298,1,0
1535474233,0,1
1535476364,0,1
1535478306,1,0
1535482137,0,1
1535487924,0,1
1535489820,1,1
1535491771,0,1
1535493715,0,1
1535497515,1,0
1535501346,1,0
1535503277,0,1
1535505172,3,0
1535507128,2,2
1535510974,3,2
1535516700,0,3
1535518631,0,1
1535520516,2,4
1535524370,3,2
1535526308,1,3
1535528215,1,0
1535530440,1,1
1535532282,1,3
1535534210,0,1
1535536130,1,0
1535538080,1,0
1535541915,1,0
1535546037,1,0
1535552139,1,1
1535554107,1,1
1535557981,0,1
1535560103,1,0
1535562087,1,0
1535564161,1,0
1535566107,0,1
1535570224,1,0
1535575959,1,1
1535577883,1,0
1535579786,1,0
1535584636,0,1
1535588457,1,1
1535590371,1,1
1535592325,0,2
1535594250,0,2
1535596134,0,2
1535598146,1,1
1535607899,1,2
1535609824,0,2
1535611760,0,2
1535615556,0,2
1535619409,0,1
1535623317,0,2
1535627079,0,1
1535632865,0,1
1535638881,0,1
1535640893,0,1
1535644915,0,1
1535648718,0,1
1535650625,0,1
1535656394,0,1
1535662108,0,1
1535665960,0,2
1535676043,0,1
1535677989,0,1
1535679893,1,0
1535685667,0,1
1535695506,0,1
1535722856,1,0
1535767336,0,1
1535807574,0,1
1535830364,1,0
1535902375,461,0
1535904304,1251,0
1535906463,1818,0
1535917976,0,1
1535989250,0,723
1535991224,0,1381
1536074921,1,1426
1536112121,1,0
1536125566,1,0
1536163797,0,1
1536198306,0,1
1536211716,0,1
1536342037,1,0
1536395074,2,0
1536412374,1,0
1536481970,0,2
1536485795,0,1
1536495421,74,0
1536499249,0,1
1536505006,1,0
1536530907,1,0
1536532857,1,0
1536552746,1,0
1536554679,1,0
1536568603,1,0
1536574347,1,0
1536582047,2,74
1536589706,1,0
1536591683,0,1
1536593554,1,0
1536617779,0,1
1536619949,0,1
1536641340,0,1
1536655270,1,1
1536661036,0,1
1536662948,1,0
1536668697,0,2
1536676359,0,1
1536680445,0,1
1536686232,0,1
1536705886,75,0
1536713584,1,0
1536721329,1,0
1536725158,1,0
1536728948,1,0
1536736634,1,0
1536744320,1,0
1536748135,0,1
1536755805,1,0
1536757727,0,1
1536763503,1,0
1536792265,0,75
1536799971,0,1
1536807704,0,1
1536809573,0,1
1536815341,0,1
1536823258,0,1
1536829014,0,1
1536842916,0,1
1536848678,0,1
1536884431,1,0
1536969879,0,1
1536996138,1,0
1537081536,0,1
1537124927,1,0
1537133072,1,0
1537156594,1,0
1537193322,1,0
1537212552,0,1
1537220228,0,1
1537230592,1,0
1537232477,1,0
1537243953,0,1
1537255481,1,0
1537263176,1,0
1537279011,0,1
1537283079,1,0
1537301572,1,0
1537314995,0,1
1537317173,0,1
1537342379,0,1
1537349797,0,1
1537369004,0,1
1537432852,1,0
1537457814,0,1
1537517353,0,1
1537520804,1,0
1537577083,1,0
1537607805,0,1
1537661556,0,1
1537746762,1,0
1537831702,0,1
1537882492,1,0
1537902504,1,0
1537964200,1,0
1537970202,0,1
1537989390,0,1
1537993222,1,0
1538004748,1,0
1538018661,1,0
1538050166,0,1
1538079408,0,1
1538092937,0,1
1538104840,0,1
1538124996,74,0
1538128872,1,0
1538130761,1,0
1538161504,1,0
1538211416,0,74
1538215346,1,1
1538217177,0,1
1538248123,0,1
1538299948,0,1
1538304746,1,0
1538310762,1,0
1538320360,1,0
1538351087,1,0
1538378199,1,0
1538391691,1,1
1538397637,0,1
1538401468,1,0
1538407242,0,1
1538409161,1,0
1538412978,1,0
1538420698,1,0
1538426449,2,0
1538430525,1,0
1538434369,1,0
1538438196,1,1
1538440104,1,0
1538442124,2,0
1538463388,0,1
1538477106,0,1
1538485005,74,0
1538488913,0,1
1538496574,0,1
1538500385,0,1
1538506136,1,1
1538511871,0,1
1538515957,0,1
1538519786,0,1
1538521746,0,1
1538523654,0,1
1538525574,0,1
1538527478,1,1
1538529423,0,1
1538545024,1,0
1538572351,0,74
1538593552,0,1
1538612922,0,1
1538628515,0,1
1538678702,1,0
1538682547,1,0
1538699784,1,0
1538701731,1,0
1538709643,1,0
1538711562,2,0
1538713528,1,0
1538721162,1,0
1538731020,1,0
1538750447,1,0
1538754304,1,0
1538766123,0,1
1538769913,0,1
1538787180,0,1
1538789146,0,1
1538796772,0,1
1538798685,0,2
1538806883,0,1
1538812616,0,1
1538818361,0,1
1538841695,0,1
1538857008,1,0
1538858909,0,1
1538882455,1,0
1538937400,1,0
1538943148,0,1
1538970043,2,1
1538973881,1,0
1538977735,1,0
1538981795,1,0
1539022612,0,1
1539034850,1,0
1539055978,0,1
1539057906,0,1
1539059829,0,1
1539065852,0,1
1539067729,0,1
1539111157,1,0
1539120753,1,0
1539122689,0,1
1539176493,1,0
1539198276,0,1
1539205990,0,1
1539258035,1,0
1539262114,1,1
1539264052,1,0
1539266170,1,0
1539281579,1,0
1539296927,1,0
1539300772,1,0
1539314200,1,0
1539329572,1,0
1539331742,75,0
1539345399,0,1
1539347300,0,1
1539351423,0,2
1539368918,0,1
1539382373,0,1
1539386947,1,1
1539400359,0,1
1539415702,0,1
1539417710,0,75
1539427263,1,0
1539442593,1,0
1539473605,0,1
1539529534,0,1
1539531414,2,0
1539544854,1,0
1539546771,1,0
1539548689,2,0
1539554538,1,0
1539556433,1,0
1539558797,1,0
1539591565,1,0
1539595482,1,0
1539616851,0,1
1539618768,1,1
1539622628,0,1
1539632448,0,2
1539634368,0,1
1539636311,0,1
1539640126,0,1
1539642276,0,1
1539646113,0,1
1539676905,0,1
1539683093,0,1
1539696511,1,0
1539704432,0,1
1539730604,1,0
1539782683,0,1
1539802105,1,0
1539813898,1,0
1539817739,0,1
1539825573,1,0
1539858518,1,0
1539866206,1,0
1539870038,1,0
1539873887,1,0
1539877722,1,0
1539887572,0,1
1539895226,1,0
1539901008,1,1
1539902945,1,0
1539904858,1,0
1539910593,0,1
1539945161,1,1
1539953321,0,1
1539957184,0,1
1539961019,0,1
1539962908,0,1
1539980697,0,1
1539986550,0,1
1539990335,0,1
1539992208,1,1
1540015302,1,0
1540030621,0,1
1540078607,0,1
1540099727,0,1
1540170528,1,0
1540172429,1,0
1540180118,1,0
1540201264,1,0
1540207230,1,0
1540209170,1,0
1540228845,1,0
1540244241,1,0
1540250197,1,0
1540252118,1,0
1540254037,1,0
1540257872,1,1
1540259817,0,1
1540263700,1,0
1540269437,1,0
1540275186,1,0
1540277668,1,0
1540281533,1,0
1540285485,1,0
1540287399,1,1
1540289340,1,0
1540291232,1,0
1540293164,1,1
1540295084,0,1
1540302758,75,0
1540314538,0,1
1540335733,0,1
1540337581,0,1
1540339500,1,0
1540341417,0,1
1540345538,0,1
1540347446,0,1
1540349317,1,0
1540351231,1,1
1540355092,1,1
1540361102,1,1
1540365162,1,1
1540367112,0,1
1540369259,1,0
1540371160,0,1
1540373078,1,1
1540375035,1,1
1540377064,1,1
1540379152,0,1
1540389168,0,76
1540404529,1,0
1540417973,1,0
1540426059,0,1
1540435978,0,1
1540437901,0,1
1540441963,0,1
1540446061,0,1
1540447984,3,0
1540451823,0,1
1540455673,0,1
1540459498,0,1
1540461423,0,1
