DateTime,AddedIPs,RemovedIPs
1539490866,7,4
1539492759,13,0
1539494689,24,2
1539496626,21,5
1539498534,10,5
1539500514,3,4
1539502374,6,2
1539504540,6,8
1539506456,5,1
1539508351,7,0
1539510302,4,8
1539512226,4,6
1539514131,9,1
1539516074,5,1
1539517985,9,3
1539519915,13,18
1539521808,2,23
1539523723,6,32
1539525709,6,30
1539527580,5,19
1539529535,7,30
1539531415,7,29
1539533360,2,17
1539535256,5,20
1539537158,5,25
1539539100,0,14
1539541026,3,15
1539542930,1,22
1539544854,3,20
1539546771,0,13
1539548689,2,18
1539550607,1,4
1539552525,3,4
1539554538,2,9
1539556433,1,0
1539558798,3,1
1539560731,2,2
1539562621,0,4
1539564534,2,6
1539566450,6,5
1539568403,1,10
1539570410,2,5
1539572244,7,1
1539574125,7,2
1539576117,1,1
1539577976,6,7
1539579904,2,23
1539581793,4,34
1539583740,3,13
1539585655,2,9
1539587560,3,7
1539589501,2,7
1539591565,7,8
1539593577,2,6
1539595482,2,12
1539597398,2,5
1539599321,4,9
1539601322,5,10
1539603166,1,5
1539605142,3,14
1539607002,3,11
1539608942,2,7
1539610838,0,8
1539612776,1,9
1539614675,3,10
1539616851,5,5
1539618768,6,8
1539620682,2,1
1539622629,4,4
1539624530,10,1
1539626493,7,3
1539628611,9,3
1539630537,9,1
1539632448,16,1
1539634368,7,1
1539636311,3,1
1539638192,5,2
1539640127,5,2
1539642276,4,5
1539644223,4,2
1539646113,9,3
1539648041,4,3
1539649972,11,1
1539651896,28,2
1539653806,22,4
1539655722,31,3
1539657642,27,2
1539659580,30,6
1539661485,20,2
1539663421,20,4
1539665313,24,4
1539667235,17,3
1539669154,22,1
1539671100,18,3
1539673005,16,2
1539674915,6,5
1539676905,2,4
1539678890,5,8
1539681164,14,3
1539683094,3,2
1539684995,7,3
1539686924,6,3
1539688834,7,3
1539690746,3,1
1539692689,5,2
1539694599,7,2
1539696511,6,1
1539698491,2,3
1539700352,5,3
1539702397,2,6
1539704433,4,5
1539706644,1,2
1539708759,6,6
1539710677,2,7
1539712891,5,8
1539714745,8,10
1539716731,21,8
1539718596,18,11
1539720526,22,7
1539722436,8,3
1539724616,13,4
1539726513,17,4
1539728424,9,4
1539730604,11,4
1539732504,10,7
1539734456,6,3
1539736350,9,5
1539738297,11,24
1539740183,17,18
1539742130,6,28
1539744026,7,27
1539745955,10,23
1539747875,15,21
1539749812,16,15
1539751721,13,18
1539753623,11,16
1539755564,1,17
1539757502,5,18
1539759383,6,14
1539761322,10,7
1539763294,3,2
1539765164,9,6
1539767068,4,14
1539768974,5,3
1539770915,5,7
1539773069,9,8
1539774994,2,5
1539776904,2,4
1539778841,6,4
1539780767,9,7
1539782684,18,3
1539784589,30,3
1539786503,25,4
1539788489,23,3
1539790605,41,5
1539792549,43,6
1539794421,38,7
1539796371,21,1
1539798269,25,3
1539800205,20,2
1539802106,33,11
1539804026,2,10
1539805953,6,23
1539807865,6,9
1539810101,5,9
1539811962,4,14
1539813898,12,16
1539815816,13,7
1539817739,9,7
1539819641,9,9
1539821574,8,7
1539823470,8,6
1539825573,0,15
1539827540,10,13
1539829500,6,3
1539831388,8,5
1539833303,7,13
1539835329,8,15
1539837160,6,9
1539839076,8,13
1539841262,4,3
1539843171,2,2
1539845098,5,6
1539847012,8,7
1539848924,6,3
1539850844,6,8
1539852785,5,6
1539854680,4,7
1539856612,5,3
1539858518,5,5
1539860492,9,4
1539862369,8,3
1539864316,4,9
1539866206,14,4
1539868130,16,5
1539870038,3,34
1539871968,4,33
1539873887,10,28
1539875804,2,28
1539877722,7,36
1539879655,5,44
1539881567,7,35
1539883487,5,25
1539885391,1,26
1539887573,4,28
1539889517,8,15
1539891401,7,3
1539893320,4,9
1539895226,8,4
1539897176,7,1
1539899074,9,7
1539901008,3,15
1539902945,2,13
1539904858,10,8
1539906789,3,11
1539908698,2,17
1539910593,8,8
1539912537,9,8
1539914546,8,7
1539916380,20,7
1539918280,35,12
1539920190,23,6
1539922130,7,14
1539924051,17,3
1539925980,18,8
1539927876,15,3
1539929827,29,6
1539931745,3,8
1539933646,20,6
1539935582,1,7
1539937487,7,6
1539939430,6,7
1539941329,5,6
1539943295,12,1
1539945161,2,2
1539947140,9,12
1539949225,7,11
1539951407,10,11
1539953322,7,15
1539955230,6,13
1539957184,9,4
1539959083,3,6
1539961019,4,6
1539962909,4,7
1539965146,4,4
1539967002,1,6
1539968904,9,10
1539971070,2,8
1539972998,4,3
1539974925,15,2
1539976838,19,11
1539978750,8,3
1539980697,14,2
1539982598,9,3
1539984521,7,3
1539986551,2,12
1539988372,0,2
1539990336,5,9
1539992209,4,5
1539994127,7,6
1539996036,16,2
1539997962,15,8
1539999905,4,9
1540001803,7,9
1540003717,7,29
1540005643,17,28
1540007558,8,8
1540009490,3,13
1540011395,2,15
1540013307,6,16
1540015302,9,25
1540017215,6,13
1540019102,2,11
1540020997,12,7
1540022927,8,8
1540024859,16,9
1540026783,10,3
1540028681,8,13
1540030621,4,9
1540032516,4,4
1540034437,1,10
1540036362,4,6
1540038287,8,10
1540040208,41,10
1540042126,27,9
1540044112,35,7
1540045968,26,2
1540047894,17,4
1540049830,4,4
1540051777,2,3
1540053645,1,3
1540055584,0,10
1540057490,3,5
1540059422,7,5
1540061325,4,15
1540063244,13,22
1540065187,11,9
1540067173,8,13
1540069013,2,7
1540070921,6,8
1540072934,8,3
1540074773,8,1
1540076734,6,5
1540078608,6,3
1540080538,8,7
1540082462,16,20
1540084365,21,13
1540086281,35,3
1540088214,21,10
1540090136,30,5
1540092059,13,15
1540093964,13,8
1540095884,13,1
1540097822,8,4
1540099727,7,6
1540101726,5,6
1540103588,2,7
1540105762,5,3
1540107881,5,9
1540109814,7,10
1540111719,13,13
1540113880,5,6
1540115815,7,6
1540117714,5,2
1540119701,5,3
1540121566,6,5
1540123511,2,6
1540125396,4,20
1540127395,5,32
1540129251,5,30
1540131180,7,22
1540133084,9,25
1540135231,10,9
1540137152,7,2
1540139348,9,4
1540141298,1,2
1540143165,3,3
1540145121,8,3
1540147028,12,5
1540148945,4,9
1540150851,3,9
1540152781,7,4
1540154685,5,3
1540156621,1,3
1540158506,1,5
1540160450,0,6
1540162382,2,5
1540164285,11,7
1540166191,2,10
1540168130,13,13
1540170110,18,16
1540171971,9,34
1540174075,6,31
1540176057,1,38
1540177953,22,18
1540179875,31,18
1540181784,24,14
1540183704,21,8
1540185889,30,9
1540187799,9,10
1540189715,4,0
1540191703,7,6
1540193563,2,4
1540195537,11,4
1540197393,29,6
1540199402,32,12
1540201264,43,1
1540203174,24,8
1540205068,22,4
1540207230,3,8
1540209170,4,3
1540211103,5,4
1540213288,5,3
1540215414,3,8
1540217323,7,11
1540219239,8,7
1540221182,9,14
1540223083,2,8
1540225007,14,9
1540226961,19,3
1540228846,9,1
1540230761,12,6
1540232687,9,9
1540234623,2,10
1540236514,1,1
1540238505,1,4
1540240366,4,2
1540242302,8,2
1540244242,8,1
1540246147,5,2
1540248040,3,4
1540250197,5,12
1540252118,5,1
1540254037,5,11
1540255973,3,17
1540257873,3,12
1540259817,2,4
1540261714,2,1
1540263700,4,7
1540265571,4,32
1540267499,3,25
1540269437,5,15
1540271331,4,30
1540273256,3,8
1540275186,6,8
1540277668,6,11
1540279485,3,5
1540281533,3,4
1540283591,3,40
1540285485,5,34
1540287400,6,48
1540289341,3,29
1540291232,5,31
1540293164,3,2
1540295084,7,1
1540297022,2,3
1540298928,3,1
1540300832,3,3
1540302759,5,8
1540304696,4,12
1540306615,6,10
1540308546,1,9
1540310506,3,6
1540312367,0,32
1540314538,3,18
1540316457,4,14
1540318389,5,12
1540320279,2,3
1540322218,3,1
1540324134,2,2
1540326031,4,6
1540327979,1,9
1540329879,3,11
1540331797,1,9
1540333712,4,6
1540335733,4,8
1540337581,1,3
1540339500,2,4
1540341418,6,2
1540343338,3,3
1540345539,5,4
1540347446,6,1
