DateTime,AddedIPs,RemovedIPs
1540020502,9,3
1540021470,9,5
1540022433,11,8
1540023403,5,10
1540024363,12,9
1540025299,7,11
1540026265,9,5
1540027214,12,4
1540028318,8,6
1540029148,14,3
1540030119,16,17
1540031065,10,0
1540032027,9,9
1540032995,7,5
1540033951,11,7
1540034664,4,5
1540035381,7,5
1540036102,5,3
1540036869,8,7
1540037798,9,9
1540038749,5,13
1540039931,12,18
1540040661,6,0
1540041617,6,17
1540042592,8,6
1540043554,10,5
1540044514,8,6
1540045485,7,8
1540046431,16,4
1540047391,8,9
1540048354,7,3
1540049306,12,7
1540050268,12,2
1540051235,12,14
1540052197,9,6
1540053152,13,3
1540054109,11,11
1540055072,10,10
1540056030,18,14
1540056995,12,21
1540057951,15,0
1540058915,8,17
1540059866,7,10
1540060830,13,14
1540061789,11,24
1540062760,8,0
1540063706,11,20
1540064421,9,8
1540065157,5,10
1540065866,9,17
1540066585,5,0
1540067561,9,18
1540068510,17,0
1540069478,11,18
1540070428,13,0
1540071395,5,18
1540072350,9,0
1540073315,6,10
1540074267,7,15
1540075228,13,6
1540076189,12,15
1540077154,15,8
1540078106,5,8
1540079067,11,17
1540080041,10,9
1540080983,9,14
1540081941,8,6
1540082896,5,16
1540083874,13,13
1540084839,37,34
1540085793,21,14
1540086773,18,18
1540087715,12,12
1540088670,7,19
1540089629,9,7
1540090590,15,28
1540091556,7,0
1540092506,9,16
1540093468,12,9
1540094433,14,12
1540095398,10,15
1540096353,7,9
1540097063,5,13
1540097787,2,3
1540098755,2,6
1540099463,3,8
1540100197,4,5
1540101150,5,3
1540102114,3,5
1540103065,6,7
1540104027,9,15
1540104744,8,12
1540105718,13,15
1540106444,7,7
1540107396,11,8
1540108376,10,5
1540109317,8,8
1540110267,16,12
1540111229,13,11
1540112191,12,9
1540113399,14,12
1540114353,8,10
1540115076,8,3
1540115787,10,9
1540116503,12,0
1540117226,11,10
1540118198,8,12
1540119157,7,10
1540120118,9,11
1540121070,12,17
1540122028,15,11
1540122742,4,2
1540123474,10,9
1540124184,11,0
1540124914,8,7
1540125868,7,5
1540126840,9,4
1540127813,5,12
1540128509,15,8
1540129227,5,8
1540130206,10,6
1540131156,9,6
1540131863,9,0
1540132584,6,3
1540133306,2,8
1540134033,7,15
1540134851,4,11
1540135476,11,0
1540136186,4,10
1540136906,8,8
1540137875,9,3
1540139093,16,8
1540139797,8,9
1540140502,4,0
1540141240,6,15
1540142272,9,10
1540143140,17,6
1540144110,8,11
1540145076,15,17
1540146031,11,10
1540146998,9,14
1540147951,16,15
1540148915,19,14
1540149873,23,7
1540150829,14,17
1540151806,12,7
1540152752,11,4
1540153462,8,7
1540154184,8,12
1540154902,9,0
1540155638,9,9
1540156595,7,15
1540157559,10,6
1540158262,6,11
1540158988,8,15
1540159702,4,0
1540160426,3,10
1540161396,6,13
1540162352,6,9
1540163318,12,11
1540164265,7,8
1540164982,6,11
1540165706,6,11
1540166435,15,0
1540167152,8,8
1540168108,14,12
1540169072,8,12
1540169780,11,7
1540170514,6,58
1540171222,10,0
1540171950,16,21
1540172914,15,9
1540173873,19,16
1540174583,3,18
1540175306,4,8
1540176024,12,0
1540176754,8,9
1540177718,8,13
1540178417,8,13
1540179140,9,10
1540179855,13,0
1540180591,9,12
1540181553,6,12
1540182511,2,7
1540183466,5,12
1540184444,4,6
1540185395,5,3
1540186355,3,6
1540187311,3,3
1540188276,3,3
1540189231,8,5
1540190202,13,9
1540191152,5,9
1540192121,6,13
1540193068,9,12
1540194128,17,8
1540194747,10,0
1540195473,7,7
1540196186,10,9
1540196905,5,10
1540197868,9,9
1540198854,11,14
1540199814,5,14
1540200499,12,0
1540201228,11,4
1540202189,10,10
1540203151,14,2
1540203863,6,13
1540204583,10,0
