DateTime,AddedIPs,RemovedIPs
1539784645,14,1
1539786047,24,6
1539787256,16,9
1539788717,14,10
1539789828,2,2
1539790117,1,0
1539791663,8,14
1539792935,5,3
1539794555,4,7
1539795403,3,1
1539796466,4,10
1539798149,11,22
1539799000,4,0
1539800066,7,9
1539801292,3,10
1539802586,10,0
1539803671,6,12
1539804812,4,14
1539806127,2,40
1539807337,3,57
1539808849,5,65
1539809980,9,10
1539810866,7,0
1539812441,4,15
1539813396,4,0
1539814548,9,10
1539816044,8,10
1539816987,3,3
1539818148,6,6
1539819770,10,14
1539821436,16,8
1539822506,6,0
1539824212,7,10
1539826135,17,18
1539827737,10,22
1539828868,3,14
1539830197,9,15
1539831599,6,15
1539832844,3,0
1539834062,5,13
1539835007,2,3
1539836939,2,14
1539838608,5,9
1539840535,17,11
1539843276,21,26
1539845151,7,15
1539845789,2,0
1539847713,7,10
1539848582,0,15
1539850469,7,12
1539851778,4,12
1539852947,3,4
1539854082,3,13
1539855548,12,10
1539856587,5,6
1539857686,3,9
1539858532,22,2
1539860203,31,21
1539861343,18,12
1539862851,12,19
1539864651,8,16
1539865829,8,13
1539866581,3,3
1539867936,3,15
1539869094,7,1
1539870339,7,41
1539871789,5,17
1539872927,3,1
1539873756,4,14
1539875677,12,14
1539879271,15,24
1539880955,5,12
1539882866,9,15
1539884431,10,19
1539885392,2,7
1539886547,3,10
1539888050,7,17
1539889531,9,19
1539890725,3,3
1539891929,16,15
1539893219,21,17
1539894529,20,2
1539896197,24,35
1539897341,12,24
1539898953,37,26
1539900650,32,26
1539902138,23,20
1539903337,14,12
1539904478,29,14
1539905324,21,1
1539908078,62,28
1539909653,15,23
1539910593,13,4
1539912516,21,20
1539913374,8,33
1539914580,5,12
1539915268,8,2
1539917809,26,26
1539918950,5,15
1539919724,1,1
1539921415,3,31
1539922468,5,17
1539924176,7,15
1539926077,10,9
1539927651,7,8
1539929435,7,11
1539931385,10,13
1539933285,12,9
1539934134,2,1
1539935793,14,9
1539937734,5,13
1539938585,2,12
1539939942,5,11
1539940476,1,1
1539942164,3,17
1539942997,3,1
1539944931,5,8
1539947136,9,25
1539947692,3,1
1539948537,3,1
1539949370,4,26
1539951276,10,17
1539952134,3,4
1539953433,4,33
1539954643,6,20
1539955837,8,44
1539956989,10,47
1539958253,8,8
1539960045,19,9
1539960987,7,0
1539962091,12,12
1539962916,9,0
1539964586,8,14
1539966528,9,11
1539968154,7,7
1539969345,3,11
1539971130,10,8
1539972879,19,13
1539974567,12,16
1539975932,3,7
1539977326,11,1
1539978163,5,13
1539979838,8,11
1539981345,1,6
1539982586,8,5
1539983739,3,6
1539984944,3,18
1539986194,6,2
1539987285,7,15
1539988537,11,15
1539989717,3,5
1539991711,3,14
1539993394,6,16
1539994495,2,8
1539995814,3,7
1539996156,6,0
1539997000,6,1
1539998152,19,11
1539999679,11,10
1540001444,4,8
1540001671,1,0
1540003242,7,4
