DateTime,AddedIPs,RemovedIPs
1539275338,3,0
1539276917,3,4
1539278120,16,3
1539279616,3,3
1539280591,0,3
1539282538,1,4
1539283364,1,5
1539285287,5,2
1539286719,6,4
1539288888,3,1
1539290558,1,4
1539291942,1,1
1539294723,1,0
1539296086,1,0
1539298608,1,0
1539301243,8,15
1539302857,18,4
1539304187,4,10
1539305438,8,3
1539306653,5,15
1539306893,1,0
1539307791,0,13
1539309335,6,0
1539310496,5,4
1539311739,3,8
1539313558,4,5
1539315418,1,4
1539316608,2,4
1539317674,3,2
1539319247,3,5
1539320211,0,2
1539321357,1,7
1539322871,5,5
1539324945,6,27
1539326456,0,19
1539327937,6,7
1539329739,41,4
1539331358,2,5
1539332940,2,0
1539333776,4,4
1539335144,0,3
1539336541,1,0
1539337355,0,4
1539339270,0,2
1539340964,0,5
1539342873,0,1
1539344446,0,1
1539346482,0,1
1539348162,0,3
1539349536,0,3
1539352530,0,2
1539354537,0,5
1539356191,0,2
1539357283,0,1
1539358854,0,3
1539359791,0,1
1539360886,2,6
1539362137,0,1
1539364542,0,6
1539366163,0,2
1539368081,0,1
1539371134,0,2
1539375044,0,5
1539376967,0,3
1539382481,1,0
1539384052,0,1
1539385547,0,8
1539388252,0,14
1539389452,0,6
1539392740,0,29
1539395733,0,11
1539396887,0,4
1539398436,1,4
1539399951,1,9
1539401394,1,13
1539403846,0,7
1539406547,0,2
1539407761,0,9
1539408947,0,2
1539410205,0,3
1539411285,0,1
1539413437,0,14
1539414932,0,4
1539416133,0,11
1539419340,0,17
1539420929,0,9
1539422146,0,5
1539423755,1,9
1539425450,1,0
1539426539,0,1
1539427351,0,4
1539428736,0,5
1539429274,0,1
1539431141,0,10
1539432650,0,3
1539434561,0,7
1539436472,0,11
1539438046,0,4
1539440129,0,6
1539441769,0,7
1539443135,0,1
1539446202,0,6
1539447340,0,8
1539448557,0,22
1539449799,0,2
1539451739,0,3
1539452566,0,2
1539454475,0,2
1539456162,0,10
1539458929,1,5
1539459768,0,5
1539461676,0,1
1539463351,0,2
1539464736,0,2
1539466195,0,1
1539468952,2,1
1539470569,1,19
1539471943,0,215
1539474680,0,130
1539475846,0,46
1539477656,0,53
1539479147,0,41
1539480599,0,38
1539484135,0,18
1539486328,1,41
1539488558,0,18
1539490252,0,16
1539491967,0,17
1539493543,0,10
1539494997,0,18
1539497677,0,11
1539499354,0,14
1539500742,0,62
1539502552,0,10
1539504564,0,10
1539515138,1,0
1539516647,0,1
1539518143,0,1
1539529004,1,0
1539531767,0,12
1539533450,14,0
1539534959,1,0
1539536203,1,1
1539538979,1,0
1539540433,2,0
1539544583,1,0
1539547830,0,1
1539549344,2,0
1539551130,0,1
1539553354,1,0
1539557806,1,1
1539558890,3,0
1539560450,4,0
1539564159,1,0
1539566090,1,0
1539567338,0,1
1539569711,0,1
1539571389,1,0
1539575458,1,0
1539576662,1,0
1539577806,1,0
1539579392,1,0
1539583845,1,0
1539585789,0,1
1539587146,0,1
1539589380,1,0
1539590635,1,0
1539600155,1,0
1539603792,1,0
1539611695,1,0
1539612947,1,1
1539616483,0,1
1539619505,1,0
1539620087,3,0
1539627281,1,0
1539628779,0,1
1539638942,1,0
1539641449,2,2
1539645279,1,0
1539646849,1,0
