DateTime,Entries,UniqueIPs
1539275338,1216,1216
1539276917,1215,1215
1539278120,1228,1228
1539279616,1228,1228
1539280591,1225,1225
1539282538,1222,1222
1539283364,1218,1218
1539285287,1221,1221
1539286719,1223,1223
1539288888,1225,1225
1539290558,1222,1222
1539291942,1222,1222
1539294723,1223,1223
1539296086,1224,1224
1539298608,1225,1225
1539301243,1218,1218
1539302857,1232,1232
1539304187,1226,1226
1539305438,1231,1231
1539306653,1221,1221
1539306893,1222,1222
1539307791,1209,1209
1539309335,1215,1215
1539310496,1216,1216
1539311739,1211,1211
1539313558,1210,1210
1539315418,1207,1207
1539316608,1205,1205
1539317674,1206,1206
1539319247,1204,1204
1539320211,1202,1202
1539321357,1196,1196
1539322871,1196,1196
1539324945,1175,1175
1539326456,1156,1156
1539327937,1155,1155
1539329739,1192,1192
1539331358,1189,1189
1539332940,1191,1191
1539333776,1191,1191
1539335144,1188,1188
1539336541,1189,1189
1539337355,1185,1185
1539339270,1183,1183
1539340964,1178,1178
1539342873,1177,1177
1539344446,1176,1176
1539346482,1175,1175
1539348162,1172,1172
1539349536,1169,1169
1539352530,1167,1167
1539354537,1162,1162
1539356191,1160,1160
1539357283,1159,1159
1539358854,1156,1156
1539359791,1155,1155
1539360886,1151,1151
1539362137,1150,1150
1539364542,1144,1144
1539366163,1142,1142
1539368081,1141,1141
1539371134,1139,1139
1539375044,1134,1134
1539376967,1131,1131
1539382481,1132,1132
1539384052,1131,1131
1539385547,1123,1123
1539388252,1109,1109
1539389452,1103,1103
1539392740,1074,1074
1539395733,1063,1063
1539396887,1059,1059
1539398436,1056,1056
1539399951,1048,1048
1539401394,1036,1036
1539403846,1029,1029
1539406547,1027,1027
1539407761,1018,1018
1539408947,1016,1016
1539410205,1013,1013
1539411285,1012,1012
1539413437,998,998
1539414932,994,994
1539416133,983,983
1539419340,966,966
1539420929,957,957
1539422146,952,952
1539423755,944,944
1539425450,945,945
1539426539,944,944
1539427351,940,940
1539428736,935,935
1539429274,934,934
1539431141,924,924
1539432650,921,921
1539434561,914,914
1539436472,903,903
1539438046,899,899
1539440129,893,893
1539441769,886,886
1539443135,885,885
1539446202,879,879
1539447340,871,871
1539448557,849,849
1539449799,847,847
1539451739,844,844
1539452566,842,842
1539454475,840,840
1539456162,830,830
1539458929,826,826
1539459768,821,821
1539461676,820,820
1539463351,818,818
1539464736,816,816
1539466195,815,815
1539468952,816,816
1539470569,798,798
1539471943,583,583
1539474680,453,453
1539475846,407,407
1539477656,354,354
1539479147,313,313
1539480599,275,275
1539484135,257,257
1539486328,217,217
1539488558,199,199
1539490252,183,183
1539491967,166,166
1539493543,156,156
1539494997,138,138
1539497677,127,127
1539499354,113,113
