DateTime,AddedIPs,RemovedIPs
1539812455,4,15
1539813409,3,0
1539814574,9,8
1539816062,8,10
1539817004,4,3
1539818164,5,6
1539819786,8,12
1539821453,13,8
1539822540,4,0
1539824228,7,9
1539825293,9,18
1539826217,5,15
1539827753,7,3
1539828883,2,13
1539830214,9,13
1539831930,4,13
1539833421,3,12
1539834190,1,2
1539835037,2,0
1539836155,1,12
1539837027,0,7
1539837786,3,0
1539838622,2,1
1539839779,5,9
1539840619,8,13
1539843289,17,10
1539845177,6,11
1539845804,1,0
1539846894,6,7
1539847819,1,14
1539849861,5,12
1539850484,1,0
1539851810,2,12
1539852962,2,3
1539854097,2,11
1539855562,10,10
1539856602,4,5
1539857698,3,7
1539859391,37,17
1539860225,10,1
1539861359,16,9
1539862865,8,17
1539864664,7,15
1539865844,7,11
1539866595,2,2
1539867950,2,10
1539869128,3,0
1539870356,5,40
1539871821,4,15
1539873004,1,13
1539873769,2,0
1539875161,6,12
1539875689,2,0
1539879286,14,21
1539880970,1,10
1539882880,7,14
1539884445,6,15
1539885407,2,3
1539886562,2,6
1539888064,4,13
1539889545,5,19
1539890737,2,0
1539891943,10,12
1539893253,21,15
1539894364,14,1
1539894596,3,23
1539896212,21,10
1539897354,9,22
1539898967,32,24
1539900898,26,21
1539902153,16,13
1539903351,14,7
1539904493,27,13
1539905396,25,10
1539908092,54,16
1539909728,14,22
1539910609,11,0
1539911780,12,17
1539912609,6,21
1539913388,7,10
1539914633,2,11
1539915283,3,0
1539917850,21,22
1539918966,3,14
1539919841,0,17
1539921439,0,9
1539922483,1,15
1539924198,4,9
1539926094,7,8
1539927667,2,5
1539929455,4,9
1539931428,8,8
1539933300,7,5
1539934228,2,5
1539935810,7,2
1539936977,3,5
1539937857,0,5
1539938599,2,3
1539940491,3,9
1539942180,3,11
1539943017,2,0
1539944175,2,6
1539944996,1,6
1539947716,7,15
1539949427,4,24
1539951072,4,16
1539951291,2,0
1539952198,1,14
1539953449,5,11
1539954658,3,17
1539955851,6,44
1539957019,9,40
1539958277,3,7
1539960059,14,8
1539961001,7,0
1539962141,8,9
1539963028,8,7
1539964601,5,5
1539965749,4,6
1539966594,3,5
1539968182,4,0
1539969360,3,8
1539971146,6,7
1539972892,14,12
1539974580,7,12
1539975946,2,4
1539977397,5,10
1539978187,3,0
1539979853,5,5
1539981359,1,4
1539982598,2,2
1539983754,2,5
1539984958,1,16
1539986208,3,0
1539987300,5,12
1539988554,5,9
1539989746,3,4
1539990896,0,9
1539991815,1,9
1539992913,3,1
1539993409,0,1
1539994518,2,7
1539996171,8,6
1539997014,4,0
1539998172,19,9
1539999750,10,9
1540001459,4,2
1540003259,7,2
1540004754,8,8
1540005295,4,0
1540006966,4,6
1540007815,2,0
1540008914,2,2
1540010589,3,16
1540011963,1,9
1540013936,4,12
1540015795,3,8
1540017664,10,7
1540019699,13,2
1540021263,7,2
1540022664,4,5
1540024201,1,5
1540024972,2,4
1540025810,2,0
1540026963,2,5
1540027797,0,7
1540028580,7,0
1540030489,3,25
1540032057,2,19
1540033288,1,9
1540036024,8,13
1540037482,4,5
1540038951,3,8
1540040222,3,0
1540041355,3,6
1540042980,6,4
1540044660,8,3
1540044891,1,0
1540046144,3,7
1540046579,2,0
1540048485,14,5
1540050186,7,3
1540051850,4,8
1540053226,4,8
1540054601,2,1
1540055738,3,2
1540057384,5,9
1540058198,3,0
1540059284,1,7
1540060549,1,4
1540062250,4,14
1540064140,2,28
1540065397,4,0
1540066478,4,19
1540067391,0,23
1540068738,1,0
1540070099,2,23
1540070993,2,24
1540071770,1,11
1540072607,3,0
1540073753,1,20
1540075393,4,73
1540077315,6,40
1540078218,1,30
1540078988,2,0
1540079801,1,0
1540080880,2,23
1540082586,2,30
1540083962,1,6
1540085458,1,19
1540086187,1,6
1540087893,2,7
1540088083,1,0
1540089351,6,3
1540091789,2,2
1540092619,1,6
1540095284,26,8
1540096856,1,5
1540097801,1,0
1540098912,4,1
1540099812,1,6
1540100591,1,3
1540101414,4,0
1540102568,8,4
1540103424,3,9
1540104958,3,4
1540106103,3,7
1540107767,6,1
1540109480,17,4
1540110528,5,0
1540112272,7,2
1540113285,9,1
1540114859,17,4
1540116880,50,2
1540117731,45,0
1540119944,97,7
1540120500,26,0
1540121761,62,4
1540123812,96,7
1540125793,47,12
1540127158,20,5
1540128350,12,0
1540129841,11,13
1540131088,10,17
1540132982,11,21
1540133814,3,0
1540134898,4,8
1540136569,4,9
1540138260,8,7
1540139242,3,0
1540141003,8,6
1540142084,1,11
1540143019,4,5
1540144368,4,0
1540145779,5,5
1540146594,5,6
1540147391,4,1
1540148812,13,4
1540149292,2,0
1540150224,2,3
1540151994,9,5
1540152892,2,0
1540153825,0,2
1540155414,4,0
1540157342,5,6
1540160140,11,11
1540161931,1,5
1540162606,2,0
1540163760,1,4
1540165262,2,6
1540167063,11,25
1540167280,3,0
1540168856,15,28
1540169803,9,6
1540171005,3,4
1540172533,16,12
1540174294,19,13
1540175459,6,9
1540176964,6,0
1540178100,2,2
1540179026,4,3
1540180244,1,2
1540180617,1,0
1540182600,6,7
1540183387,1,2
1540184760,4,0
1540185283,3,0
1540186247,5,4
1540188669,14,16
1540189818,2,12
1540191052,6,0
1540192544,5,5
1540193430,4,4
1540194231,4,1
1540195788,6,0
1540196089,1,0
1540197785,6,8
1540198620,3,0
1540199685,6,5
1540200635,2,1
1540202098,4,1
1540203295,4,3
1540204874,7,4
1540206915,9,16
1540207823,5,9
1540209406,6,7
1540210562,6,4
1540211749,5,5
1540212946,4,3
1540214154,6,7
1540215784,13,11
1540217033,6,6
1540219266,10,12
1540220757,6,9
1540222211,5,5
1540223746,15,2
1540224957,5,4
1540225814,8,4
1540227957,14,12
1540231331,19,8
1540232462,6,0
1540233664,3,6
1540235156,7,7
1540236586,4,2
1540237377,9,0
1540239355,9,1
1540241995,9,2
1540243257,2,2
1540244568,2,5
1540246494,13,6
1540248167,34,5
1540249018,8,0
1540250158,6,4
1540251653,1,2
1540253689,8,2
1540255380,2,2
1540256204,4,0
1540257282,8,2
1540258198,7,2
1540259779,4,2
1540260881,1,0
1540262146,7,4
1540263844,4,15
1540265118,1,0
1540266169,2,12
1540268122,2,2
1540269624,4,3
1540271121,2,5
1540272696,1,13
1540273406,0,1
1540275300,5,0
1540276212,2,3
1540276968,2,0
1540278356,4,11
1540279818,5,13
1540281015,3,2
1540282320,4,4
1540282487,2,0
1540284243,10,5
1540285560,8,5
1540286744,4,0
1540287973,1,8
1540289690,3,18
1540290942,2,16
1540292154,8,10
1540293310,3,19
1540294940,1,31
1540296218,6,4
1540298020,7,27
1540298283,3,0
1540299951,4,22
1540301770,4,15
1540303858,6,20
1540305092,1,14
1540307183,10,9
1540307691,1,0
1540308622,3,10
1540310135,5,0
1540311380,4,6
1540312196,2,12
1540313487,6,8
1540314647,1,19
1540315797,1,29
1540318250,8,34
1540319415,6,30
1540320177,2,10
1540321005,2,0
1540322176,2,11
1540323345,4,24
1540324560,3,0
1540325750,6,14
1540326942,2,19
1540327393,2,8
1540328206,1,0
1540329288,0,12
1540330486,2,7
1540331583,2,2
1540331799,1,0
1540332956,3,3
1540334567,2,2
1540335422,1,0
1540336560,1,7
1540338051,1,23
1540339003,2,5
1540340141,5,8
1540341005,3,9
1540341762,3,0
1540342626,2,0
1540343694,6,22
1540344622,2,12
1540347059,3,7
1540348242,1,4
1540349812,5,1
1540351740,19,1
1540354244,33,16
1540356212,11,9
1540357034,3,0
1540358099,3,12
1540359022,6,13
1540360247,2,1
1540361690,1,5
1540363386,5,5
1540364209,1,0
1540365389,2,11
1540366873,7,11
1540367809,6,2
1540368893,9,5
1540370248,9,8
1540371356,8,2
1540372600,8,2
1540373448,7,11
1540375724,25,10
1540377244,10,12
1540377790,4,1
1540378604,7,0
1540379763,12,7
1540380616,7,16
1540381392,5,2
1540382217,5,0
1540383082,6,11
1540384979,10,16
1540385804,5,0
1540386962,16,6
1540388197,3,10
1540390252,10,5
1540391399,4,9
1540392182,10,0
1540394089,8,17
1540395344,4,13
1540396751,5,13
1540397689,0,2
1540399395,1,12
1540401296,4,6
1540402741,7,13
1540404057,9,11
1540405248,16,0
1540406454,9,9
1540407945,8,21
1540409342,0,1
1540410642,4,8
1540411859,7,4
1540412096,1,0
1540413789,9,8
1540415148,8,8
1540416344,1,7
1540417557,2,43
1540419343,1,21
1540420968,10,9
1540422342,3,8
1540423894,3,5
1540425343,3,1
1540426553,3,5
1540427763,2,8
1540429023,5,1
1540430178,3,8
1540431001,3,9
1540432617,4,3
1540433685,5,8
1540434956,3,5
1540436126,6,3
1540437284,3,6
1540438585,6,5
1540439763,4,0
1540440941,4,8
1540442592,8,6
1540443420,2,1
1540444563,3,3
1540446197,10,5
1540447018,15,0
1540448194,29,3
1540449385,23,4
1540450545,31,0
1540451691,14,5
1540453256,9,4
1540455292,14,5
1540456499,8,9
1540457813,9,4
1540458885,6,10
1540460580,13,12
1540461402,2,3
