DateTime,Entries,UniqueIPs
1539812455,1575,1575
1539813409,1578,1578
1539814574,1579,1579
1539816062,1577,1577
1539817004,1578,1578
1539818164,1577,1577
1539819786,1573,1573
1539821453,1578,1578
1539822540,1582,1582
1539824228,1580,1580
1539825293,1571,1571
1539826217,1561,1561
1539827753,1565,1565
1539828883,1554,1554
1539830214,1550,1550
1539831930,1541,1541
1539833421,1532,1532
1539834190,1531,1531
1539835037,1533,1533
1539836155,1522,1522
1539837027,1515,1515
1539837786,1518,1518
1539838622,1519,1519
1539839779,1515,1515
1539840619,1510,1510
1539843289,1517,1517
1539845177,1512,1512
1539845804,1513,1513
1539846894,1512,1512
1539847819,1499,1499
1539849861,1492,1492
1539850484,1493,1493
1539851810,1483,1483
1539852962,1482,1482
1539854097,1473,1473
1539855562,1473,1473
1539856602,1472,1472
1539857698,1468,1468
1539859391,1488,1488
1539860225,1497,1497
1539861359,1504,1504
1539862865,1495,1495
1539864664,1487,1487
1539865844,1483,1483
1539866595,1483,1483
1539867950,1475,1475
1539869128,1478,1478
1539870356,1443,1443
1539871821,1432,1432
1539873004,1420,1420
1539873769,1422,1422
1539875161,1416,1416
1539875689,1418,1418
1539879286,1411,1411
1539880970,1402,1402
1539882880,1395,1395
1539884445,1386,1386
1539885407,1385,1385
1539886562,1381,1381
1539888064,1372,1372
1539889545,1358,1358
1539890737,1360,1360
1539891943,1358,1358
1539893253,1364,1364
1539894364,1377,1377
1539894596,1357,1357
1539896212,1368,1368
1539897354,1355,1355
1539898967,1363,1363
1539900898,1368,1368
1539902153,1371,1371
1539903351,1378,1378
1539904493,1392,1392
1539905396,1407,1407
1539908092,1445,1445
1539909728,1437,1437
1539910609,1448,1448
1539911780,1443,1443
1539912609,1428,1428
1539913388,1425,1425
1539914633,1416,1416
1539915283,1419,1419
1539917850,1418,1418
1539918966,1407,1407
1539919841,1390,1390
1539921439,1381,1381
1539922483,1367,1367
1539924198,1362,1362
1539926094,1361,1361
1539927667,1358,1358
1539929455,1353,1353
1539931428,1353,1353
1539933300,1355,1355
1539934228,1352,1352
1539935810,1357,1357
1539936977,1355,1355
1539937857,1350,1350
1539938599,1349,1349
1539940491,1343,1343
1539942180,1335,1335
1539943017,1337,1337
1539944175,1333,1333
1539944996,1328,1328
1539947716,1320,1320
1539949427,1300,1300
1539951072,1288,1288
1539951291,1290,1290
1539952198,1277,1277
1539953449,1271,1271
1539954658,1257,1257
1539955851,1219,1219
1539957019,1188,1188
1539958277,1184,1184
1539960059,1190,1190
1539961001,1197,1197
1539962141,1196,1196
1539963028,1197,1197
1539964601,1197,1197
1539965749,1195,1195
1539966594,1193,1193
1539968182,1197,1197
1539969360,1192,1192
1539971146,1191,1191
1539972892,1193,1193
1539974580,1188,1188
1539975946,1186,1186
1539977397,1181,1181
1539978187,1184,1184
1539979853,1184,1184
1539981359,1181,1181
1539982598,1181,1181
1539983754,1178,1178
1539984958,1163,1163
1539986208,1166,1166
1539987300,1159,1159
1539988554,1155,1155
1539989746,1154,1154
1539990896,1145,1145
1539991815,1137,1137
1539992913,1139,1139
1539993409,1138,1138
1539994518,1133,1133
1539996171,1135,1135
1539997014,1139,1139
1539998172,1149,1149
1539999750,1150,1150
1540001459,1152,1152
1540003259,1157,1157
1540004754,1157,1157
1540005295,1161,1161
1540006966,1159,1159
1540007815,1161,1161
1540008914,1161,1161
1540010589,1148,1148
1540011963,1140,1140
1540013936,1132,1132
1540015795,1127,1127
1540017664,1130,1130
1540019699,1141,1141
1540021263,1146,1146
1540022664,1145,1145
1540024201,1141,1141
1540024972,1139,1139
1540025810,1141,1141
1540026963,1138,1138
1540027797,1131,1131
1540028580,1138,1138
1540030489,1116,1116
1540032057,1099,1099
1540033288,1091,1091
1540036024,1086,1086
1540037482,1085,1085
1540038951,1080,1080
1540040222,1083,1083
1540041355,1080,1080
1540042980,1082,1082
1540044660,1087,1087
1540044891,1088,1088
1540046144,1084,1084
1540046579,1086,1086
1540048485,1095,1095
1540050186,1099,1099
1540051850,1095,1095
1540053226,1091,1091
1540054601,1092,1092
1540055738,1093,1093
1540057384,1089,1089
1540058198,1092,1092
1540059284,1086,1086
1540060549,1083,1083
1540062250,1073,1073
1540064140,1047,1047
1540065397,1051,1051
1540066478,1036,1036
1540067391,1013,1013
1540068738,1014,1014
1540070099,993,993
1540070993,971,971
1540071770,961,961
1540072607,964,964
1540073753,945,945
1540075393,876,876
1540077315,842,842
1540078218,813,813
1540078988,815,815
1540079801,816,816
1540080880,795,795
1540082586,767,767
1540083962,762,762
1540085458,744,744
1540086187,739,739
1540087893,734,734
1540088083,735,735
1540089351,738,738
1540091789,738,738
1540092619,733,733
1540095284,751,751
1540096856,747,747
1540097801,748,748
1540098912,751,751
1540099812,746,746
1540100591,744,744
1540101414,748,748
1540102568,752,752
1540103424,746,746
1540104958,745,745
1540106103,741,741
1540107767,746,746
1540109480,759,759
1540110528,764,764
1540112272,769,769
1540113285,777,777
1540114859,790,790
1540116880,838,838
1540117731,883,883
1540119944,973,973
1540120500,999,999
1540121761,1057,1057
1540123812,1146,1146
1540125793,1181,1181
1540127158,1196,1196
1540128350,1208,1208
1540129841,1206,1206
1540131088,1199,1199
1540132982,1189,1189
1540133814,1192,1192
1540134898,1188,1188
1540136569,1183,1183
1540138260,1184,1184
1540139242,1187,1187
1540141003,1189,1189
1540142084,1179,1179
1540143019,1178,1178
1540144368,1182,1182
1540145779,1182,1182
1540146594,1181,1181
1540147391,1184,1184
1540148812,1193,1193
1540149292,1195,1195
1540150224,1194,1194
1540151994,1198,1198
1540152892,1200,1200
1540153825,1198,1198
1540155414,1202,1202
1540157342,1201,1201
1540160140,1201,1201
1540161931,1197,1197
1540162606,1199,1199
1540163760,1196,1196
1540165262,1192,1192
1540167063,1178,1178
1540167280,1181,1181
1540168856,1168,1168
1540169803,1171,1171
1540171005,1170,1170
1540172533,1174,1174
1540174294,1180,1180
1540175459,1177,1177
1540176964,1183,1183
1540178100,1183,1183
1540179026,1184,1184
1540180244,1183,1183
1540180617,1184,1184
1540182600,1183,1183
1540183387,1182,1182
1540184760,1186,1186
1540185283,1189,1189
1540186247,1190,1190
1540188669,1188,1188
1540189818,1178,1178
1540191052,1184,1184
1540192544,1184,1184
1540193430,1184,1184
1540194231,1187,1187
1540195788,1193,1193
1540196089,1194,1194
1540197785,1192,1192
1540198620,1195,1195
1540199685,1196,1196
1540200635,1197,1197
1540202098,1200,1200
1540203295,1201,1201
1540204874,1204,1204
1540206915,1197,1197
1540207823,1193,1193
1540209406,1192,1192
1540210562,1194,1194
1540211749,1194,1194
1540212946,1195,1195
1540214154,1194,1194
1540215784,1196,1196
1540217033,1196,1196
1540219266,1194,1194
1540220757,1191,1191
1540222211,1191,1191
1540223746,1204,1204
1540224957,1205,1205
1540225814,1209,1209
1540227957,1211,1211
1540231331,1222,1222
1540232462,1228,1228
1540233664,1225,1225
1540235156,1225,1225
1540236586,1227,1227
1540237377,1236,1236
1540239355,1244,1244
1540241995,1251,1251
1540243257,1251,1251
1540244568,1248,1248
1540246494,1255,1255
1540248167,1284,1284
1540249018,1292,1292
1540250158,1294,1294
1540251653,1293,1293
1540253689,1299,1299
1540255380,1299,1299
1540256204,1303,1303
1540257282,1309,1309
1540258198,1314,1314
1540259779,1316,1316
1540260881,1317,1317
1540262146,1320,1320
1540263844,1309,1309
1540265118,1310,1310
1540266169,1300,1300
1540268122,1300,1300
1540269624,1301,1301
1540271121,1298,1298
1540272696,1286,1286
1540273406,1285,1285
1540275300,1290,1290
1540276212,1289,1289
1540276968,1291,1291
1540278356,1284,1284
1540279818,1276,1276
1540281015,1277,1277
1540282320,1277,1277
1540282487,1279,1279
1540284243,1284,1284
1540285560,1287,1287
1540286744,1291,1291
1540287973,1284,1284
1540289690,1269,1269
1540290942,1255,1255
1540292154,1253,1253
1540293310,1237,1237
1540294940,1207,1207
1540296218,1209,1209
1540298020,1189,1189
1540298283,1192,1192
1540299951,1174,1174
1540301770,1163,1163
1540303858,1149,1149
1540305092,1136,1136
1540307183,1137,1137
1540307691,1138,1138
1540308622,1131,1131
1540310135,1136,1136
1540311380,1134,1134
1540312196,1124,1124
1540313487,1122,1122
1540314647,1104,1104
1540315797,1076,1076
1540318250,1050,1050
1540319415,1026,1026
1540320177,1018,1018
1540321005,1020,1020
1540322176,1011,1011
1540323345,991,991
1540324560,994,994
1540325750,986,986
1540326942,969,969
1540327393,963,963
1540328206,964,964
1540329288,952,952
1540330486,947,947
1540331583,947,947
1540331799,948,948
1540332956,948,948
1540334567,948,948
1540335422,949,949
1540336560,943,943
1540338051,921,921
1540339003,918,918
1540340141,915,915
1540341005,909,909
1540341762,912,912
1540342626,914,914
1540343694,898,898
1540344622,888,888
1540347059,884,884
1540348242,881,881
1540349812,885,885
1540351740,903,903
1540354244,920,920
1540356212,922,922
1540357034,925,925
1540358099,916,916
1540359022,909,909
1540360247,910,910
1540361690,906,906
1540363386,906,906
1540364209,907,907
1540365389,898,898
1540366873,894,894
1540367809,898,898
1540368893,902,902
1540370248,903,903
1540371356,909,909
1540372600,915,915
1540373448,911,911
1540375724,926,926
1540377244,924,924
1540377790,927,927
1540378604,934,934
1540379763,939,939
1540380616,930,930
1540381392,933,933
1540382217,938,938
1540383082,933,933
1540384979,927,927
1540385804,932,932
1540386962,942,942
1540388197,935,935
1540390252,940,940
1540391399,935,935
1540392182,945,945
1540394089,936,936
1540395344,927,927
1540396751,919,919
1540397689,917,917
1540399395,906,906
1540401296,904,904
1540402741,898,898
1540404057,896,896
1540405248,912,912
1540406454,912,912
1540407945,899,899
1540409342,898,898
1540410642,894,894
1540411859,897,897
1540412096,898,898
1540413789,899,899
1540415148,899,899
1540416344,893,893
1540417557,852,852
1540419343,832,832
1540420968,833,833
1540422342,828,828
1540423894,826,826
1540425343,828,828
1540426553,826,826
1540427763,820,820
1540429023,824,824
1540430178,819,819
1540431001,813,813
1540432617,814,814
1540433685,811,811
1540434956,809,809
1540436126,812,812
1540437284,809,809
1540438585,810,810
1540439763,814,814
1540440941,810,810
1540442592,812,812
1540443420,813,813
1540444563,813,813
1540446197,818,818
1540447018,833,833
1540448194,859,859
1540449385,878,878
1540450545,909,909
1540451691,918,918
1540453256,923,923
1540455292,932,932
1540456499,931,931
1540457813,936,936
1540458885,932,932
1540460580,933,933
1540461402,932,932
