DateTime,AddedIPs,RemovedIPs
1539800048,64,80
1539801274,70,77
1539802567,83,0
1539804767,143,187
1539806107,203,33
1539807308,333,56
1539808808,290,79
1539809940,85,65
1539810846,47,5
1539812413,79,101
1539813366,60,0
1539814511,57,105
1539816014,84,86
1539816967,28,18
1539818117,44,76
1539819745,67,110
1539821408,110,68
1539822487,74,0
1539824179,79,92
1539826097,85,96
1539827707,83,195
1539828848,67,77
1539830169,82,149
1539831571,73,114
1539832807,68,8
1539834018,72,124
1539834968,40,20
1539836887,121,60
1539838568,100,88
1539840489,111,81
1539843248,153,195
1539845107,92,131
1539845768,37,0
1539847691,114,54
1539848555,53,85
1539850448,124,124
1539851745,93,95
1539852918,88,26
1539854048,77,71
1539855527,114,113
1539856568,65,45
1539857647,78,76
1539858494,80,0
1539860168,173,106
1539861307,138,97
1539862808,155,130
1539864618,190,193
1539865808,90,195
1539866537,58,65
1539867907,97,135
1539869068,90,0
1539870307,98,322
1539871768,107,176
1539872889,87,0
1539873728,64,246
1539875649,125,102
1539879247,180,248
1539880928,104,110
1539882847,154,131
1539884413,99,125
1539885366,61,37
1539886517,86,100
1539888007,156,104
1539889508,93,144
1539890707,79,0
1539891907,87,109
1539893199,75,94
1539894488,95,1
1539896167,128,150
1539897315,87,79
1539898929,147,111
1539900617,122,103
1539900848,14,1
1539902109,59,89
1539903308,46,28
1539904446,59,95
1539905288,56,0
1539908047,166,227
1539909607,70,84
1539910567,50,34
1539912488,103,77
1539913345,46,141
1539914557,66,93
1539915248,34,0
1539917768,148,195
1539918917,75,82
1539919691,50,0
1539921383,108,178
1539922448,59,92
1539924142,93,172
1539926048,99,109
1539927609,62,124
1539929408,100,97
1539931345,105,134
1539933248,112,52
1539934090,80,0
1539935768,128,113
1539937687,111,79
1539938543,49,149
1539939907,94,102
1539940448,28,0
1539942140,159,182
1539942968,60,0
1539944889,104,78
1539947107,130,181
1539947648,36,1
1539948489,107,0
1539949344,83,130
1539951246,154,90
1539952088,64,0
1539953408,116,165
1539954617,80,84
1539955817,120,132
1539956947,124,34
1539958207,100,69
1539960013,147,120
1539960966,71,0
1539962071,86,132
1539962888,59,0
1539964567,126,197
1539966497,157,84
1539968114,115,148
1539969316,90,129
1539971107,96,177
1539972847,121,102
1539973723,70,0
1539974541,51,160
1539975907,89,90
1539977094,88,1
1539977294,20,0
1539978127,62,152
1539979815,133,127
1539980047,22,0
1539981307,86,66
1539982567,98,29
1539983708,116,61
1539984907,88,108
1539986168,90,0
1539987247,59,88
1539988509,74,89
1539989677,85,28
1539991691,127,73
1539993367,96,158
1539994448,60,49
1539995786,76,92
1539996128,20,0
1539996967,45,0
1539998117,75,98
1539999641,95,144
1540001649,148,90
1540003208,78,102
1540004708,87,107
1540005249,31,0
1540006928,113,129
1540007768,46,0
1540008856,84,126
1540010548,133,167
1540011917,82,77
1540013869,104,102
1540015747,95,103
1540016048,25,0
1540017609,152,110
1540019648,187,119
1540021208,124,115
1540022581,100,137
1540024089,110,0
1540024932,47,165
1540025766,56,0
1540026907,117,97
1540027696,61,0
1540028527,61,105
1540030216,77,144
1540030447,14,0
1540032006,67,184
1540033155,54,148
1540034408,78,9
1540035979,85,180
1540037407,110,90
1540038912,86,113
1540040166,91,0
1540041306,66,185
1540042936,95,189
1540044608,85,68
1540044847,11,0
1540046107,79,130
1540046533,22,19
1540048447,116,66
1540050127,85,153
1540051807,87,124
1540052046,26,0
1540053165,127,152
1540054849,104,128
1540056007,95,0
1540057120,69,168
1540057335,15,49
1540058166,57,0
1540059246,54,125
1540060507,56,129
1540062205,94,119
1540064108,99,123
1540065367,59,1
1540067295,83,129
1540068703,62,145
1540070058,64,124
1540070899,46,0
1540072567,86,144
1540073708,45,68
1540075345,58,178
1540077248,115,106
1540078090,56,0
1540079766,172,104
1540080846,59,100
1540082548,133,150
1540083907,86,74
1540085417,94,97
1540086138,34,33
1540087813,107,75
1540088047,7,0
1540089310,57,121
1540090567,55,0
1540091718,50,119
1540092492,27,0
1540095016,136,219
1540095247,12,0
1540096808,79,84
1540097766,53,25
1540098848,51,68
1540099690,39,0
1540101367,92,131
1540103289,120,64
1540104907,93,202
1540106047,45,79
1540107728,85,110
1540109413,122,122
1540110488,68,1
1540113247,138,240
1540114815,128,93
1540116846,148,111
1540117688,75,0
1540119907,188,323
1540120454,45,0
1540121727,117,121
1540123776,181,160
1540125729,173,480
1540127111,82,352
1540128292,72,0
1540129807,84,142
1540131043,99,169
1540132934,113,175
1540133767,42,1
1540134848,63,109
1540136538,80,209
1540138208,72,101
1540139205,53,0
1540140967,100,166
1540142890,141,71
1540144327,110,139
1540145705,82,151
1540146497,32,0
1540147335,34,195
1540149248,121,95
1540150091,56,0
1540151942,132,270
1540153691,138,15
1540155367,94,167
1540157295,104,154
1540159821,125,288
1540161037,43,115
1540162568,58,38
1540163707,51,78
1540165208,61,106
1540167008,90,142
1540167247,11,0
1540168813,100,125
1540169767,58,50
1540170920,43,91
1540172414,66,135
1540174219,87,127
1540175288,54,0
1540176908,71,111
1540178047,58,128
1540178887,54,0
1540180569,93,204
1540181647,66,86
1540182492,48,0
1540183341,39,163
1540185247,115,77
1540186088,44,0
1540188614,212,307
1540189693,58,0
1540191014,91,201
1540192229,81,98
1540193294,68,0
1540194152,57,165
1540196048,112,85
1540197746,77,231
1540198567,55,0
1540200491,132,77
1540202023,72,111
1540203247,82,78
1540204813,101,104
1540206226,84,151
1540206848,43,0
1540207688,129,1
1540209367,467,185
1540210508,74,96
1540211708,60,130
1540212907,55,49
1540214108,54,71
1540215607,73,96
1540215744,2,38
1540216922,61,81
1540219214,125,117
1540220707,78,98
1540221258,31,0
1540222088,38,0
1540223199,71,222
1540224607,65,103
1540225699,63,0
1540227910,116,263
1540231279,221,247
1540232412,65,0
1540233613,61,123
1540235107,74,93
1540236497,68,0
1540237328,51,77
1540239308,76,96
1540241951,305,188
1540243207,540,9
1540244533,543,96
1540245376,58,0
1540246448,60,83
1540248128,127,89
1540248968,51,0
1540250107,42,192
1540251616,59,113
1540253647,78,138
1540255328,65,126
1540256168,39,0
1540258090,81,88
1540259718,75,140
1540260847,47,65
1540262108,62,71
1540263716,74,103
1540264831,39,0
1540266129,180,94
1540267817,107,103
1540268945,51,1
1540270207,53,108
1540271408,63,71
1540273344,124,155
1540275248,119,85
1540276094,49,0
1540276927,37,76
1540278308,87,104
1540279689,61,1
1540280816,60,172
1540282218,78,61
1540282447,22,0
1540284155,98,146
1540285510,99,67
1540286707,85,0
1540287913,70,92
1540289647,105,101
1540290876,86,89
1540292108,81,27
1540293247,94,77
1540294818,131,111
1540295966,93,104
1540297215,87,6
1540298247,89,117
1540299910,95,125
1540301697,141,148
1540303817,150,128
1540305034,68,120
1540306807,106,102
1540307648,60,9
1540308492,48,0
1540310084,105,112
1540312098,113,126
1540313453,71,195
1540314608,50,116
1540315689,67,1
1540318207,183,268
1540319312,80,0
1540320145,59,170
1540320967,47,0
1540322107,73,85
1540323307,101,168
1540324508,83,0
1540325707,84,115
1540326908,78,115
1540327346,21,31
1540328167,71,0
1540329246,60,62
1540330419,59,73
1540331545,57,27
1540331766,13,0
1540332908,41,46
1540334528,88,75
1540335375,44,0
1540336507,66,96
1540338016,91,110
1540338968,52,35
1540340057,82,89
1540340888,43,1
1540342567,84,77
1540344497,91,108
1540347008,124,177
1540348090,37,0
1540349767,85,133
1540351687,111,69
1540353561,112,208
1540354818,99,9
1540356147,59,178
1540356977,48,0
1540358048,59,88
1540358888,46,0
1540360208,69,156
1540361648,72,102
1540363329,93,105
1540364168,42,0
1540365293,95,109
1540366792,93,117
1540367767,45,41
1540368847,69,50
1540370163,90,125
1540371308,71,41
1540373290,139,58
1540375465,125,232
1540377150,117,172
1540377752,24,129
1540378567,57,1
1540380492,129,387
1540381341,63,138
1540382167,59,0
1540383032,58,73
1540384942,145,125
1540385767,63,0
1540386908,84,63
1540388108,76,98
1540390208,139,97
1540391296,74,0
1540392128,57,92
1540393508,89,110
1540394048,30,0
1540395308,81,105
1540396654,78,39
1540397647,55,80
1540399338,108,140
1540401256,180,128
1540402709,149,142
1540403972,106,94
1540405206,118,4
1540406406,101,94
1540407907,92,115
1540409293,84,0
1540410607,82,67
1540411812,73,245
1540412046,27,0
1540413739,183,894
1540415107,117,252
1540416308,76,1
1540417507,70,171
1540419008,81,72
1540420088,59,0
1540420928,45,69
1540422275,76,72
1540423837,101,63
1540425307,92,30
1540426508,90,58
1540427710,70,70
1540428942,124,1
1540430120,144,91
1540430898,100,0
1540432568,227,103
1540433648,147,53
1540434908,154,67
1540436087,120,189
1540437247,132,49
1540438508,135,112
1540439715,117,0
1540440860,93,77
1540442539,162,127
1540443368,75,1
1540444508,97,65
1540446151,89,110
1540446968,72,0
1540448108,83,68
1540449294,94,83
1540450493,113,0
1540451630,91,89
1540453209,95,100
1540455247,136,105
1540456437,65,132
1540457768,91,30
1540458847,68,82
1540460209,93,102
1540460528,16,0
1540461367,71,1
