DateTime,AddedIPs,RemovedIPs
1539752217,2,0
1539753283,5,2
1539754130,2,0
1539755794,3,7
1539756958,1,4
1539758138,3,4
1539759963,4,7
1539761405,1,5
1539763003,3,3
1539765000,5,1
1539766193,1,1
1539767697,2,7
1539769008,2,4
1539770144,1,1
1539771289,2,1
1539772549,4,2
1539773000,0,3
1539774946,0,6
1539776184,2,6
1539777356,0,3
1539778549,2,2
1539780040,5,2
1539780996,1,0
1539782158,2,1
1539783347,2,2
1539784660,2,0
1539786053,2,13
1539787262,1,9
1539788752,0,2
1539790124,3,0
1539791669,2,2
1539792941,4,4
1539794561,2,4
1539796472,3,1
1539798161,0,4
1539800073,2,0
1539801299,3,0
1539803678,2,3
1539806134,18,0
1539807344,1,7
1539808855,3,0
1539809988,2,1
1539810872,0,1
1539812447,2,2
1539813402,2,0
1539814557,2,1
1539816053,3,4
1539816996,1,1
1539818155,5,4
1539819778,5,4
1539821442,3,1
1539824218,7,5
1539826199,1,10
1539827745,2,0
1539828875,2,3
1539830205,0,3
1539831657,1,4
1539832851,2,1
1539835014,8,1
1539836147,2,1
1539836998,1,0
1539837778,4,0
1539838614,1,0
1539840596,5,5
1539843282,6,6
1539845159,3,4
1539847721,2,0
1539850476,5,1
1539851801,2,0
1539852954,5,0
1539854089,3,3
1539855554,4,3
1539857692,4,1
1539858589,2,1
1539859384,2,0
1539860210,2,0
1539861350,1,3
1539862857,1,5
1539864657,3,2
1539865836,1,2
1539866587,1,0
1539867943,2,2
1539869101,3,1
1539870346,2,4
1539871796,0,3
1539872991,1,2
1539873762,1,1
1539879278,2,11
1539880962,2,0
1539882873,3,1
1539884438,2,0
1539885398,2,0
1539886553,2,1
1539888056,2,1
1539889537,3,8
1539890730,2,0
1539891935,4,0
1539893235,0,3
1539894589,0,2
1539896204,3,0
1539897347,1,0
1539898960,3,3
1539900656,2,3
1539900890,2,0
1539902145,1,6
1539903344,0,2
1539904485,3,2
1539905341,1,0
1539908084,2,1
1539909659,2,2
1539910599,1,1
1539912523,4,0
1539913380,3,1
1539914595,4,0
1539917816,10,7
1539918958,0,3
1539919737,2,0
1539921422,4,3
1539922475,2,2
1539924190,3,7
1539926084,3,5
1539927658,4,2
1539929446,4,3
1539931403,3,3
1539933292,1,2
1539934200,2,6
1539935801,5,2
1539937746,5,1
1539938591,1,2
1539940483,3,1
1539942172,5,7
1539943009,6,0
1539944989,1,2
1539947699,9,1
1539948598,1,5
1539949382,2,1
1539951060,6,2
1539952189,2,3
1539954650,3,1
1539955843,1,4
1539956997,2,0
1539958259,4,1
1539960051,5,1
1539960993,1,0
1539962105,0,2
1539962933,1,0
1539964593,3,3
1539966539,3,0
1539968161,2,4
1539969352,0,1
1539971135,1,4
1539972885,1,0
1539974573,3,0
1539975939,0,2
1539978179,1,2
1539979846,2,3
1539981351,1,2
1539982591,0,1
1539983745,1,2
1539984950,1,1
1539987291,1,6
1539988544,0,3
1539989730,1,0
1539991722,5,5
1539993400,3,4
1539994501,1,4
1539995821,1,2
1539997006,3,0
1539998158,1,1
1539999741,4,3
1540001451,3,2
1540003251,2,2
1540004746,2,7
1540005286,1,0
1540006957,3,3
1540008898,2,3
1540010581,4,3
1540011955,3,2
1540013921,4,3
1540015787,3,0
1540016091,1,0
1540017655,1,2
1540019691,4,2
1540021255,7,3
1540022633,5,5
1540024143,7,0
1540024964,0,5
1540026953,2,1
1540027739,3,0
1540028572,1,5
1540030254,2,3
1540032049,4,1
1540033261,0,1
1540034458,4,0
1540036004,5,2
1540037457,0,1
1540038944,2,4
1540040207,3,0
1540041347,2,3
1540042973,2,4
1540044653,2,0
1540044883,3,0
1540046137,5,1
1540046572,1,0
1540048479,2,3
1540050179,3,1
1540051842,3,2
1540053216,0,4
1540055718,3,1
1540057376,14,3
1540059277,0,1
1540060541,1,2
1540062241,4,0
1540064133,3,1
1540065390,5,0
1540067341,4,3
1540068729,1,1
1540070092,1,3
1540070984,1,4
1540071763,2,0
1540072599,2,0
1540073744,2,2
1540075385,3,4
1540077301,1,1
1540078188,0,2
1540078981,4,0
1540080872,5,2
1540082577,2,5
1540083945,3,5
1540085448,2,4
1540086179,2,3
1540087867,2,4
1540089342,4,4
1540090598,3,0
1540091762,2,3
1540092611,3,3
1540095275,3,5
1540096848,0,2
1540097794,5,2
1540098895,1,2
1540099798,1,3
1540100584,0,1
1540101407,1,0
1540102552,1,0
1540103397,3,5
1540104950,1,3
1540106095,1,3
1540107759,4,5
1540109462,2,4
1540112229,5,4
1540113278,0,6
1540114851,5,2
1540116872,1,5
1540117724,1,0
1540119936,2,10
1540121753,2,1
1540123801,3,0
1540125786,2,20
1540127149,1,0
1540129834,1,2
1540131081,1,4
1540132974,1,2
1540133806,2,0
1540134890,2,2
1540136562,1,3
1540138245,1,4
1540139232,2,0
1540140996,1,4
1540142998,2,1
1540144356,5,0
1540145734,3,2
1540147384,0,2
1540149284,4,2
1540150199,1,2
1540151970,2,0
1540152883,0,2
1540153794,0,3
1540155407,1,0
1540159861,1,2
1540161074,0,3
1540162598,0,2
1540163752,2,1
1540165247,1,3
1540167053,4,1
1540168848,1,1
1540169795,2,4
1540170966,2,2
1540172459,5,2
1540174266,4,3
1540175398,1,7
1540176955,5,0
1540178092,4,1
1540178992,4,4
1540180236,2,3
1540182543,7,4
1540183379,2,6
1540185275,0,5
1540186202,2,2
1540188659,11,1
1540189731,3,0
1540191044,4,8
1540192532,2,6
1540194221,5,6
1540195780,6,1
1540196081,1,0
1540197776,4,5
1540198611,1,1
1540199677,2,1
1540200613,1,2
1540202066,1,2
1540203288,2,3
1540204856,4,5
1540206277,5,4
1540207805,17,2
1540209398,3,1
1540210553,1,1
1540211740,0,5
1540212937,3,1
1540214143,4,2
1540215656,1,4
1540215775,0,1
1540217023,2,2
1540219259,0,4
1540220745,0,1
1540221290,1,0
1540222196,0,1
1540223736,5,2
1540225744,1,1
1540227949,2,16
1540231314,4,4
1540233657,0,1
1540235143,2,6
1540236534,4,0
1540237370,1,2
1540239345,2,2
1540241982,55,8
1540243250,1,0
1540244560,0,2
1540245421,2,0
1540246486,1,0
1540248159,3,0
1540250149,1,3
1540251645,1,6
1540253682,3,3
1540255371,1,4
1540256195,2,0
1540258131,4,4
1540259761,5,4
1540260873,5,3
1540262138,4,5
1540263830,7,3
1540265110,2,0
1540266160,8,1
1540267858,12,3
1540269054,5,3
1540270237,4,0
1540271449,2,0
1540273397,5,5
1540275291,8,2
1540276132,5,0
1540276959,2,1
1540278347,3,4
1540279801,7,0
1540281006,1,2
1540282298,2,3
1540282479,1,0
1540284229,7,6
1540285553,4,0
1540286735,7,0
1540287959,7,1
1540289681,1,5
1540290917,3,1
1540292145,6,2
1540293301,4,2
1540294861,3,2
1540295996,3,3
1540297264,2,0
1540298274,1,1
1540299944,1,2
1540301748,2,1
1540303849,2,2
1540305074,1,1
1540307157,1,2
1540308589,2,2
1540310123,3,1
1540312188,3,5
1540313480,2,0
1540314878,0,4
1540315739,1,0
1540318244,4,4
1540319399,2,4
1540320170,5,2
1540322155,0,1
1540323336,0,1
1540324550,3,0
1540325741,1,1
1540326934,1,0
1540327385,2,0
1540328199,1,0
1540329280,2,2
1540330461,2,2
1540331574,1,0
1540331792,2,0
1540332947,1,0
1540334556,4,2
1540335412,1,1
1540336553,5,2
1540338043,2,0
1540338995,3,0
1540340109,2,1
1540340935,5,0
1540342614,5,6
1540343686,1,3
1540344595,1,3
1540347051,6,6
1540348208,1,4
1540349804,2,2
1540351727,9,2
1540354234,7,10
1540356203,2,3
1540357014,2,0
1540358090,4,6
1540358927,5,0
1540360238,3,9
1540361681,8,2
1540363378,6,4
1540364201,2,0
1540365356,7,6
1540366842,4,6
1540367800,2,0
1540368884,2,2
1540370221,3,3
1540371347,10,0
1540372578,6,0
1540373405,2,1
1540375496,2,5
1540377197,20,17
1540377782,1,5
1540378596,2,0
1540379752,2,1
1540380599,0,1
1540381383,2,0
1540382208,1,0
1540383060,1,4
1540384971,1,4
1540385795,2,0
1540386953,0,2
1540388162,4,1
1540390244,0,1
1540391338,1,0
1540392174,2,2
1540393557,1,3
1540394081,0,1
1540395336,1,1
1540396739,2,1
1540399388,3,4
1540401288,1,2
1540402733,1,0
1540406447,1,6
1540407938,0,2
1540409333,2,0
1540410634,1,1
1540411851,3,56
1540413781,1,2
1540415139,1,1
1540416335,1,0
1540417549,1,6
1540419303,1,0
1540420959,4,3
1540422319,2,3
1540423884,1,0
1540425335,2,0
1540426544,4,4
1540427754,1,8
1540428996,5,0
1540430160,2,6
1540430929,3,0
1540432608,9,8
1540433678,7,7
1540434947,4,3
1540436118,3,3
1540437276,4,6
1540438557,7,9
1540439754,3,1
1540440917,4,7
1540442584,4,3
1540443409,2,0
1540444554,6,8
1540446188,5,5
1540447008,4,0
1540448163,0,4
1540449354,4,8
1540450530,4,0
1540451682,4,3
1540453248,3,5
1540455284,7,4
1540456489,2,5
1540457805,1,2
1540458876,4,3
1540460573,3,0
