DateTime,AddedIPs,RemovedIPs
1539803676,51,38
1539804820,14,48
1539806133,136,28
1539807342,223,45
1539808854,214,27
1539809985,22,19
1539810871,16,11
1539812446,27,45
1539813401,28,14
1539814556,23,51
1539816052,19,45
1539816994,17,14
1539818154,16,15
1539819776,16,33
1539821441,47,20
1539822512,20,11
1539824217,36,37
1539826145,43,24
1539827743,41,68
1539828874,34,59
1539830204,51,78
1539831604,33,73
1539832850,32,8
1539835012,45,62
1539836996,59,46
1539837777,19,4
1539838612,19,8
1539840540,33,17
1539843280,50,43
1539845157,22,30
1539845795,12,3
1539847719,31,16
1539848588,16,15
1539850474,22,40
1539851794,47,14
1539852953,27,9
1539854088,24,12
1539855553,39,22
1539856592,16,8
1539857691,15,11
1539858539,16,11
1539860209,21,41
1539861349,15,38
1539862855,37,45
1539864655,55,31
1539865834,12,25
1539866586,18,9
1539867942,17,8
1539869099,13,13
1539870344,63,46
1539871794,66,19
1539872938,32,15
1539873761,11,32
1539875681,24,39
1539879276,44,53
1539880960,27,20
1539882871,41,21
1539884436,30,26
1539885397,21,16
1539886551,35,24
1539888055,62,20
1539889536,20,26
1539890729,26,5
1539891934,29,27
1539893224,18,18
1539894537,15,16
1539896202,33,31
1539897345,20,27
1539898959,44,24
1539900655,36,33
1539900889,3,3
1539902143,17,29
1539903342,15,28
1539904483,14,18
1539905335,9,17
1539908083,23,103
1539909658,21,11
1539910598,11,5
1539912521,25,20
1539913379,12,21
1539914586,9,31
1539915273,8,11
1539917815,31,62
1539918956,36,16
1539919731,22,4
1539921420,43,30
1539922473,24,16
1539924189,36,17
1539926083,20,21
1539927656,16,16
1539929445,20,10
1539931392,24,23
1539933290,42,23
1539934146,47,6
1539935337,38,36
1539935799,13,6
1539937739,33,24
1539938590,11,44
1539939952,26,50
1539940481,12,1
1539942170,34,83
1539943007,12,5
1539944943,37,33
1539947142,33,34
1539947697,9,1
1539948543,51,6
1539949375,25,15
1539951282,38,42
1539952145,27,7
1539953439,50,43
1539954648,12,17
1539955842,80,37
1539956995,92,25
1539958257,34,26
1539960050,33,65
1539960992,21,4
1539962102,14,44
1539962930,6,10
1539964591,12,44
1539966538,28,31
1539968159,23,55
1539969350,23,33
1539971134,24,41
1539972883,29,32
1539974572,31,62
1539975937,35,28
1539977336,28,13
1539978177,17,80
1539979843,56,49
1539980085,5,2
1539981350,17,18
1539982590,23,16
1539983744,68,23
1539984949,34,29
1539986198,29,8
1539987289,18,18
1539988543,12,27
1539989728,10,6
1539991717,30,37
1539993399,26,36
1539994500,8,15
1539995819,12,25
1539996161,4,6
1539997005,8,4
1539998157,13,30
1539999739,12,47
1540001449,45,31
1540001676,3,0
1540003248,11,29
1540004744,16,36
1540005285,6,2
1540006956,50,50
1540007803,13,8
1540008897,29,45
1540010579,40,47
1540011954,13,20
1540013912,12,20
1540015786,16,23
1540016090,5,2
1540017654,55,22
1540019689,76,15
1540021253,22,35
1540022632,25,48
1540024130,21,4
1540024963,8,54
1540025802,31,5
1540026951,56,24
1540027733,22,0
1540028571,11,16
1540030253,17,24
1540030480,4,5
1540032048,12,16
1540033256,18,54
1540034457,11,4
1540036008,13,40
1540037456,19,20
1540038943,23,18
1540040205,9,5
1540041345,16,82
1540042972,17,52
1540044651,13,20
1540044882,2,1
1540046135,16,18
1540046570,5,6
1540048477,34,22
1540050178,18,28
1540051841,21,23
1540052068,6,1
1540053210,91,37
1540054592,47,6
1540055715,10,18
1540057374,17,85
1540058189,11,3
1540059276,22,23
1540060539,15,28
1540062238,22,31
1540064132,15,27
1540065389,12,3
1540067339,7,32
1540068728,13,38
1540070090,28,33
1540070941,7,5
1540072598,11,31
1540073742,11,5
1540075383,14,16
1540077300,64,8
1540078142,24,5
1540079791,86,12
1540080871,23,14
1540082575,93,30
1540083944,44,13
