DateTime,Entries,UniqueIPs
1539803676,2531,2531
1539804820,2497,2497
1539806133,2605,2605
1539807342,2783,2783
1539808854,2970,2970
1539809985,2973,2973
1539810871,2978,2978
1539812446,2960,2960
1539813401,2974,2974
1539814556,2946,2946
1539816052,2920,2920
1539816994,2923,2923
1539818154,2924,2924
1539819776,2907,2907
1539821441,2934,2934
1539822512,2943,2943
1539824217,2942,2942
1539826145,2961,2961
1539827743,2934,2934
1539828874,2909,2909
1539830204,2882,2882
1539831604,2842,2842
1539832850,2866,2866
1539835012,2849,2849
1539836996,2862,2862
1539837777,2877,2877
1539838612,2888,2888
1539840540,2904,2904
1539843280,2911,2911
1539845157,2903,2903
1539845795,2912,2912
1539847719,2927,2927
1539848588,2928,2928
1539850474,2910,2910
1539851794,2943,2943
1539852953,2961,2961
1539854088,2973,2973
1539855553,2990,2990
1539856592,2998,2998
1539857691,3002,3002
1539858539,3007,3007
1539860209,2987,2987
1539861349,2964,2964
1539862855,2956,2956
1539864655,2980,2980
1539865834,2967,2967
1539866586,2976,2976
1539867942,2985,2985
1539869099,2985,2985
1539870344,3002,3002
1539871794,3049,3049
1539872938,3066,3066
1539873761,3045,3045
1539875681,3030,3030
1539879276,3021,3021
1539880960,3028,3028
1539882871,3048,3048
1539884436,3052,3052
1539885397,3057,3057
1539886551,3068,3068
1539888055,3110,3110
1539889536,3104,3104
1539890729,3125,3125
1539891934,3127,3127
1539893224,3127,3127
1539894537,3126,3126
1539896202,3128,3128
1539897345,3121,3121
1539898959,3141,3141
1539900655,3144,3144
1539900889,3144,3144
1539902143,3132,3132
1539903342,3119,3119
1539904483,3115,3115
1539905335,3107,3107
1539908083,3027,3027
1539909658,3037,3037
1539910598,3043,3043
1539912521,3048,3048
1539913379,3039,3039
1539914586,3017,3017
1539915273,3014,3014
1539917815,2983,2983
1539918956,3003,3003
1539919731,3021,3021
1539921420,3034,3034
1539922473,3042,3042
1539924189,3061,3061
1539926083,3060,3060
1539927656,3060,3060
