DateTime,AddedIPs,RemovedIPs
1539796463,75,56
1539798146,102,82
1539798997,48,0
1539800063,47,57
1539801290,60,45
1539802583,62,1
1539803669,76,72
1539804807,31,63
1539806125,197,25
1539807333,317,21
1539808844,259,45
1539809972,44,32
1539810864,25,4
1539812438,47,59
1539813389,39,1
1539814543,34,78
1539816042,51,58
1539816984,17,12
1539818146,29,44
1539819768,32,72
1539821434,73,44
1539822504,61,2
1539824209,53,53
1539826132,57,61
1539827735,57,106
1539828865,54,52
1539830194,67,109
1539831595,50,81
1539832841,53,7
1539834051,57,90
1539835004,31,15
1539836931,110,29
1539838600,77,67
1539840521,89,50
1539843273,122,119
1539845149,65,80
1539845787,31,1
1539847710,95,28
1539848580,47,45
1539850466,89,87
1539851765,82,59
1539852944,79,18
1539854079,62,28
1539855545,90,71
1539856585,55,17
1539857680,45,44
1539858530,35,7
1539860191,74,70
1539861337,55,73
1539862842,107,70
1539864649,125,76
1539865824,62,49
1539866578,37,27
1539867928,68,37
1539869091,63,1
1539870337,94,71
1539871786,94,37
1539872921,68,1
1539873754,49,73
1539875674,93,74
1539879269,139,148
1539880952,77,80
1539882863,105,80
1539884429,72,83
1539885384,54,22
1539886543,70,70
1539888043,123,66
1539889529,60,88
1539890723,56,1
1539891925,48,81
1539893217,46,49
1539894527,58,11
1539896195,72,86
1539897336,61,44
1539898946,98,67
1539900647,70,65
1539900878,10,0
1539902135,34,58
1539903335,31,20
1539904475,31,57
1539905322,22,5
1539908075,87,174
1539909640,48,45
1539910591,31,29
1539912514,63,49
1539913371,33,89
1539914578,55,69
1539915265,27,3
1539917806,97,138
1539918947,61,55
1539919722,39,2
1539921412,89,120
1539922465,46,59
1539924168,79,127
1539926075,77,89
1539927644,46,94
1539929428,80,60
1539931375,82,77
1539933282,96,36
1539934126,71,1
1539935789,97,75
1539937719,79,62
1539938577,40,106
1539939936,61,85
1539940473,23,2
1539942162,87,138
1539942989,33,5
1539944924,75,56
1539947134,78,113
1539947681,20,5
1539948523,74,4
1539949367,51,65
1539951274,102,67
1539952126,55,5
1539953431,97,98
1539954640,50,49
1539955833,119,88
1539956982,136,26
1539958246,75,52
1539960040,100,106
1539960985,52,2
1539962089,60,109
1539962908,42,6
1539964584,90,129
1539966521,122,65
1539968150,85,120
1539969343,67,101
1539971125,67,143
1539972873,77,77
1539974564,87,130
1539975930,74,73
1539977319,85,11
1539978157,41,131
1539979836,109,80
1539980077,15,0
1539981337,69,43
1539982583,73,26
1539983735,97,49
1539984937,71,68
1539986190,75,3
1539987278,46,59
1539988529,60,62
1539989711,60,16
1539991708,98,45
1539993391,82,112
1539994483,46,28
1539995806,55,69
1539996153,15,5
1539996997,31,2
1539998149,43,63
1539999667,63,88
1540001442,108,63
1540001669,7,0
1540003240,54,82
1540004734,68,80
1540005276,22,2
1540006948,101,105
1540007794,39,5
1540008889,73,101
1540010571,107,125
1540011946,69,60
1540013887,80,68
1540015777,75,85
1540016079,18,0
1540017646,125,92
1540019681,154,102
1540021245,92,85
1540022612,72,117
1540024109,86,2
1540024948,40,131
1540025794,44,1
1540026936,101,77
1540027718,56,0
1540028559,44,71
1540030247,58,82
1540030474,11,0
1540032036,53,83
1540033185,40,122
1540034441,59,12
1540035994,66,120
1540037446,73,68
1540038935,69,85
1540040197,72,5
1540041333,44,151
1540042965,68,157
1540044637,61,58
1540044871,7,0
1540046128,56,103
1540046563,16,13
1540048470,83,46
1540050162,53,116
1540051835,67,87
1540052061,26,1
1540053188,120,112
1540056038,134,96
1540057367,50,175
1540058182,46,1
1540059270,47,92
1540060532,44,99
1540062223,66,86
1540064124,68,74
1540065382,41,3
1540067324,50,70
1540068720,49,97
1540070081,53,77
1540070925,36,1
1540072590,47,64
1540073734,30,35
1540075375,44,60
1540077284,95,42
1540078124,47,1
1540079784,144,53
1540080863,43,48
1540082566,119,84
1540083936,64,55
1540085438,70,56
1540086170,28,10
1540087846,55,51
1540088066,6,0
1540089331,31,90
1540090588,41,1
1540091749,36,88
1540092540,19,2
1540095044,91,159
1540095265,10,2
1540096836,51,60
1540097784,32,19
1540098883,39,52
1540099729,29,0
1540101397,73,102
1540103321,79,48
1540104939,77,158
1540106081,35,57
1540107749,63,75
1540109450,85,91
1540110510,43,3
1540112184,65,108
1540113269,35,57
1540114843,86,64
1540116863,77,72
1540117708,27,3
1540119930,72,202
1540120477,15,0
1540121744,42,94
1540123792,56,125
1540125765,101,420
1540127137,49,328
1540128321,47,2
1540129825,59,94
1540131071,54,119
1540132965,91,109
1540133796,29,1
1540134878,44,75
1540136553,52,134
1540138236,51,70
1540139223,43,0
1540140985,70,124
1540142925,116,46
1540144346,88,105
1540145725,62,113
1540146523,23,0
1540147366,20,147
1540149274,56,79
1540150132,29,1
1540151960,68,193
1540153726,99,13
1540155398,58,138
1540157313,60,117
1540159851,81,169
1540161060,34,87
1540162587,39,27
1540163743,32,57
1540165237,46,79
1540167039,40,89
1540167264,7,0
1540168838,67,64
1540169785,38,21
1540170955,29,66
1540172443,33,99
1540174255,50,81
1540175324,36,2
1540176943,45,80
1540178072,46,104
1540178921,43,0
1540180600,69,162
1540181667,47,66
1540182525,28,2
1540183370,27,116
1540185265,82,55
1540186123,34,3
1540188649,118,228
1540189719,34,1
1540191034,57,155
1540192260,70,63
1540193332,41,1
1540194198,36,123
1540196069,74,72
1540197765,53,184
1540198602,40,3
1540200529,77,61
1540202054,52,78
1540203278,41,51
1540204841,51,75
1540206252,41,95
1540206881,26,0
1540207729,97,0
1540209388,436,119
1540210542,57,75
1540211729,31,86
1540212927,38,36
1540214133,32,50
1540215645,44,61
1540215764,2,29
1540217012,34,64
1540219244,57,74
1540220733,47,68
1540221282,18,0
1540222127,31,1
1540223727,51,188
1540225722,53,85
1540227940,71,154
1540231297,157,183
1540232442,44,0
1540233636,51,90
1540235134,47,67
1540236517,45,1
1540237360,33,47
1540239337,46,64
1540241968,214,131
1540243238,522,5
1540244551,532,65
1540245410,47,0
1540246477,36,67
1540248148,65,66
1540249001,29,0
1540250135,23,160
1540251636,43,93
1540253672,48,106
1540255349,47,90
1540256186,23,0
1540258109,52,58
1540259750,45,66
1540260864,30,39
1540262128,43,46
1540263752,46,60
1540264867,30,1
1540266151,38,50
1540267845,72,68
1540269025,32,49
1540270226,34,19
1540271440,57,56
1540273383,81,98
1540275280,87,77
1540276120,31,1
1540276949,25,58
1540278336,68,65
1540279724,38,2
1540280838,40,119
1540282257,56,42
1540282468,15,0
1540284199,72,104
1540285538,71,53
1540286726,64,1
1540287943,54,58
1540289672,78,60
1540290896,65,49
1540292134,60,17
1540293281,79,40
1540294851,116,69
1540295984,70,65
1540297250,71,6
1540298266,52,68
1540299936,74,85
1540301734,123,88
1540303839,128,87
1540305055,57,79
1540307142,98,72
1540307672,31,1
