DateTime,Entries,UniqueIPs
1539796463,24855,24855
1539798146,24875,24875
1539798997,24923,24923
1539800063,24913,24913
1539801290,24928,24928
1539802583,24989,24989
1539803669,24993,24993
1539804807,24961,24961
1539806125,25133,25133
1539807333,25429,25429
1539808844,25643,25643
1539809972,25655,25655
1539810864,25676,25676
1539812438,25664,25664
1539813389,25702,25702
1539814543,25658,25658
1539816042,25651,25651
1539816984,25656,25656
1539818146,25641,25641
1539819768,25601,25601
1539821434,25630,25630
1539822504,25689,25689
1539824209,25689,25689
1539826132,25685,25685
1539827735,25636,25636
1539828865,25638,25638
1539830194,25596,25596
1539831595,25565,25565
1539832841,25611,25611
1539834051,25578,25578
1539835004,25594,25594
1539836931,25675,25675
1539838600,25685,25685
1539840521,25724,25724
1539843273,25727,25727
1539845149,25712,25712
1539845787,25742,25742
1539847710,25809,25809
1539848580,25811,25811
1539850466,25813,25813
1539851765,25836,25836
1539852944,25897,25897
1539854079,25931,25931
1539855545,25950,25950
1539856585,25988,25988
1539857680,25989,25989
1539858530,26017,26017
1539860191,26021,26021
1539861337,26003,26003
1539862842,26040,26040
1539864649,26089,26089
1539865824,26102,26102
1539866578,26112,26112
1539867928,26143,26143
1539869091,26205,26205
1539870337,26228,26228
1539871786,26285,26285
1539872921,26352,26352
1539873754,26328,26328
1539875674,26347,26347
1539879269,26338,26338
1539880952,26335,26335
1539882863,26360,26360
1539884429,26349,26349
1539885384,26381,26381
1539886543,26381,26381
1539888043,26438,26438
1539889529,26410,26410
1539890723,26465,26465
1539891925,26432,26432
1539893217,26429,26429
1539894527,26476,26476
1539896195,26462,26462
1539897336,26479,26479
1539898946,26510,26510
1539900647,26515,26515
1539900878,26525,26525
1539902135,26501,26501
1539903335,26512,26512
1539904475,26486,26486
1539905322,26503,26503
1539908075,26416,26416
1539909640,26419,26419
1539910591,26421,26421
1539912514,26435,26435
1539913371,26379,26379
1539914578,26365,26365
1539915265,26389,26389
1539917806,26348,26348
1539918947,26354,26354
1539919722,26391,26391
1539921412,26360,26360
1539922465,26347,26347
1539924168,26299,26299
1539926075,26287,26287
1539927644,26239,26239
1539929428,26259,26259
1539931375,26264,26264
1539933282,26324,26324
1539934126,26394,26394
1539935789,26416,26416
1539937719,26433,26433
1539938577,26367,26367
1539939936,26343,26343
1539940473,26364,26364
1539942162,26313,26313
1539942989,26341,26341
1539944924,26360,26360
1539947134,26325,26325
1539947681,26340,26340
1539948523,26410,26410
1539949367,26396,26396
1539951274,26431,26431
1539952126,26481,26481
1539953431,26480,26480
1539954640,26481,26481
1539955833,26512,26512
1539956982,26622,26622
1539958246,26645,26645
1539960040,26639,26639
1539960985,26689,26689
1539962089,26640,26640
1539962908,26676,26676
1539964584,26637,26637
1539966521,26694,26694
1539968150,26659,26659
1539969343,26625,26625
1539971125,26549,26549
1539972873,26549,26549
1539974564,26506,26506
1539975930,26507,26507
1539977319,26581,26581
1539978157,26491,26491
1539979836,26520,26520
1539980077,26535,26535
1539981337,26561,26561
1539982583,26608,26608
1539983735,26656,26656
1539984937,26659,26659
1539986190,26731,26731
1539987278,26718,26718
1539988529,26716,26716
1539989711,26760,26760
1539991708,26813,26813
1539993391,26783,26783
1539994483,26801,26801
1539995806,26787,26787
1539996153,26797,26797
1539996997,26826,26826
1539998149,26806,26806
1539999667,26781,26781
1540001442,26826,26826
1540001669,26833,26833
1540003240,26805,26805
1540004734,26793,26793
1540005276,26813,26813
1540006948,26809,26809
1540007794,26843,26843
1540008889,26815,26815
1540010571,26797,26797
1540011946,26806,26806
1540013887,26818,26818
1540015777,26808,26808
1540016079,26826,26826
1540017646,26859,26859
1540019681,26911,26911
1540021245,26918,26918
1540022612,26873,26873
1540024109,26957,26957
1540024948,26866,26866
1540025794,26909,26909
1540026936,26933,26933
1540027718,26989,26989
1540028559,26962,26962
1540030247,26938,26938
1540030474,26949,26949
1540032036,26919,26919
1540033185,26837,26837
1540034441,26884,26884
1540035994,26830,26830
1540037446,26835,26835
1540038935,26819,26819
1540040197,26886,26886
1540041333,26779,26779
1540042965,26690,26690
1540044637,26693,26693
1540044871,26700,26700
1540046128,26653,26653
1540046563,26656,26656
1540048470,26693,26693
1540050162,26630,26630
1540051835,26610,26610
1540052061,26635,26635
1540053188,26643,26643
1540056038,26681,26681
1540057367,26556,26556
1540058182,26601,26601
1540059270,26556,26556
1540060532,26501,26501
1540062223,26481,26481
1540064124,26475,26475
1540065382,26513,26513
1540067324,26493,26493
1540068720,26445,26445
1540070081,26421,26421
1540070925,26456,26456
1540072590,26439,26439
1540073734,26434,26434
1540075375,26418,26418
1540077284,26471,26471
1540078124,26517,26517
