DateTime,AddedIPs,RemovedIPs
1539654184,1,1
1539656938,1,1
1539657766,1,1
1539659152,1,1
1539662212,0,2
1539664128,3,1
1539665817,1,3
1539669340,1,1
1539670496,2,1
1539671747,2,2
1539673005,1,2
1539674157,0,2
1539677694,4,4
1539679027,1,0
1539680137,0,1
1539683447,1,2
1539684656,3,4
1539685859,0,1
1539693320,1,0
1539695158,1,0
1539696337,0,2
1539698216,4,4
1539699291,1,5
1539700536,1,1
1539700964,1,0
1539701801,1,3
1539702946,1,1
1539703789,1,0
1539705137,1,3
1539706248,1,0
1539707437,0,1
1539708632,0,1
1539709838,1,0
1539711774,1,0
1539713024,1,2
1539714501,1,0
1539716760,0,2
1539718187,1,0
1539719801,2,0
1539720943,3,0
1539723345,0,2
1539724550,1,0
1539725739,1,0
1539726890,3,0
1539729735,1,2
1539731685,3,1
1539732519,2,0
1539733666,2,2
1539735037,1,0
1539736189,0,1
1539737441,1,0
1539738881,1,1
1539740559,1,0
1539741835,1,2
1539743328,2,0
1539745034,0,4
1539746183,1,1
1539747348,0,1
1539749098,2,2
1539752218,3,0
1539753284,2,0
1539754131,0,1
1539755795,1,0
1539756958,1,0
1539758139,1,0
1539759975,0,2
1539760487,1,0
1539763003,1,1
1539764155,0,2
1539765005,1,2
1539766194,0,1
1539767697,1,1
1539769008,0,2
1539770144,1,2
1539772550,1,2
1539774946,1,1
1539777356,0,1
1539778550,1,1
1539780996,3,0
1539782159,0,1
1539783347,0,1
1539784660,0,1
1539786054,1,0
1539787262,0,1
1539788753,1,1
1539790128,1,0
1539792941,1,0
1539794561,0,1
1539798162,1,1
1539799008,1,0
1539800073,13,0
1539801299,1,0
1539802592,0,2
1539803678,0,1
1539804828,1,1
1539807344,1,0
1539808856,1,2
1539809989,1,1
1539812448,0,1
1539814558,2,1
1539816054,1,1
1539818155,3,3
1539819779,3,1
1539821443,1,1
1539822514,1,0
1539824218,0,2
1539825286,1,0
1539826200,0,7
1539827745,1,0
